,what,is,a,main,advantage,of,the,rankine,cycle,?
one,0.376489520072937,0.4544198513031006,0.4910551905632019,0.3519288897514343,0.28155481815338135,0.4999135136604309,0.5514441132545471,0.2472173422574997,0.21576738357543945,0.2673267424106598
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.3177044689655304,0.20611627399921417,1.0,0.733189046382904,0.22334030270576477,0.255176842212677,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.38631999492645264,0.2844003438949585,0.733189046382904,1.0,0.22060109674930573,0.2701641917228699,0.22068053483963013
principal,0.1582305133342743,0.1573130041360855,0.15884900093078613,0.30209437012672424,0.16432338953018188,0.25824129581451416,0.23882900178432465,0.2349313497543335,0.028431622311472893,0.10016445070505142
advantages,0.169710174202919,0.17068763077259064,0.27973857522010803,0.20904293656349182,0.890758216381073,0.22758880257606506,0.2436356246471405,0.1546381711959839,0.19343671202659607,0.1219927966594696
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.38631999492645264,0.2844003438949585,0.733189046382904,1.0,0.22060109674930573,0.2701641917228699,0.22068053483963013
rankine,0.14446263015270233,0.19099628925323486,0.18306823074817657,0.07875887304544449,0.16581134498119354,0.22334030270576477,0.22060109674930573,1.0000001192092896,0.2285865843296051,0.15256094932556152
cycle,0.17920038104057312,0.20626789331436157,0.21741491556167603,0.17028678953647614,0.18722419440746307,0.255176842212677,0.2701641917228699,0.2285865843296051,1.0000001192092896,0.07156776636838913
holds,0.08176258951425552,0.3216874897480011,0.2758602797985077,0.15003013610839844,0.19423124194145203,0.2644946873188019,0.28190866112709045,0.20162242650985718,0.08650064468383789,0.11379207670688629
over,0.28007611632347107,0.2159561663866043,0.32199642062187195,0.21292510628700256,0.3532726466655731,0.36136594414711,0.39856547117233276,0.1719900667667389,0.19616319239139557,0.25742942094802856
others,0.3888046145439148,0.25228992104530334,0.2675355076789856,0.21019212901592255,0.2166757732629776,0.2793974280357361,0.34376874566078186,0.11854285001754761,0.11294914036989212,0.26705288887023926
is,0.28837618231773376,1.0,0.658733606338501,0.3009335994720459,0.17534933984279633,0.4854315221309662,0.5823672413825989,0.19099628925323486,0.20626789331436157,0.22961433231830597
that,0.6297725439071655,0.3995479643344879,0.47537946701049805,0.3140498101711273,0.34659355878829956,0.41498205065727234,0.5473989248275757,0.1826772391796112,0.23440147936344147,0.32716336846351624
during,0.24137552082538605,0.2240111529827118,0.30341604351997375,0.15803179144859314,0.19018982350826263,0.3869180977344513,0.4838213622570038,0.21040219068527222,0.2853600084781647,0.1325719803571701
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.38631999492645264,0.2844003438949585,0.733189046382904,1.0,0.22060109674930573,0.2701641917228699,0.22068053483963013
compression,0.23375190794467926,0.2661573588848114,0.31814756989479065,0.15371264517307281,0.3712547719478607,0.2915203273296356,0.24867193400859833,0.28211307525634766,0.27004173398017883,0.18572697043418884
stage,0.15168409049510956,0.19676770269870758,0.2036506086587906,0.15948626399040222,0.23604801297187805,0.1389172226190567,0.22652170062065125,0.22279205918312073,0.31251904368400574,0.14916576445102692
relatively,0.24081343412399292,0.33787083625793457,0.3819689452648163,0.18271881341934204,0.3249697685241699,0.2916591167449951,0.33481109142303467,0.22336174547672272,0.16322478652000427,0.1281091868877411
little,0.2614184617996216,0.23436859250068665,0.3029581904411316,0.16312183439731598,0.18575505912303925,0.20116642117500305,0.2412613034248352,0.10334445536136627,0.1148483082652092,0.20336517691612244
work,0.3762225806713104,0.22475390136241913,0.266241192817688,0.17960678040981293,0.2293914258480072,0.23473061621189117,0.2704800069332123,0.18954385817050934,0.21434089541435242,0.2621155381202698
is,0.28837618231773376,1.0,0.658733606338501,0.3009335994720459,0.17534933984279633,0.4854315221309662,0.5823672413825989,0.19099628925323486,0.20626789331436157,0.22961433231830597
required,0.2506856620311737,0.21426478028297424,0.2891559302806854,0.13885852694511414,0.30316421389579773,0.26183071732521057,0.27848219871520996,0.20827032625675201,0.15741318464279175,0.24962718784809113
to,0.455847829580307,0.42745086550712585,0.45503583550453186,0.26116618514060974,0.27752500772476196,0.41548454761505127,0.535392165184021,0.15547960996627808,0.17373278737068176,0.29463258385658264
drive,0.21679377555847168,0.20462195575237274,0.24929353594779968,0.16099655628204346,0.2535574734210968,0.17806991934776306,0.2083187699317932,0.07105295360088348,0.1975702941417694,0.11447915434837341
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.38631999492645264,0.2844003438949585,0.733189046382904,1.0,0.22060109674930573,0.2701641917228699,0.22068053483963013
pump,0.2035713642835617,0.19189900159835815,0.25026795268058777,0.17930737137794495,0.2521120607852936,0.11486294865608215,0.21872945129871368,0.18391194939613342,0.186528280377388,0.24768272042274475
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.2989408075809479,0.1772463619709015,0.4946078956127167,0.4933079481124878,0.2938905656337738,0.16122886538505554,0.31091248989105225
