,what,was,the,most,notable,publication,of,tugh,'s,academy,?
the,0.42745697498321533,0.48711544275283813,1.0,0.47635307908058167,0.20948168635368347,0.24080322682857513,0.733189046382904,0.2538721263408661,-0.01540423184633255,0.2649388611316681,0.22068053483963013
academy,0.11844556778669357,0.2982231378555298,0.2649388611316681,0.17419551312923431,0.14249606430530548,0.21546244621276855,0.22185729444026947,0.23035916686058044,-0.01580122485756874,1.0000001192092896,0.1340850442647934
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.29933857917785645,0.175777867436409,0.22530198097229004,0.4069072902202606,0.2578143775463104,0.008974763564765453,0.2982231378555298,0.18412111699581146
responsible,0.26869386434555054,0.2582622170448303,0.3305104374885559,0.2784361243247986,0.20720896124839783,0.18452203273773193,0.37070101499557495,0.12518465518951416,0.002397976815700531,0.16421820223331451,0.11367333680391312
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.3906237483024597,0.2551795244216919,0.26349180936813354,0.4185989499092102,0.2360057681798935,-0.07241261005401611,0.2934502065181732,0.264628142118454
compiling,0.29224199056625366,0.13255207240581512,0.2446763813495636,0.2570931017398834,0.22453051805496216,0.34425094723701477,0.2777438759803772,0.261309415102005,-0.042073123157024384,0.1770235300064087,0.33324772119522095
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.4309377074241638,0.18581628799438477,0.19146108627319336,0.5116966962814331,0.3082713782787323,0.06895173341035843,0.24105693399906158,0.20544172823429108
publishing,0.16863952577114105,0.1802350878715515,0.19456727802753448,0.16459739208221436,0.1331411451101303,0.592738926410675,0.22269268333911896,0.2790135443210602,-0.051871802657842636,0.18873058259487152,0.11419087648391724
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.3508910834789276,0.21731382608413696,0.1690656691789627,0.5052502155303955,0.2991655468940735,0.04866964742541313,0.1969248354434967,0.23916715383529663
number,0.23046229779720306,0.1855042725801468,0.35145696997642517,0.31398043036460876,0.2328024059534073,0.2181730568408966,0.2778518795967102,0.19112396240234375,0.033178191632032394,0.09670393168926239,0.19256845116615295
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.4178851246833801,0.1985267549753189,0.20938149094581604,1.0,0.2661905288696289,-0.03817026689648628,0.22185729444026947,0.1826142966747284
books,0.2542080581188202,0.18330562114715576,0.23187310993671417,0.18548615276813507,0.1858176589012146,0.43325740098953247,0.18863578140735626,0.18625704944133759,0.09176487475633621,0.23446862399578094,0.1897611767053604
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.3636029064655304,0.31026551127433777,0.2531280815601349,0.4946078956127167,0.3907131850719452,-0.0016132977325469255,0.2933559715747833,0.31091248989105225
but,0.5029441118240356,0.36023372411727905,0.4859698414802551,0.45211657881736755,0.2712145745754242,0.2446633130311966,0.39942997694015503,0.28721821308135986,0.04136733338236809,0.1835002452135086,0.27921953797340393
its,0.30393704771995544,0.3518870174884796,0.559237003326416,0.32324016094207764,0.22416026890277863,0.24567508697509766,0.48690423369407654,0.1428009420633316,0.03202139586210251,0.17266656458377838,0.15103481709957123
most,0.3219912350177765,0.29933857917785645,0.47635307908058167,1.0,0.33399084210395813,0.16742339730262756,0.4178851246833801,0.18837668001651764,0.024445664137601852,0.17419551312923431,0.2107497900724411
important,0.31164905428886414,0.24924467504024506,0.39348116517066956,0.5079463124275208,0.37995731830596924,0.20257842540740967,0.43301743268966675,0.17899839580059052,-0.0359678789973259,0.1961369514465332,0.17812499403953552
achievement,0.18986374139785767,0.257357120513916,0.2765722870826721,0.2511139214038849,0.3168809115886688,0.2491794228553772,0.27310270071029663,0.24544590711593628,0.00819286797195673,0.45796483755111694,0.14776082336902618
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.29933857917785645,0.175777867436409,0.22530198097229004,0.4069072902202606,0.2578143775463104,0.008974763564765453,0.2982231378555298,0.18412111699581146
its,0.30393704771995544,0.3518870174884796,0.559237003326416,0.32324016094207764,0.22416026890277863,0.24567508697509766,0.48690423369407654,0.1428009420633316,0.03202139586210251,0.17266656458377838,0.15103481709957123
compilation,0.1946646273136139,0.14694105088710785,0.20939901471138,0.20703507959842682,0.22545747458934784,0.3002767264842987,0.2138911783695221,0.21012850105762482,-0.0007319508004002273,0.13872598111629486,0.2705167829990387
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.4178851246833801,0.1985267549753189,0.20938149094581604,1.0,0.2661905288696289,-0.03817026689648628,0.22185729444026947,0.1826142966747284
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.3508910834789276,0.21731382608413696,0.1690656691789627,0.5052502155303955,0.2991655468940735,0.04866964742541313,0.1969248354434967,0.23916715383529663
vast,0.23471814393997192,0.12304451316595078,0.28638118505477905,0.2793525755405426,0.23466286063194275,0.1750943958759308,0.28792089223861694,0.2471744269132614,0.0593150295317173,0.09840890765190125,0.12112510949373245
institutional,0.19519226253032684,0.2537212073802948,0.26633402705192566,0.1878516525030136,0.1632511466741562,0.27363190054893494,0.34490442276000977,0.23277275264263153,-0.07051040232181549,0.3470548093318939,0.16612684726715088
compendium,0.25046300888061523,0.19610941410064697,0.2656499147415161,0.23541195690631866,0.20679070055484772,0.37082433700561523,0.327317476272583,0.24688948690891266,0.11082534492015839,0.15746690332889557,0.2197672724723816
named,0.1525408923625946,0.37528327107429504,0.3521348536014557,0.25594380497932434,0.1670829951763153,0.16669398546218872,0.2820465862751007,0.1864989697933197,-0.06022389233112335,0.16659057140350342,0.1297498345375061
jingshi,0.1830321103334427,0.219502791762352,0.2367096245288849,0.17344270646572113,0.14533114433288574,0.15333065390586853,0.22067461907863617,0.3493771255016327,0.02314230427145958,0.0936577096581459,0.17084844410419464
dadian,0.20932362973690033,0.2606712877750397,0.2178848534822464,0.17920221388339996,0.17894984781742096,0.16602031886577606,0.159756600856781,0.36889326572418213,0.07783424854278564,0.18111607432365417,0.1682073175907135
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.20654040575027466,0.23965327441692352,0.208316832780838,0.35032153129577637,0.28824493288993835,0.0012731997994706035,0.17948918044567108,0.40561532974243164
chinese,0.11643128097057343,0.21259073913097382,0.2785343527793884,0.22160203754901886,0.14091019332408905,0.144245907664299,0.24275560677051544,0.2725515067577362,0.01673142798244953,0.166810542345047,0.20843194425106049
:,-0.12022944539785385,0.002802103292196989,-0.03403344005346298,0.01611955277621746,-0.019686225801706314,-0.09119084477424622,-0.08807745575904846,-0.12382307648658752,0.07621461898088455,-0.019551938399672508,-0.07156077772378922
經世大典,0.008440714329481125,0.06256753951311111,0.03077329695224762,0.0425192192196846,-0.01499149203300476,0.14099882543087006,0.1320301741361618,0.026363233104348183,-0.02409415692090988,0.021751167252659798,-0.05180176720023155
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.23620007932186127,0.2447381168603897,0.20935983955860138,0.3680361211299896,0.3010505735874176,0.021107977256178856,0.19642674922943115,0.42300865054130554
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.35404038429260254,0.2256665676832199,0.18035659193992615,0.5352458953857422,0.3123989999294281,-0.003708066651597619,0.22877509891986847,0.4130953550338745
