,what,was,started,after,these,new,programs,were,in,place,?
for,0.3017193675041199,0.3863949179649353,0.297429621219635,0.3650246858596802,0.41566818952560425,0.2700757384300232,0.3644469678401947,0.33592689037323,0.4322226941585541,0.3033463954925537,0.264628142118454
example,0.3456268310546875,0.16563157737255096,0.1849505454301834,0.20359161496162415,0.4419577121734619,0.20256802439689636,0.22136268019676208,0.21319323778152466,0.30483278632164,0.31672534346580505,0.30374911427497864
",",0.3087472915649414,0.45456063747406006,0.32632124423980713,0.38860568404197693,0.37613096833229065,0.36073189973831177,0.21514803171157837,0.36755475401878357,0.5201468467712402,0.34068408608436584,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,0.3222070634365082,0.4565047025680542,0.49086877703666687,0.3845241069793701,0.21757709980010986,0.3906462490558624,0.6662389636039734,0.4179787337779999,0.22068053483963013
truth,0.41090071201324463,0.1363499015569687,0.11117986589670181,0.14819715917110443,0.1360401064157486,0.18622030317783356,0.14712780714035034,0.11039252579212189,0.1576424539089203,0.23184163868427277,0.27048787474632263
",",0.3087472915649414,0.45456063747406006,0.32632124423980713,0.38860568404197693,0.37613096833229065,0.36073189973831177,0.21514803171157837,0.36755475401878357,0.5201468467712402,0.34068408608436584,0.31091248989105225
justice,0.21462921798229218,0.24932703375816345,0.13073699176311493,0.18202106654644012,0.09768739342689514,0.15279026329517365,0.18853670358657837,0.11852375417947769,0.2678598463535309,0.08831235766410828,0.19269752502441406
and,0.31309178471565247,0.3740963041782379,0.2649672031402588,0.3765919506549835,0.5314885973930359,0.31402453780174255,0.334749311208725,0.42175528407096863,0.4954058527946472,0.2813849449157715,0.20544172823429108
reconciliation,0.23001986742019653,0.15243008732795715,0.11966484040021896,0.21290254592895508,0.2163904905319214,0.15505355596542358,0.13156940042972565,0.1637195646762848,0.21498405933380127,0.19243082404136658,0.17171992361545563
commission,0.22273972630500793,0.28741392493247986,0.1848643720149994,0.22897294163703918,0.18828517198562622,0.19563880562782288,0.24336250126361847,0.1886938214302063,0.21326816082000732,0.16382098197937012,0.16231559216976166
initiated,0.17882773280143738,0.2528574764728546,0.31343376636505127,0.30767822265625,0.25905439257621765,0.17623808979988098,0.18933235108852386,0.21052758395671844,0.22239916026592255,0.18318812549114227,0.16644564270973206
community,0.29032719135284424,0.2025771290063858,0.18646623194217682,0.11835777014493942,0.2345566600561142,0.20805276930332184,0.24288663268089294,0.15254662930965424,0.21838891506195068,0.23580199480056763,0.2380419820547104
dialogues,0.2804723083972931,0.17263884842395782,0.09256776422262192,0.16721396148204803,0.30922946333885193,0.1695726364850998,0.2861822247505188,0.22148270905017853,0.24680854380130768,0.14938077330589294,0.20913387835025787
