,what,type,of,medicine,did,otachi,focus,on,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.19564834237098694,0.34736719727516174,0.21659506857395172,0.25318023562431335,0.5107308030128479,0.22068053483963013
mongols,0.171964630484581,0.08487866073846817,0.23517343401908875,0.20160916447639465,0.21908389031887054,0.27277716994285583,0.06271559745073318,0.1580372005701065,0.11517509818077087
characterized,0.20582014322280884,0.29990020394325256,0.30984818935394287,0.13821065425872803,0.13734020292758942,0.13626563549041748,0.25881949067115784,0.18066512048244476,0.03949757292866707
otachi,0.18182508647441864,0.21529977023601532,0.20915350317955017,0.09453757852315903,0.14658953249454498,1.0000001192092896,0.12667599320411682,0.16100485622882843,0.16618269681930542
doctors,0.28694474697113037,0.12258702516555786,0.18925178050994873,0.4737972319126129,0.28996434807777405,0.11679212749004364,0.1635272055864334,0.1926962286233902,0.19305896759033203
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.12561997771263123,0.18574509024620056,0.14121182262897491,0.16751927137374878,0.33887791633605957,0.17966607213020325
their,0.35142919421195984,0.14413684606552124,0.4329940676689148,0.1763453483581543,0.38078752160072327,0.18127216398715973,0.2851148545742035,0.3598666191101074,0.1898253709077835
use,0.3453877568244934,0.32010024785995483,0.2750902473926544,0.19620747864246368,0.32446643710136414,0.260299414396286,0.30215147137641907,0.2776605486869812,0.32795652747154236
of,0.33290785551071167,0.18112817406654358,1.0,0.20997224748134613,0.2513895630836487,0.20915350317955017,0.2428540587425232,0.3966929316520691,0.1826142966747284
herbal,0.20492467284202576,0.18929454684257507,0.27767500281333923,0.36785420775413513,0.1613520234823227,0.22567760944366455,0.16297681629657745,0.10157276690006256,0.0938911959528923
remedies,0.2751586139202118,0.22377119958400726,0.2501700818538666,0.2649233341217041,0.20428282022476196,0.1724485158920288,0.2576862871646881,0.20642368495464325,0.2841661274433136
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2526143491268158,0.3015086054801941,0.2105150669813156,0.23845507204532623,0.49057599902153015,0.31091248989105225
which,0.5261979103088379,0.31462597846984863,0.5011631846427917,0.18779802322387695,0.2750149369239807,0.2937251925468445,0.2949202358722687,0.4245251417160034,0.25814583897590637
was,0.22111038863658905,0.14348182082176208,0.4069072902202606,0.15788467228412628,0.41399896144866943,0.13574303686618805,0.18024994432926178,0.3909217119216919,0.18412111699581146
distinguished,0.1610289216041565,0.10960910469293594,0.2957158386707306,0.19851751625537872,0.09719182550907135,0.16843287646770477,0.2372855842113495,0.1376243531703949,0.08062640577554703
from,0.2737620174884796,0.1559610366821289,0.4249346852302551,0.1637396514415741,0.20248863101005554,0.16406536102294922,0.22077937424182892,0.36926645040512085,0.19969791173934937
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.19564834237098694,0.34736719727516174,0.21659506857395172,0.25318023562431335,0.5107308030128479,0.22068053483963013
spiritual,0.2431802898645401,0.12133684009313583,0.3108343183994293,0.25308144092559814,0.20156888663768768,0.21324144303798676,0.2839166522026062,0.17063623666763306,0.1801415979862213
cures,0.2066899538040161,0.13433487713336945,0.24653060734272003,0.31539252400398254,0.18412232398986816,0.10978332161903381,0.20566187798976898,0.15441226959228516,0.18305513262748718
of,0.33290785551071167,0.18112817406654358,1.0,0.20997224748134613,0.2513895630836487,0.20915350317955017,0.2428540587425232,0.3966929316520691,0.1826142966747284
mongol,0.15870186686515808,0.1309989094734192,0.22712039947509766,0.18123194575309753,0.17534953355789185,0.29245725274086,0.08861260861158371,0.13546301424503326,0.12849251925945282
shamanism,0.2825317084789276,0.17935949563980103,0.21171316504478455,0.3319815397262573,0.20839080214500427,0.2877235412597656,0.1889122724533081,0.11317568272352219,0.22365133464336395
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.242958664894104,0.35288307070732117,0.2457374781370163,0.21183714270591736,0.49257001280784607,0.4130953550338745
