,when,did,the,ban,on,cigarette,advertising,take,effect,for,television,networks,?
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.16131305694580078,0.46853652596473694,0.20918990671634674,0.1743171364068985,0.21975718438625336,0.25150683522224426,0.4322226941585541,0.2689782977104187,0.17525765299797058,0.20430970191955566
april,0.2554110586643219,0.2925565242767334,0.23232673108577728,0.20851247012615204,0.32559236884117126,0.12158114463090897,0.24041056632995605,0.145356222987175,0.1771889626979828,0.29502245783805847,0.272102952003479,0.16622817516326904,0.25704094767570496
1970,-0.0318862646818161,0.019275525584816933,0.013761552982032299,-0.029557211324572563,-0.04453150928020477,0.06317758560180664,-0.0020993065554648638,-0.05510599911212921,-0.012387052178382874,0.03739495575428009,-0.06667670607566833,-0.10206843167543411,-0.007446378003805876
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.2151244729757309,0.49057599902153015,0.18937896192073822,0.24089011549949646,0.2881867289543152,0.2150653600692749,0.4464869201183319,0.27995240688323975,0.20105446875095367,0.31091248989105225
congress,0.16769059002399445,0.18929614126682281,0.27082565426826477,0.2188652902841568,0.20437034964561462,0.12450948357582092,0.2583053410053253,0.1343769133090973,0.17678655683994293,0.2006673514842987,0.11234269291162491,0.1302611082792282,0.2020287960767746
passed,0.2869023084640503,0.22102504968643188,0.3173406720161438,0.2451905608177185,0.19424374401569366,0.11164207756519318,0.11971443891525269,0.24165916442871094,0.2793322503566742,0.23234809935092926,0.10332103818655014,0.09207357466220856,0.12064517289400101
the,0.5091903209686279,0.34736719727516174,1.0,0.1830999106168747,0.5107308030128479,0.17768365144729614,0.2048189342021942,0.31620436906814575,0.2865084111690521,0.4739971458911896,0.24569597840309143,0.24705806374549866,0.22068053483963013
public,0.18564704060554504,0.19092120230197906,0.22857438027858734,0.2286716252565384,0.25951382517814636,0.18178671598434448,0.3133441209793091,0.1807430535554886,0.12865205109119415,0.3092794418334961,0.2514288127422333,0.32500335574150085,0.19872993230819702
health,0.24215827882289886,0.21597589552402496,0.2340974360704422,0.2627658247947693,0.1687779426574707,0.31003430485725403,0.2432490438222885,0.22123266756534576,0.2699953615665436,0.31610164046287537,0.23320303857326508,0.2011539191007614,0.16094304621219635
cigarette,0.19723202288150787,0.11106657981872559,0.17768365144729614,0.29189780354499817,0.1325964331626892,1.0,0.3619861304759979,0.10078930854797363,0.246740460395813,0.22717814147472382,0.13937900960445404,0.14208988845348358,0.2157122939825058
smoking,0.2394810914993286,0.2132624387741089,0.21646365523338318,0.2876819670200348,0.1677699238061905,0.46877241134643555,0.36710166931152344,0.23516659438610077,0.3229583501815796,0.22735628485679626,0.15800447762012482,0.12249825894832611,0.20594528317451477
act,0.22280360758304596,0.15918971598148346,0.28682878613471985,0.20957861840724945,0.17222115397453308,0.09320660680532455,0.2157553732395172,0.24733424186706543,0.3189552426338196,0.22890116274356842,0.13938944041728973,0.21730957925319672,0.1482519507408142
which,0.572554349899292,0.2750149369239807,0.6521818041801453,0.21716086566448212,0.4245251417160034,0.20740832388401031,0.21335358917713165,0.28362178802490234,0.33791235089302063,0.44095608592033386,0.21160198748111725,0.269361287355423,0.25814583897590637
banned,0.2323741614818573,0.3102046251296997,0.2399827241897583,0.6187858581542969,0.262748122215271,0.28534427285194397,0.32132336497306824,0.18564940989017487,0.28563007712364197,0.23324309289455414,0.17067889869213104,0.1438131034374237,0.3147534728050232
cigarette,0.19723202288150787,0.11106657981872559,0.17768365144729614,0.29189780354499817,0.1325964331626892,1.0,0.3619861304759979,0.10078930854797363,0.246740460395813,0.22717814147472382,0.13937900960445404,0.14208988845348358,0.2157122939825058
