,how,many,residents,were,recorded,in,the,2010,census,of,jacksonville,?
as,0.33782753348350525,0.4070141911506653,0.25729748606681824,0.3025437891483307,0.20423541963100433,0.3887844979763031,0.48381632566452026,0.27911683917045593,0.22827468812465668,0.3886612355709076,0.20988665521144867,0.27043893933296204
of,0.2480744868516922,0.37253960967063904,0.28795862197875977,0.34038281440734863,0.21896186470985413,0.5696388483047485,0.733189046382904,0.26419875025749207,0.19615516066551208,1.0,0.23084138333797455,0.1826142966747284
2010,0.17927342653274536,0.33878764510154724,0.2509142756462097,0.3102222681045532,0.10307826846837997,0.2692960798740387,0.31722962856292725,1.0000001192092896,0.24752415716648102,0.26419875025749207,0.09565681219100952,0.21232788264751434
[,0.03530287742614746,0.1508627086877823,0.2394341379404068,0.039956651628017426,0.23137414455413818,0.12324675917625427,0.07130392640829086,-0.10982710868120193,0.022155558690428734,0.010817250236868858,0.20740444958209991,0.011015460826456547
update,0.2694169878959656,0.18542030453681946,0.12926965951919556,0.13088355958461761,0.18361923098564148,0.22495365142822266,0.20815779268741608,0.1557701975107193,0.2089761346578598,0.12521608173847198,0.19933368265628815,0.38474005460739136
],0.06738625466823578,-0.016180947422981262,-0.06544912606477737,-0.03362284600734711,-0.008209224790334702,-0.1088862195611,-0.04779602214694023,-0.0030278947670012712,0.034811150282621384,-0.035044461488723755,0.0018941916059702635,-0.0022520492784678936
",",0.22659391164779663,0.40610817074775696,0.2648939788341522,0.36755475401878357,0.2596049904823303,0.5201468467712402,0.4933079481124878,0.24006164073944092,0.2530386745929718,0.4946078956127167,0.2837527096271515,0.31091248989105225
there,0.3328511416912079,0.4993700683116913,0.2962673008441925,0.4359818994998932,0.27171072363853455,0.5361666083335876,0.47025805711746216,0.3212522566318512,0.2834796905517578,0.44397735595703125,0.23102617263793945,0.29405656456947327
were,0.2082374095916748,0.4804460406303406,0.3149697780609131,1.0000001192092896,0.28952479362487793,0.3815755248069763,0.3906462490558624,0.3102222681045532,0.20366445183753967,0.34038281440734863,0.20713816583156586,0.17890112102031708
"821,784",0.1449795961380005,0.1560365855693817,0.08831092715263367,0.08782190829515457,0.20971788465976715,0.10275263339281082,0.1623864620923996,0.19050440192222595,0.07843389362096786,0.047897983342409134,0.08077020943164825,0.10246016085147858
people,0.2932034730911255,0.4171447455883026,0.43970397114753723,0.35862088203430176,0.18473182618618011,0.39605680108070374,0.36838498711586,0.375079482793808,0.2850223481655121,0.3251037895679474,0.19936339557170868,0.23739641904830933
and,0.33647966384887695,0.5296266674995422,0.3165581226348877,0.42175528407096863,0.18660911917686462,0.4954058527946472,0.5171257257461548,0.27321958541870117,0.15556402504444122,0.5116966962814331,0.2603762745857239,0.20544172823429108
"366,273",0.1941210776567459,0.05389103293418884,0.06777655333280563,0.07996229827404022,-0.0010535954497754574,0.09695598483085632,0.17929287254810333,0.15334641933441162,0.09967625886201859,0.16228964924812317,-0.009288772009313107,0.0822758898139
households,0.21022699773311615,0.26178956031799316,0.45666956901550293,0.3441278040409088,0.18676242232322693,0.24879489839076996,0.26440316438674927,0.22647370398044586,0.41707098484039307,0.2765655219554901,0.228903666138649,0.17362827062606812
in,0.2601168751716614,0.41474202275276184,0.27393898367881775,0.3815755248069763,0.27585887908935547,1.0,0.6662389636039734,0.2692960798740387,0.2571312189102173,0.5696388483047485,0.22147351503372192,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.28274044394493103,0.3906462490558624,0.2759207487106323,0.6662389636039734,1.0,0.31722962856292725,0.2524987757205963,0.733189046382904,0.2176690250635147,0.22068053483963013
city,0.12024712562561035,0.21416836977005005,0.41451045870780945,0.20383071899414062,0.1761283129453659,0.3911624252796173,0.35769423842430115,0.20585815608501434,0.4202835261821747,0.32503411173820496,0.3285287022590637,0.13423943519592285
.,0.3287222981452942,0.3974229395389557,0.2494935691356659,0.3378238379955292,0.21476124227046967,0.5591574311256409,0.5934505462646484,0.26320725679397583,0.22575056552886963,0.5352458953857422,0.2843366861343384,0.4130953550338745
