,who,was,the,denver,head,coach,for,super,bowl,50,?
following,0.1758657693862915,0.16493390500545502,0.39779382944107056,0.09479688107967377,0.14337530732154846,0.15365993976593018,0.2965082824230194,0.12383386492729187,0.14499105513095856,0.025637440383434296,0.1555173695087433
their,0.3767721951007843,0.2396296262741089,0.516537070274353,0.21170325577259064,0.19489040970802307,0.14400330185890198,0.3406745493412018,0.14342328906059265,0.1663845032453537,0.06537782400846481,0.1898253709077835
loss,0.10800512880086899,0.13580112159252167,0.27898719906806946,0.15033800899982452,0.15944170951843262,0.1634645313024521,0.24238932132720947,0.1820397824048996,0.19360493123531342,0.09759803861379623,0.1312553584575653
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.2221570909023285,0.21927717328071594,0.1651318073272705,0.4322226941585541,0.18576006591320038,0.17236235737800598,0.021892361342906952,0.20430970191955566
the,0.3733934462070465,0.48711544275283813,1.0,0.2052404284477234,0.3079071640968323,0.14297698438167572,0.4739971458911896,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
divisional,0.12287947535514832,0.22680401802062988,0.29866886138916016,0.19392408430576324,0.14744974672794342,0.16330519318580627,0.23845630884170532,0.2693016827106476,0.2604678273200989,0.12611772119998932,0.08093056827783585
round,0.14290806651115417,0.11483433097600937,0.19933617115020752,0.14808064699172974,0.19881977140903473,0.14596354961395264,0.21905264258384705,0.1735966056585312,0.24113938212394714,0.1024942472577095,0.17003268003463745
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.14595118165016174,0.2945564389228821,0.144924595952034,0.4185989499092102,0.14718765020370483,0.2243070751428604,0.006577443331480026,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,1.0,0.2052404284477234,0.3079071640968323,0.14297698438167572,0.4739971458911896,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
previous,0.1923418641090393,0.2747909128665924,0.34706559777259827,0.1472044736146927,0.13634024560451508,0.12951135635375977,0.27794817090034485,0.24849547445774078,0.15910620987415314,0.06875200569629669,0.16724538803100586
season,0.13809308409690857,0.24797968566417694,0.2507155239582062,0.2508152425289154,0.1542927622795105,0.24411138892173767,0.24490800499916077,0.2755677402019501,0.3117852509021759,0.06724537163972855,0.16793298721313477
