,under,what,law,is,value,of,a,worker,determined,?
under,0.9999999403953552,0.20154598355293274,0.2181660532951355,0.21294879913330078,0.07601591944694519,0.32766106724739075,0.18317826092243195,0.11642756313085556,0.18497660756111145,0.18233340978622437
the,0.3348022699356079,0.42745697498321533,0.24548950791358948,0.5823672413825989,0.16908381879329681,0.733189046382904,0.5829201340675354,0.19223305583000183,0.3632190227508545,0.22068053483963013
law,0.2181660532951355,0.2145031988620758,1.0000001192092896,0.18597714602947235,0.15974314510822296,0.2816956341266632,0.2212858349084854,0.1706094592809677,0.2086038887500763,0.1528988480567932
of,0.32766106724739075,0.33290785551071167,0.2816956341266632,0.4854315221309662,0.14933855831623077,1.0,0.5052502155303955,0.1631152182817459,0.3115927577018738,0.1826142966747284
supply,0.2209615409374237,0.20549191534519196,0.19814932346343994,0.23221483826637268,0.24772946536540985,0.23476092517375946,0.2115103155374527,0.16722515225410461,0.21995986998081207,0.14298182725906372
and,0.3005301356315613,0.31309178471565247,0.254730761051178,0.3859752118587494,0.24539050459861755,0.5116966962814331,0.3739250600337982,0.24489083886146545,0.2569243013858795,0.20544172823429108
demand,0.20273342728614807,0.2007312774658203,0.26964515447616577,0.20401930809020996,0.2916682958602905,0.2345065176486969,0.2180943340063095,0.1963481605052948,0.2561946213245392,0.13359291851520538
",",0.24875585734844208,0.3087472915649414,0.24953721463680267,0.4691906273365021,0.23697449266910553,0.4946078956127167,0.427140474319458,0.22260382771492004,0.20723886787891388,0.31091248989105225
the,0.3348022699356079,0.42745697498321533,0.24548950791358948,0.5823672413825989,0.16908381879329681,0.733189046382904,0.5829201340675354,0.19223305583000183,0.3632190227508545,0.22068053483963013
price,0.132817342877388,0.18606361746788025,0.17094245553016663,0.23069579899311066,0.32321640849113464,0.15675179660320282,0.18269109725952148,0.24033847451210022,0.18005411326885223,0.14631175994873047
of,0.32766106724739075,0.33290785551071167,0.2816956341266632,0.4854315221309662,0.14933855831623077,1.0,0.5052502155303955,0.1631152182817459,0.3115927577018738,0.1826142966747284
skill,0.12079239636659622,0.2639748454093933,0.14169883728027344,0.1515474021434784,0.23331640660762787,0.17985503375530243,0.23288211226463318,0.151121124625206,0.281462162733078,0.14437545835971832
is,0.21294879913330078,0.28837618231773376,0.18597714602947235,1.0,0.22550974786281586,0.4854315221309662,0.658733606338501,0.2077437937259674,0.2253464162349701,0.22961433231830597
determined,0.18497660756111145,0.2784222662448883,0.2086038887500763,0.2253464162349701,0.25760433077812195,0.3115927577018738,0.3001842796802521,0.13894116878509521,0.9999999403953552,0.19379007816314697
by,0.3161602020263672,0.2455483376979828,0.1977037936449051,0.3899846076965332,0.09974394738674164,0.3646814823150635,0.32094135880470276,0.16071033477783203,0.30726534128189087,0.17966607213020325
a,0.18317826092243195,0.3320399522781372,0.2212858349084854,0.658733606338501,0.2328912615776062,0.5052502155303955,1.0,0.3212657570838928,0.3001842796802521,0.23916715383529663
race,0.05988730117678642,0.1748659759759903,0.15310661494731903,0.18486739695072174,0.1388268619775772,0.22476476430892944,0.2359655350446701,0.16047990322113037,0.17122414708137512,0.1390368491411209
between,0.21604885160923004,0.2462156116962433,0.15484747290611267,0.26809602975845337,0.14342129230499268,0.3737983703613281,0.29385313391685486,0.11445057392120361,0.25654658675193787,0.12887074053287506
