,in,what,part,of,the,19th,century,were,steam,turbines,introduced,?
the,0.6662389636039734,0.42745697498321533,0.527681291103363,0.733189046382904,1.0,0.24964287877082825,0.3617299497127533,0.3906462490558624,0.23105813562870026,0.2202165722846985,0.242969810962677,0.22068053483963013
final,0.25512343645095825,0.20972409844398499,0.251373827457428,0.24563951790332794,0.3543182611465454,0.18431703746318817,0.06660190224647522,0.17690886557102203,0.1396767497062683,0.11309053003787994,0.12957404553890228,0.17315025627613068
major,0.3249945342540741,0.21026742458343506,0.22967763245105743,0.2641255557537079,0.31775903701782227,0.1350325644016266,0.21291306614875793,0.17227254807949066,0.10769499093294144,0.09536845237016678,0.18373613059520721,0.19788557291030884
evolution,0.2174839824438095,0.2432696372270584,0.15002387762069702,0.23780936002731323,0.2514035999774933,0.12615279853343964,0.19739171862602234,0.1475413590669632,0.17572443187236786,0.2726331651210785,0.2341490536928177,0.26797422766685486
of,0.5696388483047485,0.33290785551071167,0.452393114566803,1.0,0.733189046382904,0.16605104506015778,0.2826060354709625,0.34038281440734863,0.20239725708961487,0.2403727024793625,0.23328952491283417,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.527681291103363,0.733189046382904,1.0,0.24964287877082825,0.3617299497127533,0.3906462490558624,0.23105813562870026,0.2202165722846985,0.242969810962677,0.22068053483963013
steam,0.19852672517299652,0.15672586858272552,0.2198055386543274,0.20239725708961487,0.23105813562870026,0.18786564469337463,0.2347051203250885,0.20219570398330688,1.0000001192092896,0.5227647423744202,0.2068471610546112,0.113324373960495
engine,0.18885408341884613,0.18463268876075745,0.1659967452287674,0.17095594108104706,0.21651263535022736,0.17605720460414886,0.11477544158697128,0.164800226688385,0.4921848475933075,0.4924341142177582,0.1675797700881958,0.17739196121692657
design,0.21856798231601715,0.23893405497074127,0.20761273801326752,0.2522938847541809,0.27913451194763184,0.13710491359233856,0.1666169911623001,0.2101527899503708,0.2571820318698883,0.39161044359207153,0.28332576155662537,0.16351860761642456
was,0.45514053106307983,0.22111038863658905,0.3407018780708313,0.4069072902202606,0.48711544275283813,0.24231374263763428,0.3521432876586914,0.590133786201477,0.16913670301437378,0.19179941713809967,0.32667654752731323,0.18412111699581146
the,0.6662389636039734,0.42745697498321533,0.527681291103363,0.733189046382904,1.0,0.24964287877082825,0.3617299497127533,0.3906462490558624,0.23105813562870026,0.2202165722846985,0.242969810962677,0.22068053483963013
use,0.2715643048286438,0.3453877568244934,0.22493810951709747,0.2750902473926544,0.34342584013938904,0.1853867769241333,0.21389883756637573,0.26967236399650574,0.2950085997581482,0.3256891667842865,0.30526983737945557,0.32795652747154236
of,0.5696388483047485,0.33290785551071167,0.452393114566803,1.0,0.733189046382904,0.16605104506015778,0.2826060354709625,0.34038281440734863,0.20239725708961487,0.2403727024793625,0.23328952491283417,0.1826142966747284
steam,0.19852672517299652,0.15672586858272552,0.2198055386543274,0.20239725708961487,0.23105813562870026,0.18786564469337463,0.2347051203250885,0.20219570398330688,1.0000001192092896,0.5227647423744202,0.2068471610546112,0.113324373960495
turbines,0.23479467630386353,0.17412316799163818,0.14516901969909668,0.2403727024793625,0.2202165722846985,0.160379096865654,0.20577530562877655,0.2492387294769287,0.5227647423744202,1.0,0.2207401841878891,0.18342499434947968
starting,0.3013272285461426,0.25271084904670715,0.2976757287979126,0.23960795998573303,0.37272053956985474,0.183018758893013,0.25433021783828735,0.19936612248420715,0.2164931744337082,0.17975641787052155,0.19963370263576508,0.19133803248405457
in,1.0,0.30808621644973755,0.4499994218349457,0.5696388483047485,0.6662389636039734,0.15408828854560852,0.3174034655094147,0.3815755248069763,0.19852672517299652,0.23479467630386353,0.2614979147911072,0.20430970191955566
the,0.6662389636039734,0.42745697498321533,0.527681291103363,0.733189046382904,1.0,0.24964287877082825,0.3617299497127533,0.3906462490558624,0.23105813562870026,0.2202165722846985,0.242969810962677,0.22068053483963013
late,0.3439198434352875,0.1576872020959854,0.21615780889987946,0.21690747141838074,0.31481194496154785,0.20935547351837158,0.42292845249176025,0.37638410925865173,0.20586377382278442,0.1661190241575241,0.31480756402015686,0.11339222639799118
part,0.4499994218349457,0.3476244807243347,1.0,0.452393114566803,0.527681291103363,0.15928295254707336,0.22761808335781097,0.25213372707366943,0.2198055386543274,0.14516901969909668,0.15167053043842316,0.08557961881160736
of,0.5696388483047485,0.33290785551071167,0.452393114566803,1.0,0.733189046382904,0.16605104506015778,0.2826060354709625,0.34038281440734863,0.20239725708961487,0.2403727024793625,0.23328952491283417,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.527681291103363,0.733189046382904,1.0,0.24964287877082825,0.3617299497127533,0.3906462490558624,0.23105813562870026,0.2202165722846985,0.242969810962677,0.22068053483963013
19th,0.15408828854560852,0.11525199562311172,0.15928295254707336,0.16605104506015778,0.24964287877082825,1.0,0.25699272751808167,0.13102512061595917,0.18786564469337463,0.160379096865654,0.16097594797611237,0.004712673369795084
century,0.3174034655094147,0.20422613620758057,0.22761808335781097,0.2826060354709625,0.3617299497127533,0.25699272751808167,1.0,0.34997639060020447,0.2347051203250885,0.20577530562877655,0.29450833797454834,0.1026201918721199
.,0.5591574311256409,0.3567904531955719,0.32817673683166504,0.5352458953857422,0.5934505462646484,0.18941882252693176,0.27413639426231384,0.3378238379955292,0.22855372726917267,0.24173502624034882,0.2799728810787201,0.4130953550338745
