,what,city,was,former,wwe,nxt,champion,neville,born,in,?
musicians,0.18621641397476196,0.20518659055233002,0.1851368546485901,0.11144723743200302,0.16344726085662842,0.027934852987527847,0.21502359211444855,0.17403507232666016,0.24460101127624512,0.18022485077381134,0.13493949174880981
eric,0.1609877198934555,0.07920336723327637,0.21377113461494446,0.14655336737632751,0.17127300798892975,0.18964038789272308,0.15937526524066925,0.3086368143558502,0.2307654619216919,0.20329992473125458,0.19776561856269836
burdon,0.19104735553264618,0.21704362332820892,0.30641940236091614,0.24596820771694183,0.25902819633483887,0.19652807712554932,0.21936218440532684,0.43377065658569336,0.27781811356544495,0.30488958954811096,0.18435253202915192
",",0.3087472915649414,0.35839709639549255,0.45456063747406006,0.2738454341888428,0.21025894582271576,0.17750895023345947,0.2964343726634979,0.2736637592315674,0.37898433208465576,0.5201468467712402,0.31091248989105225
sting,0.16967664659023285,0.08417192101478577,0.18540701270103455,0.1634688675403595,0.3063017427921295,0.26102975010871887,0.26208359003067017,0.24316512048244476,0.16829782724380493,0.22779987752437592,0.17791864275932312
",",0.3087472915649414,0.35839709639549255,0.45456063747406006,0.2738454341888428,0.21025894582271576,0.17750895023345947,0.2964343726634979,0.2736637592315674,0.37898433208465576,0.5201468467712402,0.31091248989105225
mark,0.16941310465335846,0.1533317267894745,0.19058461487293243,0.14030519127845764,0.097211092710495,0.20492792129516602,0.13154637813568115,0.20107610523700714,0.21762073040008545,0.2269105464220047,0.11634156107902527
knopfler,0.25914090871810913,0.2939014136791229,0.2727208733558655,0.21467043459415436,0.1964254081249237,0.18664085865020752,0.20089201629161835,0.3232254981994629,0.353899210691452,0.25661078095436096,0.17785926163196564
",",0.3087472915649414,0.35839709639549255,0.45456063747406006,0.2738454341888428,0.21025894582271576,0.17750895023345947,0.2964343726634979,0.2736637592315674,0.37898433208465576,0.5201468467712402,0.31091248989105225
alan,0.134607195854187,0.14775896072387695,0.27611038088798523,0.17887701094150543,0.10566060990095139,0.16468116641044617,0.14016315340995789,0.28320252895355225,0.3186207413673401,0.20067796111106873,0.12765617668628693
hull,0.1103062629699707,0.2382834553718567,0.17099232971668243,0.13414838910102844,0.1494797170162201,0.11923990398645401,0.20757721364498138,0.3058609664440155,0.11331568658351898,0.21816319227218628,0.05562334880232811
",",0.3087472915649414,0.35839709639549255,0.45456063747406006,0.2738454341888428,0.21025894582271576,0.17750895023345947,0.2964343726634979,0.2736637592315674,0.37898433208465576,0.5201468467712402,0.31091248989105225
cheryl,0.14079608023166656,0.17079657316207886,0.23705260455608368,0.24378377199172974,0.24721316993236542,0.24397118389606476,0.18648679554462433,0.321725070476532,0.33368605375289917,0.14811544120311737,0.13797543942928314
