,what,program,did,red,cross,put,together,in,2011,?
this,0.5489566326141357,0.24903999269008636,0.3609912693500519,0.20705999433994293,0.21138621866703033,0.38769811391830444,0.278789222240448,0.45205554366111755,0.0691872388124466,0.3155723512172699
was,0.22111038863658905,0.1849333792924881,0.41399896144866943,0.1680612564086914,0.21060994267463684,0.24684612452983856,0.14391832053661346,0.45514053106307983,-0.022202642634510994,0.18412111699581146
last,0.23175878822803497,0.16244477033615112,0.30895525217056274,0.12552158534526825,0.06579229980707169,0.19071505963802338,0.1204666718840599,0.30714505910873413,-0.050088901072740555,0.22371746599674225
seen,0.3087027072906494,0.18835364282131195,0.23731118440628052,0.19140425324440002,0.20182469487190247,0.2624131739139557,0.10173606127500534,0.28402701020240784,-0.026654278859496117,0.2567344307899475
in,0.30808621644973755,0.1994907110929489,0.2593238651752472,0.18753071129322052,0.18247009813785553,0.26728662848472595,0.3252169191837311,1.0,0.08290185779333115,0.20430970191955566
august,0.2305731326341629,0.12181902676820755,0.26378265023231506,0.13931189477443695,0.16209477186203003,0.2448587417602539,0.13470184803009033,0.24307909607887268,4.913071097689681e-05,0.3006744682788849
and,0.31309178471565247,0.24895258247852325,0.34479495882987976,0.20267853140830994,0.25427764654159546,0.3297767639160156,0.37008100748062134,0.4954058527946472,0.0998905599117279,0.20544172823429108
september,0.2153792530298233,0.16305255889892578,0.2693498432636261,0.18093131482601166,0.13859358429908752,0.19520415365695953,0.1116684079170227,0.25402772426605225,-0.0178473349660635,0.2665146589279175
2011,0.04286744073033333,0.052061088383197784,-0.03760814294219017,-0.06985994428396225,-0.01145047415047884,0.05776968225836754,0.11856796592473984,0.08290185779333115,1.0,0.005212190095335245
prompting,0.20016826689243317,0.21337172389030457,0.2855590581893921,0.13622309267520905,0.08852449804544449,0.1742372363805771,0.019423848018050194,0.2141473889350891,0.02205496095120907,0.1389094889163971
the,0.42745697498321533,0.22986935079097748,0.34736719727516174,0.2817947566509247,0.25741100311279297,0.34150463342666626,0.26662585139274597,0.6662389636039734,0.07811610400676727,0.22068053483963013
kenyans,0.20263339579105377,0.22976888716220856,0.2702021896839142,0.11916026473045349,0.13046444952487946,0.11933255940675735,0.1649543195962906,0.23596632480621338,0.05713602527976036,0.18293815851211548
for,0.3017193675041199,0.29441335797309875,0.318512886762619,0.2239922434091568,0.17841768264770508,0.3295622766017914,0.20928718149662018,0.4322226941585541,0.10438573360443115,0.264628142118454
kenya,0.18398970365524292,0.12847794592380524,0.16214214265346527,0.08312852680683136,0.09631945192813873,0.0666922852396965,0.17036072909832,0.23621977865695953,0.021052585914731026,0.17197901010513306
initiative,0.22199440002441406,0.33900025486946106,0.19928596913814545,0.06119117885828018,0.15011486411094666,0.18316856026649475,0.08856011182069778,0.26211079955101013,0.14718402922153473,0.2048262655735016
by,0.2455483376979828,0.19954828917980194,0.18574509024620056,0.188492089509964,0.20809641480445862,0.2461918741464615,0.24535199999809265,0.370934396982193,0.12153666466474533,0.17966607213020325
the,0.42745697498321533,0.22986935079097748,0.34736719727516174,0.2817947566509247,0.25741100311279297,0.34150463342666626,0.26662585139274597,0.6662389636039734,0.07811610400676727,0.22068053483963013
red,0.16784515976905823,0.08645953983068466,0.11931999027729034,1.0000001192092896,0.27453988790512085,0.17294186353683472,0.10970724374055862,0.18753071129322052,-0.06985994428396225,0.1495664119720459
cross,0.1799720823764801,0.09054409712553024,0.13424496352672577,0.27453988790512085,1.0000001192092896,0.1844373345375061,0.11621272563934326,0.18247009813785553,-0.01145047415047884,0.12288589030504227
.,0.3567904531955719,0.18964338302612305,0.35288307070732117,0.27710169553756714,0.20566852390766144,0.32595527172088623,0.2842161953449249,0.5591574311256409,0.10024500638246536,0.4130953550338745
