,what,number,did,early,greeks,not,regard,as,a,true,number,?
most,0.3219912350177765,0.31398043036460876,0.2822507321834564,0.3838981091976166,0.2062595784664154,0.419027179479599,0.31329232454299927,0.3548237979412079,0.3508910834789276,0.20767371356487274,0.31398043036460876,0.2107497900724411
early,0.2454567849636078,0.23155848681926727,0.32047218084335327,1.0000001192092896,0.2305314987897873,0.2524304986000061,0.22230391204357147,0.2809016704559326,0.2710886299610138,0.15706446766853333,0.23155848681926727,0.15272949635982513
greeks,0.25405770540237427,0.15670953691005707,0.2329968512058258,0.2305314987897873,1.0000001192092896,0.24578534066677094,0.24176156520843506,0.1504541039466858,0.168259397149086,0.19188416004180908,0.15670953691005707,0.13888758420944214
did,0.4259131848812103,0.19046731293201447,1.0,0.32047218084335327,0.2329968512058258,0.6481515765190125,0.24471335113048553,0.3596470057964325,0.2552328109741211,0.23050670325756073,0.19046731293201447,0.3023456633090973
not,0.5449194312095642,0.30033785104751587,0.6481515765190125,0.2524304986000061,0.24578534066677094,0.9999999403953552,0.3792630732059479,0.5105602741241455,0.3791346549987793,0.40805140137672424,0.30033785104751587,0.41942933201789856
even,0.40872135758399963,0.3470761179924011,0.45816805958747864,0.31279343366622925,0.22939150035381317,0.6105154752731323,0.33126676082611084,0.37670591473579407,0.3278432786464691,0.37753188610076904,0.3470761179924011,0.30082517862319946
consider,0.44261306524276733,0.24816644191741943,0.2636986970901489,0.2130270004272461,0.15828248858451843,0.4058942198753357,0.5473142266273499,0.3220363259315491,0.308129221200943,0.2581089437007904,0.24816644191741943,0.37281370162963867
1,-0.21266892552375793,-0.20963284373283386,-0.2815930247306824,-0.16561560332775116,-0.2134731560945511,-0.31168678402900696,-0.2318117916584015,-0.2728762626647949,-0.20817746222019196,-0.2186937779188156,-0.20963284373283386,-0.249979168176651
to,0.455847829580307,0.2706126868724823,0.4452643394470215,0.24557004868984222,0.2559049427509308,0.5149973034858704,0.2820471227169037,0.42092081904411316,0.45503583550453186,0.22534622251987457,0.2706126868724823,0.29463258385658264
be,0.3929833769798279,0.28840136528015137,0.22657383978366852,0.2155047357082367,0.2133226990699768,0.5788898468017578,0.39632925391197205,0.5230465531349182,0.39883795380592346,0.30863335728645325,0.28840136528015137,0.3324260413646698
a,0.3320399522781372,0.2992287278175354,0.2552328109741211,0.2710886299610138,0.168259397149086,0.3791346549987793,0.22705335915088654,0.39550232887268066,1.0,0.18508830666542053,0.2992287278175354,0.23916715383529663
number,0.23046229779720306,1.0,0.19046731293201447,0.23155848681926727,0.15670953691005707,0.30033785104751587,0.17404334247112274,0.26786008477211,0.2992287278175354,0.2451673299074173,1.0,0.19256845116615295
",",0.3087472915649414,0.2535701394081116,0.3015086054801941,0.3022546172142029,0.21010330319404602,0.3769696354866028,0.3138519823551178,0.48816442489624023,0.427140474319458,0.252440869808197,0.2535701394081116,0.31091248989105225
so,0.539469838142395,0.35565751791000366,0.43696269392967224,0.2532782554626465,0.27933233976364136,0.6635211706161499,0.30361613631248474,0.4399555027484894,0.41474464535713196,0.32842469215393066,0.35565751791000366,0.43163934350013733
they,0.4431931674480438,0.2738943099975586,0.4879390597343445,0.29354071617126465,0.36136594414711,0.5804335474967957,0.25468000769615173,0.3294360637664795,0.3528250455856323,0.31935450434684753,0.2738943099975586,0.2753053903579712
could,0.4188697934150696,0.24592691659927368,0.6308382749557495,0.2772548794746399,0.25959277153015137,0.5930190086364746,0.27263954281806946,0.32771480083465576,0.3736826181411743,0.22960229218006134,0.24592691659927368,0.3411986827850342
not,0.5449194312095642,0.30033785104751587,0.6481515765190125,0.2524304986000061,0.24578534066677094,0.9999999403953552,0.3792630732059479,0.5105602741241455,0.3791346549987793,0.40805140137672424,0.30033785104751587,0.41942933201789856
consider,0.44261306524276733,0.24816644191741943,0.2636986970901489,0.2130270004272461,0.15828248858451843,0.4058942198753357,0.5473142266273499,0.3220363259315491,0.308129221200943,0.2581089437007904,0.24816644191741943,0.37281370162963867
it,0.45803478360176086,0.26851508021354675,0.2993364930152893,0.24063703417778015,0.20631638169288635,0.4651523232460022,0.2577289044857025,0.4461488723754883,0.5452592968940735,0.2074379026889801,0.26851508021354675,0.25732165575027466
to,0.455847829580307,0.2706126868724823,0.4452643394470215,0.24557004868984222,0.2559049427509308,0.5149973034858704,0.2820471227169037,0.42092081904411316,0.45503583550453186,0.22534622251987457,0.2706126868724823,0.29463258385658264
be,0.3929833769798279,0.28840136528015137,0.22657383978366852,0.2155047357082367,0.2133226990699768,0.5788898468017578,0.39632925391197205,0.5230465531349182,0.39883795380592346,0.30863335728645325,0.28840136528015137,0.3324260413646698
a,0.3320399522781372,0.2992287278175354,0.2552328109741211,0.2710886299610138,0.168259397149086,0.3791346549987793,0.22705335915088654,0.39550232887268066,1.0,0.18508830666542053,0.2992287278175354,0.23916715383529663
prime,0.15586113929748535,0.2556258738040924,0.15196266770362854,0.1371283233165741,0.09244392067193985,0.12917746603488922,0.11810290813446045,0.17482610046863556,0.17998681962490082,0.1760728508234024,0.2556258738040924,0.11276303976774216
.,0.3567904531955719,0.3256329298019409,0.35288307070732117,0.3224305212497711,0.22188177704811096,0.4824007451534271,0.2473854273557663,0.515582263469696,0.50484299659729,0.2852628827095032,0.3256329298019409,0.4130953550338745
