,what,did,john,mayow,name,the,part,of,air,that,caused,combustion,?
english,0.25060737133026123,0.18994997441768646,0.2619529068470001,0.20549607276916504,0.27055349946022034,0.23982001841068268,0.150423064827919,0.17198967933654785,0.05454796180129051,0.21455132961273193,0.07223565131425858,0.16030916571617126,0.23251567780971527
chemist,0.1775139421224594,0.15559643507003784,0.20747010409832,0.2756519019603729,0.13891972601413727,0.1387878656387329,0.11583489924669266,0.14547590911388397,0.1671835035085678,0.14571717381477356,0.1032429039478302,0.29845544695854187,0.14970816671848297
john,0.18237407505512238,0.18785913288593292,1.0000001192092896,0.23184731602668762,0.12458125501871109,0.2230520099401474,0.10001262277364731,0.2407056987285614,0.0848143994808197,0.17830057442188263,0.10003715008497238,0.14183802902698517,0.13162356615066528
mayow,0.1763436645269394,0.12362699210643768,0.23184731602668762,1.0,0.2568790912628174,0.2812022566795349,0.21830670535564423,0.29014331102371216,0.17096176743507385,0.17556115984916687,0.16663376986980438,0.16323989629745483,0.1919955462217331
(,0.2411840260028839,0.18979617953300476,0.21336311101913452,0.23541131615638733,0.2706909477710724,0.33289089798927307,0.2208257019519806,0.35032153129577637,0.17194215953350067,0.2264307141304016,0.21355032920837402,0.1831625998020172,0.40561532974243164
1641–1679,0.00726746954023838,-0.019187206402420998,-0.021675512194633484,0.07227088510990143,0.08314526081085205,0.01246577873826027,0.05467391759157181,0.05342675745487213,0.02100888080894947,0.06621299684047699,0.15363776683807373,0.24064968526363373,0.010923127643764019
),0.26259949803352356,0.18584993481636047,0.22096103429794312,0.2183610051870346,0.2638341188430786,0.3456730246543884,0.24734117090702057,0.3680361211299896,0.18929895758628845,0.23478686809539795,0.19493544101715088,0.19253681600093842,0.42300865054130554
refined,0.17683129012584686,0.20237627625465393,0.14146414399147034,0.1535143256187439,0.1614791750907898,0.20095133781433105,0.20527084171772003,0.23328354954719543,0.13335780799388885,0.2415933758020401,0.1761007159948349,0.35517215728759766,0.15091994404792786
this,0.5489566326141357,0.3609912693500519,0.1772448569536209,0.18337415158748627,0.30142447352409363,0.6274310946464539,0.38220882415771484,0.45148900151252747,0.2279079556465149,0.6909449696540833,0.2965903580188751,0.3247292935848236,0.3155723512172699
work,0.3762225806713104,0.336654931306839,0.1933109015226364,0.1086547002196312,0.15755409002304077,0.2704800069332123,0.2006094753742218,0.23473061621189117,0.15196478366851807,0.34257015585899353,0.10121937841176987,0.28276142477989197,0.2621155381202698
by,0.2455483376979828,0.18574509024620056,0.2502059042453766,0.2035512924194336,0.25480157136917114,0.4408751428127289,0.28271573781967163,0.3646814823150635,0.19110813736915588,0.37496164441108704,0.30491310358047485,0.22674179077148438,0.17966607213020325
showing,0.2931436598300934,0.24708130955696106,0.13000836968421936,0.2067384123802185,0.16194655001163483,0.34540408849716187,0.23000109195709229,0.3515862822532654,0.09760066121816635,0.3517906069755554,0.2110625058412552,0.1439448595046997,0.23185425996780396
that,0.6297725439071655,0.47518548369407654,0.17830057442188263,0.17556115984916687,0.27224332094192505,0.5473989248275757,0.37747326493263245,0.41498205065727234,0.19720019400119781,1.0,0.33201703429222107,0.30958232283592224,0.32716336846351624
