,what,scale,does,trade,liberalization,shift,economic,inequality,from,?
trade,0.1555381417274475,0.10811597108840942,0.15124301612377167,0.9999999403953552,0.3136848509311676,0.18374021351337433,0.46113836765289307,0.25770148634910583,0.20397596061229706,0.09336511790752411
liberalization,0.29425597190856934,0.1894177347421646,0.24374036490917206,0.3136848509311676,1.0,0.2588145136833191,0.5018863081932068,0.6114742755889893,0.16400425136089325,0.25164350867271423
may,0.25739946961402893,0.13989302515983582,0.35508081316947937,0.16913652420043945,0.23832112550735474,0.14882299304008484,0.1571781188249588,0.13336430490016937,0.23997589945793152,0.2768254578113556
shift,0.3028343617916107,0.24715961515903473,0.15235808491706848,0.18374021351337433,0.2588145136833191,1.0,0.2108028382062912,0.2523699104785919,0.28380247950553894,0.1848975419998169
economic,0.18082544207572937,0.2672191560268402,0.14175917208194733,0.46113836765289307,0.5018863081932068,0.2108028382062912,0.9999999403953552,0.4401332437992096,0.14037707448005676,0.1206481084227562
inequality,0.30072227120399475,0.2958756387233734,0.24271976947784424,0.25770148634910583,0.6114742755889893,0.2523699104785919,0.4401332437992096,1.0000001192092896,0.06381086260080338,0.23619021475315094
from,0.2737620174884796,0.12860189378261566,0.1777622550725937,0.20397596061229706,0.16400425136089325,0.28380247950553894,0.14037707448005676,0.06381086260080338,1.0,0.19969791173934937
a,0.3320399522781372,0.2199064940214157,0.38201746344566345,0.2032492309808731,0.26267170906066895,0.18296891450881958,0.2234611213207245,0.1783585250377655,0.322764128446579,0.23916715383529663
global,0.21706031262874603,0.18423375487327576,0.17425571382045746,0.27346277236938477,0.24330928921699524,0.176430344581604,0.4006912410259247,0.3049941062927246,0.1645282357931137,0.22985349595546722
to,0.455847829580307,0.18474817276000977,0.4391997456550598,0.2781698405742645,0.2391578108072281,0.23390066623687744,0.26856908202171326,0.24361056089401245,0.4069952368736267,0.29463258385658264
a,0.3320399522781372,0.2199064940214157,0.38201746344566345,0.2032492309808731,0.26267170906066895,0.18296891450881958,0.2234611213207245,0.1783585250377655,0.322764128446579,0.23916715383529663
domestic,0.11560896784067154,0.2080635130405426,0.2011425495147705,0.32551541924476624,0.1327098160982132,0.14562979340553284,0.30697253346443176,0.23119238018989563,0.15954643487930298,0.1850636899471283
scale,0.23262472450733185,1.0000001192092896,0.11024517565965652,0.10811597108840942,0.1894177347421646,0.24715961515903473,0.2672191560268402,0.2958756387233734,0.12860189378261566,0.21142835915088654
.,0.3567904531955719,0.23170605301856995,0.3022993505001068,0.20157761871814728,0.2557470202445984,0.14610476791858673,0.22435031831264496,0.22563500702381134,0.41536515951156616,0.4130953550338745
