,what,is,the,term,for,a,meeting,of,mongol,chiefs,?
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.1040644645690918,0.34237727522850037,0.3095070421695709,0.2620472311973572,0.42558613419532776,0.1027381643652916,0.13438034057617188,0.21978627145290375
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3080509603023529,0.44038116931915283,1.0,0.23210038244724274,0.5052502155303955,0.15921570360660553,0.1858857125043869,0.23916715383529663
khuruldai,0.24253760278224945,0.3018270432949066,0.2679694890975952,0.11383554339408875,0.1798693835735321,0.2602756917476654,0.18848556280136108,0.2947298586368561,0.528007447719574,0.26679953932762146,0.23691365122795105
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21599270403385162,0.4464869201183319,0.427140474319458,0.25274211168289185,0.4946078956127167,0.2229510098695755,0.21501587331295013,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3080509603023529,0.44038116931915283,1.0,0.23210038244724274,0.5052502155303955,0.15921570360660553,0.1858857125043869,0.23916715383529663
council,0.16933071613311768,0.2196589708328247,0.2829204201698303,0.2115360051393509,0.1601620316505432,0.16385574638843536,0.40305057168006897,0.2972237169742584,0.1669999212026596,0.2852322459220886,0.1160062924027443
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.26047757267951965,0.4185989499092102,0.5052502155303955,0.2703947126865387,1.0,0.22712039947509766,0.23118822276592255,0.1826142966747284
mongol,0.15870186686515808,0.1650545746088028,0.2924198508262634,0.09336904436349869,0.1556200236082077,0.15921570360660553,0.12381590902805328,0.22712039947509766,1.0000001192092896,0.23601149022579193,0.12849251925945282
chiefs,0.1729954481124878,0.1295265257358551,0.28790906071662903,0.10308270901441574,0.18576402962207794,0.1858857125043869,0.24071955680847168,0.23118822276592255,0.23601149022579193,1.0,0.13727404177188873
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21599270403385162,0.4464869201183319,0.427140474319458,0.25274211168289185,0.4946078956127167,0.2229510098695755,0.21501587331295013,0.31091248989105225
temüjin,0.34580421447753906,0.2998083829879761,0.43713900446891785,0.22016724944114685,0.2671065032482147,0.36845725774765015,0.2479071170091629,0.378805011510849,0.599585771560669,0.31086668372154236,0.21090233325958252
was,0.22111038863658905,0.5810302495956421,0.48711544275283813,0.21378034353256226,0.3863949179649353,0.4508470594882965,0.24202010035514832,0.4069072902202606,0.17204789817333221,0.24897491931915283,0.18412111699581146
acknowledged,0.27519023418426514,0.13597173988819122,0.24316465854644775,0.22288480401039124,0.27328377962112427,0.17088358104228973,0.1635657101869583,0.2888377606868744,0.20957571268081665,0.2375825047492981,0.20185135304927826
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.3224089443683624,0.44774648547172546,0.39550232887268066,0.20302601158618927,0.3886612355709076,0.17740172147750854,0.21379293501377106,0.27043893933296204
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.11803510040044785,0.01270448137074709,0.07272057235240936,0.030480898916721344,0.06780257821083069,0.12942542135715485,0.04020228609442711,0.0685480609536171
khan,0.16476042568683624,0.20103248953819275,0.21067845821380615,0.09061155468225479,0.13388998806476593,0.1743650734424591,0.1521243304014206,0.17124508321285248,0.5576101541519165,0.22487635910511017,0.12862591445446014
