,what,did,robert,koch,prove,was,the,cause,of,infectious,disease,?
it,0.45803478360176086,0.2993364930152893,0.1786579191684723,0.18061679601669312,0.26621633768081665,0.4577186405658722,0.6251175999641418,0.26461511850357056,0.38761502504348755,0.21182864904403687,0.2126798927783966,0.25732165575027466
was,0.22111038863658905,0.41399896144866943,0.24186499416828156,0.24812865257263184,0.1949908286333084,1.0000001192092896,0.48711544275283813,0.1555917114019394,0.4069072902202606,0.1822981983423233,0.1844245046377182,0.18412111699581146
not,0.5449194312095642,0.6481515765190125,0.14800097048282623,0.23476511240005493,0.4673531651496887,0.2888734042644501,0.4310511648654938,0.4372738003730774,0.3307090103626251,0.17878997325897217,0.2064151167869568,0.41942933201789856
until,0.2693650424480438,0.33905428647994995,0.19647179543972015,0.20842142403125763,0.2078610211610794,0.43126991391181946,0.37191009521484375,0.1786782294511795,0.2787701487541199,0.14111565053462982,0.21772973239421844,0.20304496586322784
robert,0.1948658525943756,0.16245460510253906,0.9999999403953552,0.2957082986831665,0.13156850636005402,0.24186499416828156,0.2257954627275467,0.10706252604722977,0.2398476004600525,0.21912018954753876,0.20231865346431732,0.11293095350265503
koch,0.2076340615749359,0.21017765998840332,0.2957082986831665,1.0000001192092896,0.2095271348953247,0.24812865257263184,0.21238113939762115,0.12690672278404236,0.17438627779483795,0.2040102630853653,0.24961690604686737,0.2019832581281662
's,0.02692362666130066,0.05069678649306297,0.028171386569738388,-0.04955345392227173,0.04695160686969757,0.008974763564765453,-0.01540423184633255,-0.04770376905798912,-0.03817026689648628,-0.11645638942718506,-0.12860681116580963,-0.023395681753754616
1891,0.16301026940345764,0.16172941029071808,0.14987264573574066,0.0975557342171669,0.13116978108882904,0.16745510697364807,0.20667614042758942,-0.04253898188471794,0.18140734732151031,-0.021891679614782333,0.0028392707463353872,0.17882704734802246
proofs,0.2780887484550476,0.2568397521972656,0.21566011011600494,0.24763540923595428,0.5160939693450928,0.1710074543952942,0.18933646380901337,0.2637467086315155,0.18107430636882782,0.24711021780967712,0.21968628466129303,0.2640763521194458
",",0.3087472915649414,0.3015086054801941,0.22878289222717285,0.2431698590517044,0.2527165114879608,0.45456063747406006,0.4933079481124878,0.2546827793121338,0.4946078956127167,0.26648250222206116,0.29627472162246704,0.31091248989105225
for,0.3017193675041199,0.318512886762619,0.19542941451072693,0.18120045959949493,0.26209700107574463,0.3863949179649353,0.4739971458911896,0.255321204662323,0.4185989499092102,0.22198890149593353,0.21683698892593384,0.264628142118454
which,0.5261979103088379,0.2750149369239807,0.14939574897289276,0.17786642909049988,0.2723139524459839,0.2830964922904968,0.6521818041801453,0.35877716541290283,0.5011631846427917,0.24591106176376343,0.24897535145282745,0.25814583897590637
he,0.3114890456199646,0.3292143940925598,0.2237810343503952,0.24786779284477234,0.23033350706100464,0.5410010814666748,0.4571082592010498,0.18035364151000977,0.38706058263778687,0.2046545296907425,0.2768293619155884,0.2089974731206894
was,0.22111038863658905,0.41399896144866943,0.24186499416828156,0.24812865257263184,0.1949908286333084,1.0000001192092896,0.48711544275283813,0.1555917114019394,0.4069072902202606,0.1822981983423233,0.1844245046377182,0.18412111699581146
awarded,0.0973663404583931,0.20935551822185516,0.22663284838199615,0.14101582765579224,0.18190568685531616,0.30614012479782104,0.24971646070480347,0.10746963322162628,0.2630610167980194,0.2256459891796112,0.15243014693260193,0.1431703418493271
a,0.3320399522781372,0.2552328109741211,0.2100449502468109,0.14741621911525726,0.26881837844848633,0.4508470594882965,0.5829201340675354,0.2715701162815094,0.5052502155303955,0.20229922235012054,0.18050196766853333,0.23916715383529663
nobel,0.20388969779014587,0.18714043498039246,0.23964105546474457,0.2053881585597992,0.1483180820941925,0.2319665551185608,0.1909446120262146,0.22415538132190704,0.20963376760482788,0.2578882575035095,0.206349179148674,0.15008176863193512
