,what,principle,highlights,the,significance,of,primes,in,number,theory
this,0.5489566326141357,0.3231566250324249,0.2011978030204773,0.6274310946464539,0.37594830989837646,0.45148900151252747,0.26863330602645874,0.45205554366111755,0.3291929066181183,0.2884212136268616
local-global,0.28244584798812866,0.1629985272884369,0.2649908661842346,0.2944955825805664,0.26513513922691345,0.3040928542613983,0.16107501089572906,0.2693634033203125,0.2371576428413391,0.22677715122699738
principle,0.3569014072418213,1.0,0.14001810550689697,0.24017377197742462,0.3319314122200012,0.2430231273174286,0.32619720697402954,0.16382117569446564,0.1971951276063919,0.5460558533668518
again,0.3921525180339813,0.15333427488803864,0.12125592678785324,0.4104243218898773,0.10614749044179916,0.24152639508247375,0.2072920948266983,0.3318929970264435,0.19660934805870056,0.11593607813119888
underlines,0.34868571162223816,0.2528221905231476,0.31175944209098816,0.2881310284137726,0.2968648374080658,0.23126527667045593,0.24122361838817596,0.2577492296695709,0.19731074571609497,0.22348704934120178
the,0.42745697498321533,0.24017377197742462,0.22939816117286682,1.0,0.30353599786758423,0.733189046382904,0.22359657287597656,0.6662389636039734,0.35145696997642517,0.2277156263589859
importance,0.28515949845314026,0.3278684914112091,0.2624775171279907,0.2901651859283447,0.5871812701225281,0.30354931950569153,0.14925634860992432,0.3019990622997284,0.2522429823875427,0.2908622622489929
of,0.33290785551071167,0.2430231273174286,0.21302594244480133,0.733189046382904,0.2854430079460144,1.0,0.22199293971061707,0.5696388483047485,0.2778518795967102,0.23506702482700348
primes,0.2505246102809906,0.32619720697402954,0.12051578611135483,0.22359657287597656,0.17583882808685303,0.22199293971061707,1.0,0.20882321894168854,0.42379385232925415,0.27788615226745605
to,0.455847829580307,0.22799374163150787,0.22284379601478577,0.535392165184021,0.23618555068969727,0.41548454761505127,0.22901344299316406,0.45010748505592346,0.2706126868724823,0.21947365999221802
number,0.23046229779720306,0.1971951276063919,0.160906121134758,0.35145696997642517,0.2933773100376129,0.2778518795967102,0.42379385232925415,0.3024539053440094,1.0,0.24102473258972168
theory,0.297923743724823,0.5460558533668518,0.12011927366256714,0.2277156263589859,0.2884756624698639,0.23506702482700348,0.27788615226745605,0.16955126821994781,0.24102473258972168,0.9999999403953552
.,0.3567904531955719,0.1894911378622055,0.21908263862133026,0.5934505462646484,0.2564675509929657,0.5352458953857422,0.2564551830291748,0.5591574311256409,0.3256329298019409,0.18047811090946198
