,who,are,fda,laws,against,importing,medications,aimed,at,?
while,0.4068111777305603,0.34230953454971313,0.1681811660528183,0.1977279782295227,0.3250056505203247,0.297291100025177,0.26909881830215454,0.24868254363536835,0.37809836864471436,0.21076419949531555
in,0.2792111933231354,0.3841303884983063,0.12459597736597061,0.2591988444328308,0.27273955941200256,0.2097962200641632,0.20176923274993896,0.22416192293167114,0.4374977946281433,0.20430970191955566
most,0.35393568873405457,0.48698675632476807,0.1249413937330246,0.1916833221912384,0.21446017920970917,0.2754654884338379,0.24236629903316498,0.19749107956886292,0.22451047599315643,0.2107497900724411
cases,0.26357710361480713,0.4178389310836792,0.3057475984096527,0.3156070411205292,0.19846385717391968,0.25287333130836487,0.424956738948822,0.13943733274936676,0.15272441506385803,0.25599566102027893
importation,0.16489697992801666,0.23285537958145142,0.3925739526748657,0.36080676317214966,0.22033636271953583,0.5944749712944031,0.31697356700897217,0.22377325594425201,0.15326529741287231,0.2755364775657654
of,0.2827862501144409,0.39081433415412903,0.22591575980186462,0.2539142072200775,0.2669808566570282,0.22929947078227997,0.25834259390830994,0.17739766836166382,0.42558613419532776,0.1826142966747284
prescription,0.2743528187274933,0.23807872831821442,0.5190218091011047,0.3217199742794037,0.12603947520256042,0.3055973947048187,0.7030735015869141,0.19627809524536133,0.13151216506958008,0.1977909505367279
medications,0.26118338108062744,0.3704794943332672,0.48750513792037964,0.30201005935668945,0.1565142124891281,0.25131750106811523,1.0,0.20039483904838562,0.18424174189567566,0.22114922106266022
violates,0.20566043257713318,0.2491704523563385,0.31571394205093384,0.42483770847320557,0.3180899918079376,0.343987375497818,0.27009689807891846,0.22367386519908905,0.173288956284523,0.3474772870540619
food,0.20560918748378754,0.26481935381889343,0.4097723960876465,0.22522671520709991,0.08632446825504303,0.2334456741809845,0.4215312600135803,0.21531613171100616,0.13962680101394653,0.15376032888889313
and,0.41279885172843933,0.48576638102531433,0.20718806982040405,0.290377676486969,0.3292689621448517,0.3129800260066986,0.25130701065063477,0.23274865746498108,0.3571503460407257,0.20544172823429108
