,some,species,of,beroe,have,a,pair,of,strips,of,adhesive,cells,on,the,stomach,wall,.,what,does,it,do,?
in,0.4010399878025055,0.2179255336523056,0.5696388483047485,0.21582861244678497,0.36843645572662354,0.539380669593811,0.19120758771896362,0.5696388483047485,0.1890670359134674,0.5696388483047485,0.1661490947008133,0.1711641103029251,0.46853652596473694,0.6662389636039734,0.26206666231155396,0.22622939944267273,0.5591574311256409,0.30808621644973755,0.214483380317688,0.5130809545516968,0.23402775824069977,0.20430970191955566
front,0.19829729199409485,0.14568200707435608,0.2804802656173706,0.13882361352443695,0.25826430320739746,0.3073227107524872,0.30957168340682983,0.2804802656173706,0.20126786828041077,0.2804802656173706,0.2881597578525543,0.11804762482643127,0.29847025871276855,0.3733479380607605,0.21246686577796936,0.339542031288147,0.28043535351753235,0.19401875138282776,0.18855611979961395,0.1996580958366394,0.15774807333946228,0.16351862251758575
of,0.4300730526447296,0.23307405412197113,1.0,0.24126726388931274,0.3802283704280853,0.5052502155303955,0.19449220597743988,1.0,0.21180932223796844,1.0,0.24816083908081055,0.21305565536022186,0.3966929316520691,0.733189046382904,0.23124437034130096,0.18525563180446625,0.5352458953857422,0.33290785551071167,0.3119818866252899,0.38761502504348755,0.26150479912757874,0.1826142966747284
the,0.4566698372364044,0.2522439956665039,0.733189046382904,0.2654626965522766,0.40389683842658997,0.5829201340675354,0.2643369734287262,0.733189046382904,0.22506500780582428,0.733189046382904,0.19201050698757172,0.19095487892627716,0.5107308030128479,1.0,0.23040339350700378,0.3003387749195099,0.5934505462646484,0.42745697498321533,0.35928019881248474,0.6251175999641418,0.30239659547805786,0.22068053483963013
field,0.19504235684871674,0.15891876816749573,0.20410659909248352,0.13483770191669464,0.1908785104751587,0.2030690312385559,0.12981370091438293,0.20410659909248352,0.2119152694940567,0.20410659909248352,0.2073592245578766,0.17542441189289093,0.192391499876976,0.2105809599161148,0.11924731731414795,0.21192926168441772,0.23224417865276337,0.1825202852487564,0.1662576049566269,0.1835959255695343,0.1733429878950119,0.11279727518558502
of,0.4300730526447296,0.23307405412197113,1.0,0.24126726388931274,0.3802283704280853,0.5052502155303955,0.19449220597743988,1.0,0.21180932223796844,1.0,0.24816083908081055,0.21305565536022186,0.3966929316520691,0.733189046382904,0.23124437034130096,0.18525563180446625,0.5352458953857422,0.33290785551071167,0.3119818866252899,0.38761502504348755,0.26150479912757874,0.1826142966747284
macrocilia,0.28302791714668274,0.40416574478149414,0.22113971412181854,0.33188626170158386,0.2694680988788605,0.2441171109676361,0.22550763189792633,0.22113971412181854,0.1677575558423996,0.22113971412181854,0.3062302768230438,0.35931017994880676,0.11239802092313766,0.16270484030246735,0.2341986894607544,0.22870871424674988,0.16483590006828308,0.23893707990646362,0.22999007999897003,0.13790634274482727,0.2738080322742462,0.20947900414466858
",",0.42400437593460083,0.2223871648311615,0.4946078956127167,0.2364800125360489,0.3541618287563324,0.427140474319458,0.17576158046722412,0.4946078956127167,0.1962551474571228,0.4946078956127167,0.17612706124782562,0.20582014322280884,0.49057599902153015,0.4933079481124878,0.31099626421928406,0.21039406955242157,0.6812511086463928,0.3087472915649414,0.28617382049560547,0.48329564929008484,0.3283645510673523,0.31091248989105225
on,0.31474894285202026,0.17463403940200806,0.3966929316520691,0.16552194952964783,0.36494916677474976,0.3848365545272827,0.1934850513935089,0.3966929316520691,0.26210927963256836,0.3966929316520691,0.22518566250801086,0.14727668464183807,0.9999999403953552,0.5107308030128479,0.2053767740726471,0.24183031916618347,0.49257001280784607,0.34226128458976746,0.2568802833557129,0.4529881477355957,0.3025321364402771,0.2714994251728058
the,0.4566698372364044,0.2522439956665039,0.733189046382904,0.2654626965522766,0.40389683842658997,0.5829201340675354,0.2643369734287262,0.733189046382904,0.22506500780582428,0.733189046382904,0.19201050698757172,0.19095487892627716,0.5107308030128479,1.0,0.23040339350700378,0.3003387749195099,0.5934505462646484,0.42745697498321533,0.35928019881248474,0.6251175999641418,0.30239659547805786,0.22068053483963013
mouth,0.17120595276355743,0.21408823132514954,0.2183857262134552,0.19541604816913605,0.15580078959465027,0.22701963782310486,0.20814572274684906,0.2183857262134552,0.1940971314907074,0.2183857262134552,0.26427754759788513,0.24190957844257355,0.23081868886947632,0.3073960244655609,0.5015929937362671,0.2362799197435379,0.24325765669345856,0.18337541818618774,0.21820485591888428,0.2545073330402374,0.17105767130851746,0.21761061251163483
``,0.06408426910638809,0.0859888568520546,0.06780257821083069,0.1646428406238556,0.1022237241268158,0.07272057235240936,0.1758156567811966,0.06780257821083069,-0.0345962718129158,0.06780257821083069,0.07026169449090958,0.1241510808467865,-0.03274054825305939,0.029072100296616554,0.1376761943101883,-0.04662159085273743,0.05720457062125206,0.008517155423760414,0.06539655476808548,0.035206809639930725,0.06628920882940292,0.0685480609536171
