,what,analyst,did,not,agree,with,the,ruling,of,the,incomplete,pass,?
cbs,0.1950361132621765,0.41702330112457275,0.15259867906570435,0.16162489354610443,0.1697251796722412,0.20131054520606995,0.2283918708562851,0.18227609992027283,0.16151919960975647,0.2283918708562851,0.1478850096464157,0.07778449356555939,0.14594407379627228
analyst,0.2710413932800293,0.9999999403953552,0.16619203984737396,0.13800005614757538,0.17354413866996765,0.14874672889709473,0.24423721432685852,0.1758400946855545,0.15686160326004028,0.24423721432685852,0.16197101771831512,0.17997388541698456,0.14693133533000946
and,0.31309178471565247,0.2548525333404541,0.34479495882987976,0.39099299907684326,0.24357949197292328,0.5477725267410278,0.5171257257461548,0.22433462738990784,0.5116966962814331,0.5171257257461548,0.22793281078338623,0.2433357536792755,0.20544172823429108
retired,0.15327663719654083,0.2949618399143219,0.23316018283367157,0.16701801121234894,0.1482507437467575,0.13367979228496552,0.1808674931526184,0.15926028788089752,0.15906205773353577,0.1808674931526184,0.11695950478315353,0.07214046269655228,0.16394437849521637
referee,0.11682283133268356,0.2608860731124878,0.18121911585330963,0.1385427862405777,0.13659626245498657,0.1615763008594513,0.12151769548654556,0.17151780426502228,0.060054514557123184,0.12151769548654556,0.09591933339834213,0.11870309710502625,0.12022203952074051
mike,0.16820542514324188,0.3164297342300415,0.1280650645494461,0.11841143667697906,0.13737855851650238,0.12550413608551025,0.1855325549840927,0.13758233189582825,0.08880706131458282,0.1855325549840927,0.21237510442733765,0.11334234476089478,0.1076895147562027
carey,0.19989164173603058,0.22250686585903168,0.21333985030651093,0.20166385173797607,0.14192567765712738,0.20186108350753784,0.2215646356344223,0.06401080638170242,0.16527409851551056,0.2215646356344223,0.15709874033927917,0.08024220168590546,0.1994398981332779
stated,0.3668954074382782,0.2896844148635864,0.3936442732810974,0.38202324509620667,0.4303135275840759,0.23135985434055328,0.2814950942993164,0.19073879718780518,0.22148488461971283,0.2814950942993164,0.2759929597377777,0.1481345295906067,0.24280361831188202
he,0.3114890456199646,0.32713496685028076,0.3292143940925598,0.29440581798553467,0.21192626655101776,0.2845253646373749,0.4571082592010498,0.24754543602466583,0.38706058263778687,0.4571082592010498,0.14080755412578583,0.11830402165651321,0.2089974731206894
disagreed,0.4307783246040344,0.20780888199806213,0.4441068768501282,0.360115110874176,0.5844493508338928,0.30821868777275085,0.2514760196208954,0.34559017419815063,0.27179938554763794,0.2514760196208954,0.18533317744731903,0.10324672609567642,0.24631625413894653
with,0.2464839518070221,0.14874672889709473,0.25472134351730347,0.3409014642238617,0.32099679112434387,0.9999999403953552,0.4223487675189972,0.16953571140766144,0.41827285289764404,0.4223487675189972,0.23225899040699005,0.16526761651039124,0.2433311939239502
the,0.42745697498321533,0.24423721432685852,0.34736719727516174,0.4310511648654938,0.23006735742092133,0.4223487675189972,1.0,0.31106188893318176,0.733189046382904,1.0,0.2598716616630554,0.25961899757385254,0.22068053483963013
call,0.3242133855819702,0.12975457310676575,0.22224749624729156,0.3048311173915863,0.30692631006240845,0.22334177792072296,0.26640447974205017,0.17366376519203186,0.2378445267677307,0.26640447974205017,0.06423988938331604,0.1488819420337677,0.23091886937618256
and,0.31309178471565247,0.2548525333404541,0.34479495882987976,0.39099299907684326,0.24357949197292328,0.5477725267410278,0.5171257257461548,0.22433462738990784,0.5116966962814331,0.5171257257461548,0.22793281078338623,0.2433357536792755,0.20544172823429108
felt,0.31107643246650696,0.16809377074241638,0.40926527976989746,0.34810712933540344,0.3085296154022217,0.27416718006134033,0.28054580092430115,0.250387966632843,0.2637780010700226,0.28054580092430115,0.15950727462768555,0.12738941609859467,0.17489777505397797
the,0.42745697498321533,0.24423721432685852,0.34736719727516174,0.4310511648654938,0.23006735742092133,0.4223487675189972,1.0,0.31106188893318176,0.733189046382904,1.0,0.2598716616630554,0.25961899757385254,0.22068053483963013
review,0.27832862734794617,0.28037527203559875,0.26513242721557617,0.23388391733169556,0.3170027434825897,0.13687945902347565,0.245576411485672,0.18116642534732819,0.18473945558071136,0.245576411485672,0.23897482454776764,0.19090893864631653,0.27187594771385193
clearly,0.5452611446380615,0.20812618732452393,0.291103720664978,0.5268644094467163,0.4522680640220642,0.31566503643989563,0.37195420265197754,0.29966163635253906,0.2792348265647888,0.37195420265197754,0.40788403153419495,0.2015528380870819,0.40760257840156555
showed,0.23458190262317657,0.2251332700252533,0.36768215894699097,0.2641807496547699,0.18022605776786804,0.27643677592277527,0.3101346790790558,0.12186773866415024,0.31843405961990356,0.3101346790790558,0.2776740789413452,0.08005747199058533,0.17389845848083496
the,0.42745697498321533,0.24423721432685852,0.34736719727516174,0.4310511648654938,0.23006735742092133,0.4223487675189972,1.0,0.31106188893318176,0.733189046382904,1.0,0.2598716616630554,0.25961899757385254,0.22068053483963013
pass,0.24105259776115417,0.17997388541698456,0.1339150071144104,0.2082633674144745,0.16939009726047516,0.16526761651039124,0.25961899757385254,0.1677265465259552,0.18302802741527557,0.25961899757385254,0.16806188225746155,1.0000001192092896,0.09478675574064255
was,0.22111038863658905,0.29761555790901184,0.41399896144866943,0.2888734042644501,0.1859472543001175,0.27411898970603943,0.48711544275283813,0.2731495797634125,0.4069072902202606,0.48711544275283813,0.13755717873573303,0.1040167361497879,0.18412111699581146
complete,0.29213884472846985,0.16230060160160065,0.2538607120513916,0.3003719449043274,0.24957384169101715,0.20904628932476044,0.277624249458313,0.1088833436369896,0.3009350895881653,0.277624249458313,0.8146076202392578,0.18746964633464813,0.11962060630321503
.,0.3567904531955719,0.21018318831920624,0.35288307070732117,0.4824007451534271,0.21474891901016235,0.4446153938770294,0.5934505462646484,0.2250068336725235,0.5352458953857422,0.5934505462646484,0.2535707652568817,0.1901644617319107,0.4130953550338745
