,who,aide,the,reich,in,germany,in,antisemitism,?
christopher,0.28159621357917786,0.21538087725639343,0.22499394416809082,0.16884954273700714,0.19567829370498657,0.13277362287044525,0.19567829370498657,0.12600944936275482,0.09195942431688309
j.,-0.022884098812937737,-0.026160797104239464,0.03800997510552406,-0.06772784143686295,-0.05513869225978851,-0.04506915807723999,-0.05513869225978851,-0.02336737886071205,0.004272869788110256
probst,0.34265610575675964,0.29894593358039856,0.2678612768650055,0.3253762125968933,0.23106639087200165,0.3162468373775482,0.23106639087200165,0.31407058238983154,0.2567601501941681
in,0.2792111933231354,0.18871314823627472,0.6662389636039734,0.21795225143432617,1.0,0.3642844259738922,1.0,0.21951206028461456,0.20430970191955566
his,0.44966956973075867,0.34199094772338867,0.4394008219242096,0.18062706291675568,0.3598145842552185,0.25163260102272034,0.3598145842552185,0.3070656359195709,0.18075084686279297
book,0.23780840635299683,0.15207573771476746,0.2652374505996704,0.2365749180316925,0.2527170181274414,0.11447108536958694,0.2527170181274414,0.24603153765201569,0.20572158694267273
demonizing,0.28866463899612427,0.3254730701446533,0.3357498347759247,0.1968279927968979,0.2459300309419632,0.1918773353099823,0.2459300309419632,0.4029111862182617,0.1701238751411438
the,0.3733934462070465,0.2219216227531433,1.0,0.2300819307565689,0.6662389636039734,0.3181285262107849,0.6662389636039734,0.20361100137233734,0.22068053483963013
jews,0.3023342192173004,0.13396115601062775,0.24901628494262695,0.2638193368911743,0.2334136962890625,0.317192018032074,0.2334136962890625,0.46833470463752747,0.16730794310569763
:,-0.0025186005514115095,0.018287725746631622,-0.03403344005346298,0.049332067370414734,0.020521078258752823,0.12561245262622833,0.020521078258752823,0.043940238654613495,-0.07156077772378922
luther,0.21013082563877106,0.18857665359973907,0.1759674996137619,0.23585668206214905,0.20523880422115326,0.30716460943222046,0.20523880422115326,0.33306023478507996,0.1732746809720993
and,0.41279885172843933,0.18712392449378967,0.5171257257461548,0.2155928909778595,0.4954058527946472,0.29381805658340454,0.4954058527946472,0.20131291449069977,0.20544172823429108
the,0.3733934462070465,0.2219216227531433,1.0,0.2300819307565689,0.6662389636039734,0.3181285262107849,0.6662389636039734,0.20361100137233734,0.22068053483963013
protestant,0.2817428708076477,0.12311548739671707,0.2679212689399719,0.250597208738327,0.2637297511100769,0.30596432089805603,0.2637297511100769,0.4246683120727539,0.14798137545585632
church,0.19418756663799286,0.16836822032928467,0.23846197128295898,0.21272622048854828,0.2493300437927246,0.20452405512332916,0.2493300437927246,0.24307842552661896,0.18081501126289368
in,0.2792111933231354,0.18871314823627472,0.6662389636039734,0.21795225143432617,1.0,0.3642844259738922,1.0,0.21951206028461456,0.20430970191955566
nazi,0.2594028115272522,0.22803790867328644,0.23007801175117493,0.4978844225406647,0.2028401643037796,0.6106715202331543,0.2028401643037796,0.5098626613616943,0.21425682306289673
germany,0.2021419107913971,0.1669061779975891,0.3181285262107849,0.47752031683921814,0.3642844259738922,1.0,0.3642844259738922,0.38537514209747314,0.1388660967350006
(,0.2443375140428543,0.18917453289031982,0.33289089798927307,0.18685369193553925,0.3087427020072937,0.14963670074939728,0.3087427020072937,0.1093856543302536,0.40561532974243164
2012,0.23490679264068604,0.16318200528621674,0.46885523200035095,0.15427103638648987,0.3800647258758545,0.223072350025177,0.3800647258758545,0.027164679020643234,0.18042556941509247
),0.2457384318113327,0.18872575461864471,0.3456730246543884,0.19592618942260742,0.3326910734176636,0.16241523623466492,0.3326910734176636,0.11215782165527344,0.42300865054130554
",",0.3365725874900818,0.22623023390769958,0.4933079481124878,0.23311564326286316,0.5201468467712402,0.2898865044116974,0.5201468467712402,0.2100604623556137,0.31091248989105225
shows,0.1994590163230896,0.14336031675338745,0.36348509788513184,0.06469710171222687,0.3289647698402405,0.16000452637672424,0.3289647698402405,0.18256409466266632,0.2040930688381195
that,0.45444270968437195,0.13535328209400177,0.5473989248275757,0.1476520597934723,0.435920387506485,0.22514168918132782,0.435920387506485,0.3171827793121338,0.32716336846351624
a,0.36608949303627014,0.2509448230266571,0.5829201340675354,0.21090270578861237,0.539380669593811,0.2606942057609558,0.539380669593811,0.2005830705165863,0.23916715383529663
large,0.20182651281356812,0.061569735407829285,0.3828733265399933,0.11106189340353012,0.2841601073741913,0.17780999839305878,0.2841601073741913,0.14483293890953064,0.1355665624141693
number,0.21304799616336823,0.10346905887126923,0.35145696997642517,0.1063389927148819,0.3024539053440094,0.1425575166940689,0.3024539053440094,0.14082223176956177,0.19256845116615295
of,0.2827862501144409,0.21353301405906677,0.733189046382904,0.2368013858795166,0.5696388483047485,0.2942050099372864,0.5696388483047485,0.21233119070529938,0.1826142966747284
german,0.29263320565223694,0.25914934277534485,0.256483793258667,0.4504777193069458,0.21098364889621735,0.69117671251297,0.21098364889621735,0.303469717502594,0.13978645205497742
lutheran,0.20221543312072754,0.14814141392707825,0.20315466821193695,0.20398332178592682,0.2489040344953537,0.3122149705886841,0.2489040344953537,0.29989010095596313,0.1752520203590393
