,when,was,the,newsmagazine,20/20,first,created,?
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.20620420575141907,0.04978962242603302,0.4127444326877594,0.2843434810638428,0.20430970191955566
june,0.2469879388809204,0.42821118235588074,0.24568822979927063,0.2501857578754425,0.06295192986726761,0.2872718572616577,0.21813635528087616,0.31416764855384827
1978,0.07017435133457184,0.08774974942207336,0.1314823180437088,-0.014153385534882545,0.026820890605449677,-0.012435066513717175,0.09746917337179184,0.06364871561527252
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2769719362258911,0.11310062557458878,0.34503069519996643,0.2755771577358246,0.31091248989105225
arledge,0.31035876274108887,0.23825472593307495,0.38004153966903687,0.22972553968429565,0.14929096400737762,0.19736726582050323,0.19375784695148468,0.30967646837234497
created,0.2840147316455841,0.3592788577079773,0.3539263904094696,0.15781520307064056,0.05612719804048538,0.32392561435699463,1.0,0.21177415549755096
the,0.5091903209686279,0.48711544275283813,1.0,0.1918679177761078,0.10782012343406677,0.49448907375335693,0.3539263904094696,0.22068053483963013
newsmagazine,0.16099025309085846,0.2739943563938141,0.1918679177761078,1.0,0.09497285634279251,0.2626497149467468,0.15781520307064056,0.21971045434474945
20/20,-0.08036939054727554,0.008665344677865505,0.10782012343406677,0.09497285634279251,1.0,0.04427012801170349,0.05612719804048538,0.09043065458536148
;,0.022927695885300636,0.0754367932677269,0.09152708947658539,0.016043173149228096,0.12639500200748444,0.07760433852672577,0.006454478483647108,0.10349778085947037
after,0.5331412553787231,0.49306565523147583,0.4565047025680542,0.13347561657428741,0.0015424787998199463,0.42302387952804565,0.24507100880146027,0.16608688235282898
its,0.34032323956489563,0.3518870174884796,0.559237003326416,0.16207551956176758,0.0031918606255203485,0.26377397775650024,0.28512200713157654,0.15103481709957123
first,0.4282494783401489,0.5022147297859192,0.49448907375335693,0.2626497149467468,0.04427012801170349,1.0,0.32392561435699463,0.18701928853988647
episode,0.2618144154548645,0.1706574261188507,0.25342556834220886,0.2417491227388382,-0.04111948609352112,0.24243572354316711,0.16416969895362854,0.23978739976882935
received,0.17342817783355713,0.3745744526386261,0.24890556931495667,0.2133408784866333,-0.042750585824251175,0.22090888023376465,0.1558913290500641,0.11905962228775024
harshly,0.2763485908508301,0.23788654804229736,0.1967671513557434,0.16553840041160583,0.05232583358883858,0.12318342179059982,0.19165636599063873,0.24056081473827362
negative,0.2316942662000656,0.13354144990444183,0.1981879472732544,0.2069709450006485,-0.009024898521602154,0.1459076702594757,0.10218710452318192,0.12562139332294464
reviews,0.18137867748737335,0.24086347222328186,0.2074589878320694,0.393718421459198,-0.006124170497059822,0.23950430750846863,0.09972314536571503,0.18590256571769714
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2769719362258911,0.11310062557458878,0.34503069519996643,0.2755771577358246,0.31091248989105225
