,an,algorithm,for,x,which,reduces,to,c,would,us,to,do,what,?
thus,0.22287912666797638,0.1828274130821228,0.35466766357421875,0.20959703624248505,0.4671974778175354,0.3473484218120575,0.42383262515068054,0.1423705667257309,0.42054760456085205,0.1350540965795517,0.42383262515068054,0.257389098405838,0.30745524168014526,0.18769288063049316
no,0.19335412979125977,0.16607441008090973,0.306581974029541,0.15898497402668,0.32479003071784973,0.21438603103160858,0.30015695095062256,0.16219763457775116,0.31237977743148804,0.2572433352470398,0.30015695095062256,0.3198779225349426,0.339326947927475,0.32165053486824036
problem,0.21292734146118164,0.39858657121658325,0.2661307752132416,0.17171038687229156,0.309948593378067,0.31311237812042236,0.2502208352088928,0.1311071813106537,0.33138108253479004,0.18624426424503326,0.2502208352088928,0.35249948501586914,0.42183366417884827,0.3762950301170349
in,0.2605783939361572,0.1526014357805252,0.4322226941585541,0.16749148070812225,0.4840516746044159,0.2139897495508194,0.45010748505592346,0.1977744996547699,0.30461156368255615,0.19746538996696472,0.45010748505592346,0.23402775824069977,0.30808621644973755,0.20430970191955566
c,0.17012786865234375,0.09615063667297363,0.19183452427387238,0.24558889865875244,0.19966180622577667,0.1069629117846489,0.1638970822095871,1.0,0.1334606260061264,0.14581309258937836,0.1638970822095871,0.12928514182567596,0.13697408139705658,0.14264722168445587
is,0.4654068350791931,0.24848374724388123,0.43268078565597534,0.1738782823085785,0.4457404911518097,0.25002920627593994,0.42745086550712585,0.21502047777175903,0.33626067638397217,0.1808239072561264,0.42745086550712585,0.30895981192588806,0.28837618231773376,0.22961433231830597
harder,0.2020612359046936,0.24978432059288025,0.26836904883384705,0.16437120735645294,0.3324282467365265,0.3308860659599304,0.3694044053554535,0.18663190305233002,0.35628023743629456,0.2678658068180084,0.3694044053554535,0.3043305277824402,0.2937192916870117,0.20031365752220154
than,0.2493579238653183,0.1826319694519043,0.30793827772140503,0.2102220505475998,0.3974681496620178,0.3539751470088959,0.3192550539970398,0.11880899220705032,0.3915237784385681,0.22856514155864716,0.3192550539970398,0.2387038916349411,0.29388150572776794,0.24917294085025787
x,0.20501652359962463,0.21643932163715363,0.18337465822696686,0.9999999403953552,0.2352331578731537,0.17834588885307312,0.21431612968444824,0.24558889865875244,0.2259431630373001,0.11924047768115997,0.21431612968444824,0.13968807458877563,0.13783220946788788,0.23304535448551178
",",0.3581022024154663,0.19359813630580902,0.4464869201183319,0.2696380019187927,0.3658004403114319,0.190145343542099,0.44245919585227966,0.2580876350402832,0.32586824893951416,0.3120202422142029,0.44245919585227966,0.3283645510673523,0.3087472915649414,0.31091248989105225
since,0.19151140749454498,0.20933912694454193,0.36751601099967957,0.16581977903842926,0.3523256182670593,0.1379571110010147,0.3733763098716736,0.15034572780132294,0.3438071310520172,0.21442289650440216,0.3733763098716736,0.21944737434387207,0.29783400893211365,0.2876587212085724
an,1.0,0.14905822277069092,0.3236706852912903,0.20501652359962463,0.3611921966075897,0.19412842392921448,0.3138085603713989,0.17012786865234375,0.2650099992752075,0.1722210943698883,0.3138085603713989,0.25865980982780457,0.2821882665157318,0.19793890416622162
algorithm,0.14905822277069092,1.0,0.22014065086841583,0.21643932163715363,0.21216072142124176,0.22569319605827332,0.20727625489234924,0.09615063667297363,0.21752481162548065,0.17624512314796448,0.20727625489234924,0.20569540560245514,0.2700590193271637,0.21180397272109985
for,0.3236706852912903,0.22014065086841583,0.9999999403953552,0.18337465822696686,0.44095608592033386,0.2513354420661926,0.4451248347759247,0.19183452427387238,0.39877474308013916,0.26768606901168823,0.4451248347759247,0.29510271549224854,0.3017193675041199,0.264628142118454
x,0.20501652359962463,0.21643932163715363,0.18337465822696686,0.9999999403953552,0.2352331578731537,0.17834588885307312,0.21431612968444824,0.24558889865875244,0.2259431630373001,0.11924047768115997,0.21431612968444824,0.13968807458877563,0.13783220946788788,0.23304535448551178
