,what,caused,the,us,public,to,condemn,the,occupation,of,the,philippines,?
one,0.376489520072937,0.22115907073020935,0.5514441132545471,0.24666564166545868,0.255158394575119,0.4025384783744812,0.20810839533805847,0.5514441132545471,0.16560249030590057,0.4999135136604309,0.5514441132545471,0.16581827402114868,0.2673267424106598
year,0.15184831619262695,0.14900340139865875,0.3609684407711029,0.17973962426185608,0.1742739975452423,0.23523004353046417,0.0985555648803711,0.3609684407711029,0.18701739609241486,0.2578314542770386,0.3609684407711029,0.18451043963432312,0.18315006792545319
later,0.2517229914665222,0.19942477345466614,0.4060266613960266,0.15312647819519043,0.23787052929401398,0.393297016620636,0.1941158026456833,0.4060266613960266,0.2024393528699875,0.3458743393421173,0.4060266613960266,0.19872871041297913,0.1417175978422165
",",0.3087472915649414,0.2600580155849457,0.4933079481124878,0.3120202422142029,0.2588968276977539,0.44245919585227966,0.20612221956253052,0.4933079481124878,0.28664809465408325,0.4946078956127167,0.4933079481124878,0.2203703373670578,0.31091248989105225
a,0.3320399522781372,0.22472180426120758,0.5829201340675354,0.1862444281578064,0.19607044756412506,0.45503583550453186,0.20935839414596558,0.5829201340675354,0.22733436524868011,0.5052502155303955,0.5829201340675354,0.20635998249053955,0.23916715383529663
war,0.22516006231307983,0.2001103162765503,0.366199791431427,0.24439692497253418,0.15139274299144745,0.2610234022140503,0.234287291765213,0.366199791431427,0.2935369312763214,0.31680163741111755,0.366199791431427,0.23051570355892181,0.15510529279708862
erupted,0.14322622120380402,0.3478710353374481,0.25102099776268005,0.10992027819156647,0.08384320884943008,0.15924635529518127,0.16369587182998657,0.25102099776268005,0.1554831862449646,0.22202740609645844,0.25102099776268005,0.2610507309436798,0.11324462294578552
in,0.30808621644973755,0.2494886964559555,0.6662389636039734,0.19746538996696472,0.29074716567993164,0.45010748505592346,0.1887899786233902,0.6662389636039734,0.1896161586046219,0.5696388483047485,0.6662389636039734,0.23086273670196533,0.20430970191955566
the,0.42745697498321533,0.24990202486515045,1.0,0.25727739930152893,0.22857438027858734,0.535392165184021,0.23145370185375214,1.0,0.23079249262809753,0.733189046382904,1.0,0.25927668809890747,0.22068053483963013
philippines,0.07227330654859543,0.23646806180477142,0.25927668809890747,0.19971731305122375,0.19239217042922974,0.21821308135986328,0.2419390082359314,0.25927668809890747,0.20956429839134216,0.2727682888507843,0.25927668809890747,1.0000001192092896,0.09991075843572617
causing,0.24770919978618622,0.7221462726593018,0.2816545367240906,0.18299420177936554,0.1507389098405838,0.32551613450050354,0.2585277259349823,0.2816545367240906,0.1431265026330948,0.2885251045227051,0.2816545367240906,0.2346799671649933,0.1852436512708664
business,0.21758167445659637,0.1662227362394333,0.2389037162065506,0.20438691973686218,0.37519752979278564,0.28079214692115784,0.1710207313299179,0.2389037162065506,0.3230299651622772,0.23985227942466736,0.2389037162065506,0.24658749997615814,0.1545659303665161
",",0.3087472915649414,0.2600580155849457,0.4933079481124878,0.3120202422142029,0.2588968276977539,0.44245919585227966,0.20612221956253052,0.4933079481124878,0.28664809465408325,0.4946078956127167,0.4933079481124878,0.2203703373670578,0.31091248989105225
labor,0.1943984031677246,0.11546051502227783,0.21506793797016144,0.2111590951681137,0.2264556735754013,0.21037620306015015,0.24986888468265533,0.21506793797016144,0.17180825769901276,0.23769748210906982,0.21506793797016144,0.19319318234920502,0.19386747479438782
and,0.31309178471565247,0.2892237603664398,0.5171257257461548,0.25715014338493347,0.3227643668651581,0.48971283435821533,0.23089280724525452,0.5171257257461548,0.3541368842124939,0.5116966962814331,0.5171257257461548,0.2160763144493103,0.20544172823429108
government,0.28074538707733154,0.20613032579421997,0.31798112392425537,0.2203076332807541,0.3310128152370453,0.28343796730041504,0.3364149332046509,0.31798112392425537,0.24090389907360077,0.3475167155265808,0.31798112392425537,0.288807213306427,0.18851417303085327
leaders,0.2629711329936981,0.17271292209625244,0.3157886564731598,0.1602339893579483,0.15314288437366486,0.25293630361557007,0.3467877507209778,0.3157886564731598,0.13586744666099548,0.2602892220020294,0.3157886564731598,0.1911894977092743,0.13927052915096283
in,0.30808621644973755,0.2494886964559555,0.6662389636039734,0.19746538996696472,0.29074716567993164,0.45010748505592346,0.1887899786233902,0.6662389636039734,0.1896161586046219,0.5696388483047485,0.6662389636039734,0.23086273670196533,0.20430970191955566
the,0.42745697498321533,0.24990202486515045,1.0,0.25727739930152893,0.22857438027858734,0.535392165184021,0.23145370185375214,1.0,0.23079249262809753,0.733189046382904,1.0,0.25927668809890747,0.22068053483963013
us,0.32081687450408936,0.153914213180542,0.25727739930152893,1.0000001192092896,0.2124563455581665,0.2928973436355591,0.2570655345916748,0.25727739930152893,0.1276451200246811,0.23568789660930634,0.25727739930152893,0.19971731305122375,0.2742428481578827
to,0.455847829580307,0.2414499819278717,0.535392165184021,0.2928973436355591,0.2672370672225952,1.0,0.2952262759208679,0.535392165184021,0.1859113872051239,0.41548454761505127,0.535392165184021,0.21821308135986328,0.29463258385658264
condemn,0.30477264523506165,0.2829797863960266,0.23145370185375214,0.2570655345916748,0.31643831729888916,0.2952262759208679,1.0,0.23145370185375214,0.12711264193058014,0.23437967896461487,0.23145370185375214,0.2419390082359314,0.2701358497142792
america,0.2517423629760742,0.14660553634166718,0.37090015411376953,0.2523760497570038,0.20215000212192535,0.2636699676513672,0.22533085942268372,0.37090015411376953,0.15654385089874268,0.28803038597106934,0.37090015411376953,0.3124515414237976,0.19333907961845398
's,0.02692362666130066,-0.0389891043305397,-0.01540423184633255,0.032960113137960434,0.060657959431409836,0.03782717138528824,0.03347485139966011,-0.01540423184633255,0.03484249487519264,-0.03817026689648628,-0.01540423184633255,0.03005880117416382,-0.023395681753754616
occupation,0.1860596090555191,0.15779538452625275,0.23079249262809753,0.1276451200246811,0.22657224535942078,0.1859113872051239,0.12711264193058014,0.23079249262809753,1.0,0.24415746331214905,0.23079249262809753,0.20956429839134216,0.13284437358379364
