,who,was,the,bauhaus,typeface,originally,designed,by,in,the,1920s,?
the,0.3733934462070465,0.48711544275283813,1.0,0.29179105162620544,0.19363410770893097,0.36820849776268005,0.2559613883495331,0.4408751428127289,0.6662389636039734,1.0,0.26367270946502686,0.22068053483963013
letters,0.22802039980888367,0.16712252795696259,0.23764781653881073,0.1583767682313919,0.42577534914016724,0.15208527445793152,0.14519840478897095,0.25082749128341675,0.1873265951871872,0.23764781653881073,0.27487143874168396,0.18739263713359833
are,0.27294138073921204,0.3076191842556,0.40399202704429626,0.14227597415447235,0.22424359619617462,0.2555713355541229,0.14064814150333405,0.37842893600463867,0.3841303884983063,0.40399202704429626,0.17405065894126892,0.24591213464736938
strongly,0.31230759620666504,0.25313666462898254,0.2760447859764099,0.1439211219549179,0.1557718962430954,0.2571345865726471,0.20486856997013092,0.2716878652572632,0.21089641749858856,0.2760447859764099,0.1153198853135109,0.1874239444732666
reminiscent,0.29688671231269836,0.17633254826068878,0.2813628613948822,0.29352325201034546,0.3513965904712677,0.16304044425487518,0.267436146736145,0.17288312315940857,0.21660679578781128,0.2813628613948822,0.06426730751991272,0.25347062945365906
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.30167561769485474,0.20969410240650177,0.21349623799324036,0.2000347077846527,0.3646814823150635,0.5696388483047485,0.733189046382904,0.18105606734752655,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,1.0,0.29179105162620544,0.19363410770893097,0.36820849776268005,0.2559613883495331,0.4408751428127289,0.6662389636039734,1.0,0.26367270946502686,0.22068053483963013
bauhaus,0.2034815549850464,0.2857779860496521,0.29179105162620544,0.9999998807907104,0.3729826807975769,0.29110202193260193,0.3094681203365326,0.21405619382858276,0.3321554660797119,0.29179105162620544,0.10298670083284378,0.14427398145198822
typeface,0.18381962180137634,0.22205360233783722,0.19363410770893097,0.3729826807975769,0.9999998807907104,0.2070285528898239,0.3480788469314575,0.20472335815429688,0.19505524635314941,0.19363410770893097,0.14602483808994293,0.23994740843772888
designed,0.21097040176391602,0.28384989500045776,0.2559613883495331,0.3094681203365326,0.3480788469314575,0.3183927536010742,1.0,0.29250532388687134,0.22657902538776398,0.2559613883495331,0.05135607346892357,0.11213942617177963
by,0.39727845788002014,0.4752357602119446,0.4408751428127289,0.21405619382858276,0.20472335815429688,0.4076972007751465,0.29250532388687134,1.0000001192092896,0.370934396982193,0.4408751428127289,0.07098103314638138,0.17966607213020325
herbert,0.22776049375534058,0.2934662401676178,0.21408019959926605,0.2995098829269409,0.18982797861099243,0.2333356738090515,0.12626905739307404,0.248879075050354,0.16174452006816864,0.21408019959926605,0.0397026501595974,0.13736963272094727
bayer,0.1574796736240387,0.22295744717121124,0.1799919456243515,0.2776639759540558,0.23092003166675568,0.10193535685539246,0.12063668668270111,0.1873067170381546,0.19158370792865753,0.1799919456243515,-0.031172793358564377,0.19985096156597137
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.3321554660797119,0.19505524635314941,0.3191297650337219,0.22657902538776398,0.370934396982193,1.0,0.6662389636039734,0.2103888839483261,0.20430970191955566
the,0.3733934462070465,0.48711544275283813,1.0,0.29179105162620544,0.19363410770893097,0.36820849776268005,0.2559613883495331,0.4408751428127289,0.6662389636039734,1.0,0.26367270946502686,0.22068053483963013
1920s,0.056643176823854446,0.08436628431081772,0.26367270946502686,0.10298670083284378,0.14602483808994293,0.1495824158191681,0.05135607346892357,0.07098103314638138,0.2103888839483261,0.26367270946502686,1.0000001192092896,0.09021682292222977
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.24491484463214874,0.25209587812423706,0.2660219669342041,0.201692596077919,0.3680937886238098,0.5201468467712402,0.4933079481124878,0.02100936695933342,0.31091248989105225
but,0.4487357437610626,0.36023372411727905,0.4859698414802551,0.23558105528354645,0.20135702192783356,0.29864904284477234,0.19490723311901093,0.3159136474132538,0.48674455285072327,0.4859698414802551,0.23956607282161713,0.27921953797340393
also,0.47919341921806335,0.4032125174999237,0.6021018624305725,0.23160229623317719,0.18113429844379425,0.3809713125228882,0.2500925362110138,0.3824189305305481,0.5073733329772949,0.6021018624305725,0.11857309192419052,0.21848613023757935
share,0.22441379725933075,0.11521016061306,0.249948650598526,0.17267073690891266,0.1411156803369522,0.1171739399433136,0.06695327162742615,0.1474302113056183,0.21491074562072754,0.249948650598526,0.003736182115972042,0.1754547506570816
similarities,0.23932598531246185,0.18442264199256897,0.275174081325531,0.1893816888332367,0.3365890681743622,0.23340177536010742,0.22263208031654358,0.24559995532035828,0.22275620698928833,0.275174081325531,0.17188844084739685,0.1720300316810608
with,0.3282766342163086,0.27411898970603943,0.4223487675189972,0.2013532817363739,0.19991399347782135,0.2333029955625534,0.21504513919353485,0.39731505513191223,0.4080928862094879,0.4223487675189972,0.09761296212673187,0.2433311939239502
several,0.30628830194473267,0.25396689772605896,0.40559855103492737,0.23335829377174377,0.20957814157009125,0.2655690014362335,0.17461766302585602,0.3275541365146637,0.39405709505081177,0.40559855103492737,0.10392297804355621,0.15595775842666626
other,0.3612329661846161,0.14651623368263245,0.44152235984802246,0.17924998700618744,0.2544313967227936,0.19161823391914368,0.21431408822536469,0.3321913778781891,0.39989137649536133,0.44152235984802246,0.17761822044849396,0.24682199954986572
fonts,0.11717509478330612,0.08765530586242676,0.19380462169647217,0.16973638534545898,0.5641580820083618,0.16142873466014862,0.26352202892303467,0.1395280659198761,0.14011476933956146,0.19380462169647217,0.1719224750995636,0.21324622631072998
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.24491484463214874,0.25209587812423706,0.2660219669342041,0.201692596077919,0.3680937886238098,0.5201468467712402,0.4933079481124878,0.02100936695933342,0.31091248989105225
such,0.2594927251338959,0.12487147748470306,0.3575236201286316,0.18208424746990204,0.25744953751564026,0.18590301275253296,0.23611031472682953,0.2736194431781769,0.2704046070575714,0.3575236201286316,0.039171162992715836,0.17851735651493073
as,0.3923053741455078,0.3677520453929901,0.48381632566452026,0.2512412965297699,0.21153675019741058,0.31636640429496765,0.23383614420890808,0.3815547823905945,0.3887844979763031,0.48381632566452026,0.05431315675377846,0.27043893933296204
itc,0.137470543384552,0.18509019911289215,0.1678335815668106,0.2038707584142685,0.17472966015338898,0.1223432794213295,0.13413625955581665,0.14367687702178955,0.14043985307216644,0.1678335815668106,-0.009356825612485409,0.2402571588754654
avant,0.15208987891674042,0.2544044554233551,0.17791858315467834,0.3791126310825348,0.38049790263175964,0.15593987703323364,0.21874681115150452,0.1836412101984024,0.2286357432603836,0.17791858315467834,-0.03018973208963871,0.2005830705165863
garde,0.2146160900592804,0.24561360478401184,0.186409592628479,0.47234833240509033,0.34449267387390137,0.23352298140525818,0.2251606285572052,0.21916499733924866,0.2113092541694641,0.186409592628479,-0.028265325352549553,0.17155705392360687
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.2543894052505493,0.1824476271867752,0.2772660255432129,0.2359010875225067,0.4289871156215668,0.4954058527946472,0.5171257257461548,0.121830053627491,0.20544172823429108
horatio,0.2256646603345871,0.2712925672531128,0.24466168880462646,0.22977694869041443,0.2040959894657135,0.1561402976512909,0.14155428111553192,0.25639721751213074,0.16113483905792236,0.24466168880462646,-0.004217556677758694,0.1266319751739502
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.24491484463214874,0.25209587812423706,0.2660219669342041,0.201692596077919,0.3680937886238098,0.5201468467712402,0.4933079481124878,0.02100936695933342,0.31091248989105225
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.2543894052505493,0.1824476271867752,0.2772660255432129,0.2359010875225067,0.4289871156215668,0.4954058527946472,0.5171257257461548,0.121830053627491,0.20544172823429108
most,0.35393568873405457,0.29933857917785645,0.47635307908058167,0.23194943368434906,0.20262159407138824,0.23238463699817657,0.17172695696353912,0.270847886800766,0.41416558623313904,0.47635307908058167,0.18194428086280823,0.2107497900724411
closely,0.20456218719482422,0.20436210930347443,0.2750711441040039,0.1485045850276947,0.18754595518112183,0.29887527227401733,0.16234353184700012,0.2567785084247589,0.2138943076133728,0.2750711441040039,0.14690075814723969,0.08341413736343384
resembling,0.1817864179611206,0.1520814746618271,0.27308282256126404,0.2266620248556137,0.24652782082557678,0.3117181360721588,0.23355130851268768,0.14058752357959747,0.1842948943376541,0.27308282256126404,0.07948404550552368,0.0847356989979744
chalet,0.23303349316120148,0.23226116597652435,0.2801731824874878,0.27967122197151184,0.38185691833496094,0.2040019929409027,0.21317100524902344,0.2685292363166809,0.23184248805046082,0.2801731824874878,0.03358727693557739,0.15425977110862732
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.2764677107334137,0.217641219496727,0.2504246234893799,0.24422594904899597,0.3936232924461365,0.5591574311256409,0.5934505462646484,0.13538698852062225,0.4130953550338745
