,soon,after,gaining,florida,",",what,did,the,english,do,?
spain,0.16117197275161743,0.2004108875989914,0.20251190662384033,0.25170034170150757,0.24137483537197113,0.17150506377220154,0.14855723083019257,0.259463906288147,0.1498252898454666,0.1572493016719818,0.16814002394676208
ceded,0.22335459291934967,0.34265726804733276,0.19099658727645874,0.19869741797447205,0.31890997290611267,0.18067489564418793,0.21863986551761627,0.337197870016098,0.17901869118213654,0.0925912857055664,0.13127154111862183
florida,0.11708763986825943,0.22783660888671875,0.19886785745620728,1.0,0.21896368265151978,0.14450381696224213,0.16857092082500458,0.24091358482837677,0.11256033182144165,0.1226135715842247,0.13469882309436798
to,0.3827410042285919,0.37890323996543884,0.36105313897132874,0.20760414004325867,0.44245919585227966,0.455847829580307,0.4452643394470215,0.535392165184021,0.21984367072582245,0.38876664638519287,0.29463258385658264
the,0.3431394100189209,0.4565047025680542,0.35633590817451477,0.24091358482837677,0.4933079481124878,0.42745697498321533,0.34736719727516174,1.0,0.23982001841068268,0.30239659547805786,0.22068053483963013
british,0.14581359922885895,0.20129355788230896,0.16956453025341034,0.13547126948833466,0.25734075903892517,0.19255435466766357,0.2039594054222107,0.28973397612571716,0.47969716787338257,0.0674201175570488,0.09711728990077972
in,0.2957788109779358,0.44050168991088867,0.32260259985923767,0.2330404818058014,0.5201468467712402,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.19623121619224548,0.23402775824069977,0.20430970191955566
1763,-0.0008516419329680502,-0.04275963082909584,-0.0061103119514882565,0.08790966868400574,0.10973798483610153,0.10448963940143585,0.024344369769096375,0.08999345451593399,0.12009618431329727,0.18167436122894287,0.1296161562204361
after,0.5849637389183044,1.0,0.3464188873767853,0.22783660888671875,0.38860568404197693,0.21973377466201782,0.30330467224121094,0.4565047025680542,0.148844912648201,0.20534609258174896,0.16608688235282898
the,0.3431394100189209,0.4565047025680542,0.35633590817451477,0.24091358482837677,0.4933079481124878,0.42745697498321533,0.34736719727516174,1.0,0.23982001841068268,0.30239659547805786,0.22068053483963013
french,0.18803206086158752,0.18600507080554962,0.17161962389945984,0.10546284168958664,0.28806620836257935,0.17393042147159576,0.1584041714668274,0.2555147111415863,0.47204166650772095,0.09559144824743271,0.1386883556842804
and,0.39496758580207825,0.3765919506549835,0.3063693046569824,0.22456413507461548,0.6633074283599854,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.3409043252468109,0.276123583316803,0.20544172823429108
indian,0.13013553619384766,0.12263122946023941,0.08675706386566162,0.18663252890110016,0.2407594621181488,0.18037962913513184,0.13855396211147308,0.23407642543315887,0.2603779137134552,0.13464076817035675,0.09909533709287643
war,0.29023975133895874,0.3393358886241913,0.20853492617607117,0.1284976303577423,0.2671184241771698,0.22516006231307983,0.27422013878822327,0.366199791431427,0.15286730229854584,0.10460998117923737,0.15510529279708862
",",0.33847981691360474,0.38860568404197693,0.2934018671512604,0.21896368265151978,1.0000001192092896,0.3087472915649414,0.3015086054801941,0.4933079481124878,0.3339248597621918,0.3283645510673523,0.31091248989105225
and,0.39496758580207825,0.3765919506549835,0.3063693046569824,0.22456413507461548,0.6633074283599854,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.3409043252468109,0.276123583316803,0.20544172823429108
the,0.3431394100189209,0.4565047025680542,0.35633590817451477,0.24091358482837677,0.4933079481124878,0.42745697498321533,0.34736719727516174,1.0,0.23982001841068268,0.30239659547805786,0.22068053483963013
british,0.14581359922885895,0.20129355788230896,0.16956453025341034,0.13547126948833466,0.25734075903892517,0.19255435466766357,0.2039594054222107,0.28973397612571716,0.47969716787338257,0.0674201175570488,0.09711728990077972
