,what,party,had,a,victory,in,the,2015,uk,election,?
following,0.2506418824195862,0.16784267127513885,0.23528310656547546,0.27489006519317627,0.237232968211174,0.355264812707901,0.39779382944107056,0.060239218175411224,0.16003231704235077,0.22785113751888275,0.1555173695087433
the,0.42745697498321533,0.23779736459255219,0.3875846862792969,0.5829201340675354,0.2795662581920624,0.6662389636039734,1.0,0.1466771513223648,0.2143084555864334,0.22873377799987793,0.22068053483963013
conservative,0.1886831820011139,0.5411025881767273,0.16147887706756592,0.2118833065032959,0.2411162555217743,0.1964135617017746,0.19218477606773376,0.05359043926000595,0.33419641852378845,0.4559793472290039,0.1597563922405243
victory,0.12667348980903625,0.2665577530860901,0.22430391609668732,0.20717723667621613,1.0000001192092896,0.21562302112579346,0.2795662581920624,0.24280960857868195,0.14361922442913055,0.37091055512428284,0.15412560105323792
in,0.30808621644973755,0.20446790754795074,0.385026752948761,0.539380669593811,0.21562302112579346,1.0,0.6662389636039734,0.0891268327832222,0.2261405885219574,0.2450414001941681,0.20430970191955566
the,0.42745697498321533,0.23779736459255219,0.3875846862792969,0.5829201340675354,0.2795662581920624,0.6662389636039734,1.0,0.1466771513223648,0.2143084555864334,0.22873377799987793,0.22068053483963013
2015,-0.07269049435853958,0.00844994094222784,0.0605347566306591,-0.008371892385184765,0.24280960857868195,0.0891268327832222,0.1466771513223648,1.0,0.033365990966558456,0.0936732068657875,-0.029954981058835983
uk,0.17163191735744476,0.23062366247177124,0.1592816710472107,0.19665123522281647,0.14361922442913055,0.2261405885219574,0.2143084555864334,0.033365990966558456,1.0,0.17026884853839874,0.20222434401512146
election,0.2325795590877533,0.5416213870048523,0.2506203055381775,0.21829310059547424,0.37091055512428284,0.2450414001941681,0.22873377799987793,0.0936732068657875,0.17026884853839874,0.9999999403953552,0.23105260729789734
",",0.3087472915649414,0.21963930130004883,0.35487717390060425,0.427140474319458,0.22238308191299438,0.5201468467712402,0.4933079481124878,0.06568983197212219,0.2632971405982971,0.22834618389606476,0.31091248989105225
standing,0.19543994963169098,0.19626599550247192,0.23211190104484558,0.3191242814064026,0.23331204056739807,0.23342552781105042,0.32312217354774475,0.0703388899564743,0.24046048521995544,0.265291690826416,0.11972658336162567
orders,0.1898462176322937,0.1898544877767563,0.2999027669429779,0.1862567514181137,0.16478095948696136,0.20494955778121948,0.26927345991134644,0.18323929607868195,0.12327662110328674,0.14632079005241394,0.18005457520484924
of,0.33290785551071167,0.23662418127059937,0.37755560874938965,0.5052502155303955,0.21037539839744568,0.5696388483047485,0.733189046382904,0.21138253808021545,0.21513383090496063,0.23051156103610992,0.1826142966747284
the,0.42745697498321533,0.23779736459255219,0.3875846862792969,0.5829201340675354,0.2795662581920624,0.6662389636039734,1.0,0.1466771513223648,0.2143084555864334,0.22873377799987793,0.22068053483963013
house,0.200801283121109,0.26748862862586975,0.21750010550022125,0.26758551597595215,0.18368549644947052,0.20026938617229462,0.2847244441509247,0.04376586154103279,0.2367108166217804,0.27775052189826965,0.13736455142498016
of,0.33290785551071167,0.23662418127059937,0.37755560874938965,0.5052502155303955,0.21037539839744568,0.5696388483047485,0.733189046382904,0.21138253808021545,0.21513383090496063,0.23051156103610992,0.1826142966747284
commons,0.25517043471336365,0.30135011672973633,0.10846993327140808,0.2320197969675064,0.16363388299942017,0.17882154881954193,0.2904264032840729,-0.0030652806162834167,0.3151590824127197,0.36197441816329956,0.27964192628860474
were,0.22298263013362885,0.13906680047512054,0.6150832772254944,0.17203083634376526,0.22070027887821198,0.3815755248069763,0.3906462490558624,0.08154720813035965,0.1418052315711975,0.18609124422073364,0.17890112102031708
changed,0.2667781710624695,0.16926364600658417,0.350531667470932,0.2289808690547943,0.18230663239955902,0.292167991399765,0.351829469203949,0.00690335500985384,0.10115049034357071,0.18062220513820648,0.21123318374156952
to,0.455847829580307,0.1893671154975891,0.37984350323677063,0.45503583550453186,0.17833203077316284,0.45010748505592346,0.535392165184021,-0.0031493064016103745,0.18409153819084167,0.20867465436458588,0.29463258385658264
give,0.32935357093811035,0.14963190257549286,0.3329158425331116,0.3436131179332733,0.17003999650478363,0.20895415544509888,0.29086416959762573,-0.0018442297587171197,0.21204136312007904,0.20253874361515045,0.2985610067844391
mps,0.13408011198043823,0.45822155475616455,0.1826906055212021,0.13071753084659576,0.15667112171649933,0.16134501993656158,0.18443430960178375,0.046788137406110764,0.4324274957180023,0.4453756511211395,0.1502685397863388
representing,0.1524650901556015,0.28119662404060364,0.22060582041740417,0.3024493157863617,0.2472127079963684,0.3327813446521759,0.35762789845466614,0.11984182894229889,0.15147599577903748,0.28731921315193176,0.10637413710355759
english,0.25060737133026123,0.12937556207180023,0.17966125905513763,0.21707510948181152,0.13447926938533783,0.19623121619224548,0.23982001841068268,0.022247685119509697,0.22364197671413422,0.14538374543190002,0.23251567780971527
constituencies,0.23140352964401245,0.38907647132873535,0.1356191486120224,0.22509250044822693,0.14824047684669495,0.26182153820991516,0.29003340005874634,0.02665484882891178,0.36294063925743103,0.5036000609397888,0.11360672116279602
a,0.3320399522781372,0.20141370594501495,0.34897568821907043,1.0,0.20717723667621613,0.539380669593811,0.5829201340675354,-0.008371892385184765,0.19665123522281647,0.21829310059547424,0.23916715383529663
new,0.2130378633737564,0.20009151101112366,0.28327175974845886,0.3214259147644043,0.11113401502370834,0.3758552670478821,0.3845241069793701,-0.04652296006679535,0.179463729262352,0.1781606674194336,0.14782847464084625
``,0.008517155423760414,0.0747852623462677,0.0518546998500824,0.07272057235240936,0.059460848569869995,0.04765888676047325,0.029072100296616554,0.1823567897081375,-0.03477985039353371,0.07789095491170883,0.0685480609536171
veto,0.2663957476615906,0.26279890537261963,0.16533342003822327,0.16522058844566345,0.23935329914093018,0.16384372115135193,0.25482627749443054,0.04796290025115013,0.15017545223236084,0.3999611735343933,0.2314452826976776
'',0.08143015950918198,-0.03596865385770798,0.024004416540265083,0.04890415817499161,0.013615588657557964,0.07432962208986282,0.041273195296525955,-0.010283470153808594,0.015838660299777985,0.018185412511229515,0.018684765323996544
over,0.28007611632347107,0.14432843029499054,0.3937615752220154,0.32199642062187195,0.28327676653862,0.3605569899082184,0.39856547117233276,0.10066346824169159,0.19671006500720978,0.2022000253200531,0.25742942094802856
laws,0.29636016488075256,0.19896195828914642,0.1894965022802353,0.1722979098558426,0.09035690873861313,0.2591988444328308,0.2587076723575592,0.025227408856153488,0.16264097392559052,0.2465854436159134,0.17911791801452637
only,0.41415658593177795,0.2129959762096405,0.3839550316333771,0.47549712657928467,0.1578257977962494,0.42992329597473145,0.5497692227363586,0.04172638803720474,0.2043992280960083,0.22807404398918152,0.2767370045185089
affecting,0.308133989572525,0.13064762949943542,0.27317339181900024,0.2430521547794342,0.10702969133853912,0.34498122334480286,0.35604503750801086,-0.04452982544898987,0.1303408443927765,0.1945120394229889,0.1855245977640152
england,0.21399550139904022,0.1663549840450287,0.2626383602619171,0.2410653531551361,0.18590864539146423,0.33311840891838074,0.28280043601989746,0.1285318285226822,0.41980817914009094,0.18451836705207825,0.13436897099018097
.,0.3567904531955719,0.23341989517211914,0.37348684668540955,0.50484299659729,0.18324626982212067,0.5591574311256409,0.5934505462646484,0.06607602536678314,0.24075214564800262,0.25081899762153625,0.4130953550338745
