,what,was,wrong,with,the,pigeon,?
tesla,0.23221199214458466,0.16455206274986267,0.16206954419612885,0.16424812376499176,0.1324402391910553,0.06657923758029938,0.10250775516033173
spent,0.17218980193138123,0.37391069531440735,0.1492258757352829,0.2624490261077881,0.24215754866600037,0.10974042862653732,0.09774520993232727
over,0.28007611632347107,0.24486446380615234,0.2948557138442993,0.34885337948799133,0.39856547117233276,0.2089497596025467,0.25742942094802856
$,0.24858909845352173,0.23838669061660767,0.26456865668296814,0.18037788569927216,0.23367542028427124,0.12565980851650238,0.2786129117012024
"2,000",-0.029682017862796783,0.1340620517730713,0.0012010192731395364,-0.012768627144396305,0.06475643068552017,-0.04690726473927498,-0.01396813802421093
",",0.3087472915649414,0.45456063747406006,0.28518038988113403,0.4120737314224243,0.4933079481124878,0.18626035749912262,0.31091248989105225
including,0.18328791856765747,0.21884717047214508,0.13322870433330536,0.37174999713897705,0.3738902807235718,0.16470788419246674,0.1633303165435791
building,0.23529528081417084,0.237406387925148,0.20634238421916962,0.1992759108543396,0.3159640431404114,0.1355205476284027,0.13549931347370148
a,0.3320399522781372,0.4508470594882965,0.31342315673828125,0.3783375024795532,0.5829201340675354,0.24954915046691895,0.23916715383529663
device,0.2484142780303955,0.18397735059261322,0.22521957755088806,0.19131101667881012,0.2555081248283386,0.24501942098140717,0.09819377958774567
that,0.6297725439071655,0.33670201897621155,0.527507483959198,0.4154358208179474,0.5473989248275757,0.15271347761154175,0.32716336846351624
comfortably,0.29391926527023315,0.18688222765922546,0.2746123969554901,0.30831801891326904,0.2422778308391571,0.11292408406734467,0.22617939114570618
supported,0.16402992606163025,0.3039414882659912,0.2765362858772278,0.2909988462924957,0.27276676893234253,0.07783021032810211,0.11593948304653168
her,0.2733216881752014,0.34084662795066833,0.2416357547044754,0.28014177083969116,0.354963481426239,0.19797521829605103,0.20310723781585693
so,0.539469838142395,0.2666010558605194,0.4750348925590515,0.4189452826976776,0.4296516180038452,0.13975389301776886,0.43163934350013733
her,0.2733216881752014,0.34084662795066833,0.2416357547044754,0.28014177083969116,0.354963481426239,0.19797521829605103,0.20310723781585693
bones,0.18385393917560577,0.18006713688373566,0.18056069314479828,0.23999075591564178,0.27219870686531067,0.21456170082092285,0.14962074160575867
could,0.4188697934150696,0.39896807074546814,0.4050052762031555,0.32055896520614624,0.35393214225769043,0.137342169880867,0.3411986827850342
heal,0.22474496066570282,0.1491602510213852,0.2230950891971588,0.25434088706970215,0.20883694291114807,0.20738646388053894,0.17053785920143127
",",0.3087472915649414,0.45456063747406006,0.28518038988113403,0.4120737314224243,0.4933079481124878,0.18626035749912262,0.31091248989105225
to,0.455847829580307,0.3636345863342285,0.3418787121772766,0.4239959120750427,0.535392165184021,0.16653646528720856,0.29463258385658264
fix,0.30551406741142273,0.15889710187911987,0.3762102723121643,0.24528451263904572,0.24162639677524567,0.07728958874940872,0.3740307092666626
her,0.2733216881752014,0.34084662795066833,0.2416357547044754,0.28014177083969116,0.354963481426239,0.19797521829605103,0.20310723781585693
broken,0.28858938813209534,0.1565612107515335,0.286469966173172,0.2444705218076706,0.27700477838516235,0.10116122663021088,0.1915387511253357
wing,0.14464668929576874,0.1759270429611206,0.2012898325920105,0.2120654433965683,0.28874075412750244,0.18688322603702545,0.10201311856508255
and,0.31309178471565247,0.3740963041782379,0.2498084008693695,0.5477725267410278,0.5171257257461548,0.160979226231575,0.20544172823429108
leg,0.12140092998743057,0.1940285861492157,0.23534278571605682,0.2050500065088272,0.2005777806043625,0.17502091825008392,0.12812620401382446
.,0.3567904531955719,0.40146201848983765,0.28903380036354065,0.4446153938770294,0.5934505462646484,0.15624287724494934,0.4130953550338745
