,what,distinguishes,stromal,thylakoids,?
there,0.35085538029670715,0.22091680765151978,0.2389107495546341,0.21885816752910614,0.29405656456947327
are,0.29724663496017456,0.28603509068489075,0.2601601183414459,0.4048384726047516,0.24591213464736938
two,0.23363454639911652,0.18813657760620117,0.2510353624820709,0.2831059694290161,0.19645625352859497
types,0.25706279277801514,0.28328973054885864,0.2077202945947647,0.3022363483905792,0.1285012811422348
of,0.33290785551071167,0.31592175364494324,0.31151777505874634,0.2329981029033661,0.1826142966747284
thylakoids—granal,0.21661558747291565,0.24949784576892853,0.5363526940345764,0.8763530850410461,0.1932603418827057
thylakoids,0.18655724823474884,0.24283093214035034,0.4598264992237091,1.0,0.17522360384464264
",",0.3087472915649414,0.22589819133281708,0.3461529016494751,0.20282846689224243,0.31091248989105225
which,0.5261979103088379,0.2917516827583313,0.3064667582511902,0.33822375535964966,0.25814583897590637
are,0.29724663496017456,0.28603509068489075,0.2601601183414459,0.4048384726047516,0.24591213464736938
arranged,0.1523403525352478,0.2665642201900482,0.18427182734012604,0.24951514601707458,0.08499907702207565
in,0.30808621644973755,0.20947642624378204,0.2884345054626465,0.19204016029834747,0.20430970191955566
grana,0.12482953071594238,0.19370219111442566,0.3464779555797577,0.31276199221611023,0.1099926009774208
",",0.3087472915649414,0.22589819133281708,0.3461529016494751,0.20282846689224243,0.31091248989105225
and,0.31309178471565247,0.2525673806667328,0.2841546833515167,0.23562830686569214,0.20544172823429108
stromal,0.25136467814445496,0.24504172801971436,0.9999999403953552,0.4598264992237091,0.16544461250305176
thylakoids,0.18655724823474884,0.24283093214035034,0.4598264992237091,1.0,0.17522360384464264
",",0.3087472915649414,0.22589819133281708,0.3461529016494751,0.20282846689224243,0.31091248989105225
which,0.5261979103088379,0.2917516827583313,0.3064667582511902,0.33822375535964966,0.25814583897590637
are,0.29724663496017456,0.28603509068489075,0.2601601183414459,0.4048384726047516,0.24591213464736938
in,0.30808621644973755,0.20947642624378204,0.2884345054626465,0.19204016029834747,0.20430970191955566
contact,0.2598453462123871,0.17359216511249542,0.15082231163978577,0.2218276709318161,0.2231319397687912
with,0.2464839518070221,0.24107784032821655,0.24655891954898834,0.20929807424545288,0.2433311939239502
the,0.42745697498321533,0.25254887342453003,0.29220905900001526,0.23520681262016296,0.22068053483963013
stroma,0.17679446935653687,0.15252630412578583,0.8314394354820251,0.2927302122116089,0.15478113293647766
.,0.3567904531955719,0.19009442627429962,0.3119260370731354,0.20680563151836395,0.4130953550338745
,what,distinguishes,stromal,thylakoids,?
stromal,0.25136467814445496,0.24504172801971436,0.9999999403953552,0.4598264992237091,0.16544461250305176
thylakoids,0.18655724823474884,0.24283093214035034,0.4598264992237091,1.0,0.17522360384464264
are,0.29724663496017456,0.28603509068489075,0.2601601183414459,0.4048384726047516,0.24591213464736938
helicoid,0.2660759389400482,0.22173857688903809,0.40228402614593506,0.48980164527893066,0.18578045070171356
sheets,0.1455499827861786,0.11014377325773239,0.22521533071994781,0.22619031369686127,0.18705861270427704
that,0.6297725439071655,0.24937701225280762,0.27316534519195557,0.2705019414424896,0.32716336846351624
spiral,0.1333327740430832,0.19301730394363403,0.30020269751548767,0.33695322275161743,0.11197062581777573
around,0.27475327253341675,0.12344295531511307,0.22525906562805176,0.2074737399816513,0.14729668200016022
grana,0.12482953071594238,0.19370219111442566,0.3464779555797577,0.31276199221611023,0.1099926009774208
.,0.3567904531955719,0.19009442627429962,0.3119260370731354,0.20680563151836395,0.4130953550338745
