,what,natural,phenomenon,did,tesla,create,artificially,?
he,0.3114890456199646,0.17066940665245056,0.14117631316184998,0.3292143940925598,0.12373391538858414,0.1835847944021225,0.13834485411643982,0.2089974731206894
produced,0.1393624097108841,0.21153397858142853,0.21146085858345032,0.16971632838249207,0.1640479862689972,0.29861411452293396,0.30820271372795105,0.1623450517654419
artificial,0.17255447804927826,0.4583112299442291,0.30009424686431885,0.14417405426502228,0.19698862731456757,0.3237719237804413,0.8606089353561401,0.12468411028385162
lightning,0.22733277082443237,0.1488361954689026,0.2783330976963043,0.18687936663627625,0.21396644413471222,0.22374068200588226,0.22874127328395844,0.1768351048231125
",",0.3087472915649414,0.30864179134368896,0.2099807858467102,0.3015086054801941,0.20599327981472015,0.2240353375673294,0.23285524547100067,0.31091248989105225
with,0.2464839518070221,0.09072273224592209,0.1812032163143158,0.25472134351730347,0.16424812376499176,0.34357860684394836,0.22799287736415863,0.2433311939239502
discharges,0.16158227622509003,0.14418211579322815,0.23136401176452637,0.09726804494857788,0.23646344244480133,0.10418510437011719,0.20647910237312317,0.12415444105863571
consisting,0.12705351412296295,0.15907102823257446,0.07916491478681564,0.08322962373495102,0.1494627445936203,0.23678259551525116,0.18586161732673645,0.006223649252206087
of,0.33290785551071167,0.2963479459285736,0.18447810411453247,0.2513895630836487,0.18837453424930573,0.23675619065761566,0.2149878293275833,0.1826142966747284
millions,0.28270843625068665,0.21339252591133118,0.30192330479621887,0.23404687643051147,0.17653703689575195,0.24757391214370728,0.21868464350700378,0.21816711127758026
of,0.33290785551071167,0.2963479459285736,0.18447810411453247,0.2513895630836487,0.18837453424930573,0.23675619065761566,0.2149878293275833,0.1826142966747284
volts,0.25263261795043945,0.1348864734172821,0.3347291648387909,0.13878072798252106,0.42444267868995667,0.20376954972743988,0.224249467253685,0.14890152215957642
and,0.31309178471565247,0.3004496097564697,0.17060674726963043,0.34479495882987976,0.19560420513153076,0.290901243686676,0.2192707657814026,0.20544172823429108
up,0.28591108322143555,0.10865386575460434,0.20613276958465576,0.21613863110542297,0.17339079082012177,0.2568266689777374,0.13290472328662872,0.1819818764925003
to,0.455847829580307,0.21663954854011536,0.16946689784526825,0.4452643394470215,0.17548894882202148,0.41124165058135986,0.2986684739589691,0.29463258385658264
135,0.020355025306344032,0.0653662383556366,0.06266380101442337,-0.006557118147611618,-0.05504460260272026,0.026841001585125923,0.09663262963294983,-0.015782462432980537
feet,0.18749791383743286,0.10777196288108826,0.12078295648097992,0.15399667620658875,0.10718390345573425,0.12307457625865936,0.1503254622220993,0.14855161309242249
long,0.28276848793029785,0.21526114642620087,0.16535291075706482,0.20462055504322052,0.14681872725486755,0.18120786547660828,0.21499665081501007,0.19699987769126892
.,0.3567904531955719,0.25792330503463745,0.19872979819774628,0.35288307070732117,0.17949827015399933,0.2916513681411743,0.2019217312335968,0.4130953550338745
