,a,statement,made,by,chris,keates,caused,issues,with,whom,?
this,0.5422310829162598,0.3564000725746155,0.43620941042900085,0.38438332080841064,0.09630845487117767,0.22655296325683594,0.2965903580188751,0.34895065426826477,0.36358317732810974,0.2349688857793808,0.3155723512172699
has,0.4670248031616211,0.1873358190059662,0.27942559123039246,0.3254803419113159,0.129781574010849,0.21415217220783234,0.1852779984474182,0.2341945469379425,0.44092974066734314,0.1974504441022873,0.15994466841220856
led,0.19072435796260834,0.15819720923900604,0.28145718574523926,0.30694612860679626,0.09868869185447693,0.27361351251602173,0.40969040989875793,0.22053323686122894,0.27114903926849365,0.18963757157325745,0.09273858368396759
to,0.45503583550453186,0.29286426305770874,0.3377571105957031,0.33534231781959534,0.18208344280719757,0.24682314693927765,0.2414499819278717,0.27458062767982483,0.4239959120750427,0.3108522593975067,0.29463258385658264
outrage,0.21338032186031342,0.4036044776439667,0.12130805850028992,0.23465800285339355,0.18957264721393585,0.21693260967731476,0.19050414860248566,0.3818081319332123,0.17966443300247192,0.24940334260463715,0.2844541072845459
from,0.322764128446579,0.16176478564739227,0.23003742098808289,0.3373257517814636,0.13365446031093597,0.2409050017595291,0.29811105132102966,0.19454032182693481,0.26272761821746826,0.19855497777462006,0.19969791173934937
child,0.18734344840049744,0.16477170586585999,0.1192886233329773,0.15601499378681183,0.08127842843532562,0.2422502189874649,0.12152842432260513,0.2149663120508194,0.1592225432395935,0.34987807273864746,0.1979578584432602
protection,0.26957836747169495,0.21352949738502502,0.16934707760810852,0.16545379161834717,0.10773930698633194,0.13683266937732697,0.15150973200798035,0.27304092049598694,0.1859341710805893,0.1999146044254303,0.21348094940185547
and,0.3739250600337982,0.17807939648628235,0.34954607486724854,0.4289871156215668,0.19427642226219177,0.31468936800956726,0.2892237603664398,0.2817770540714264,0.5477725267410278,0.3148667514324188,0.20544172823429108
parental,0.2648802101612091,0.2240353226661682,0.10798695683479309,0.23337429761886597,0.05860821157693863,0.18729422986507416,0.1602688729763031,0.23466166853904724,0.2482193112373352,0.2357664406299591,0.2222837209701538
rights,0.18041828274726868,0.2271343320608139,0.15062259137630463,0.19225828349590302,0.10569967329502106,0.1449495404958725,0.12528789043426514,0.3745838403701782,0.147300586104393,0.1964578479528427,0.21814769506454468
groups,0.2068004310131073,0.13104350864887238,0.14537903666496277,0.22748439013957977,0.010203887708485126,0.12478435784578323,0.15622439980506897,0.1861889809370041,0.22698035836219788,0.16797307133674622,0.14349548518657684
.,0.50484299659729,0.21827399730682373,0.4032190144062042,0.3936232924461365,0.21003364026546478,0.24933868646621704,0.2413787543773651,0.23493336141109467,0.4446153938770294,0.26115289330482483,0.4130953550338745
