,what,is,the,greatest,number,of,members,a,board,of,trustees,can,have,?
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.3840213716030121,0.3830430209636688,0.42798417806625366,0.3667386770248413,0.2696802616119385,0.3248329758644104,0.42798417806625366,0.2728820741176605,0.3574998378753662,0.5559456944465637,0.29575422406196594
um,0.21974225342273712,0.14513176679611206,0.13005173206329346,0.13659758865833282,0.14097030460834503,0.11225807666778564,0.11254780739545822,0.13130909204483032,0.04227251932024956,0.11225807666778564,0.10690848529338837,0.16516931354999542,0.18020495772361755,0.2265344113111496
churches,0.17877253890037537,0.20715926587581635,0.2626241147518158,0.10591481626033783,0.15740396082401276,0.29080384969711304,0.2694356143474579,0.19495601952075958,0.12108036130666733,0.29080384969711304,0.2792331576347351,0.2088092863559723,0.22720080614089966,0.19824735820293427
must,0.30362528562545776,0.3093329071998596,0.2713140547275543,0.1233970895409584,0.30579131841659546,0.24322323501110077,0.19468946754932404,0.3016769587993622,0.24388006329536438,0.24322323501110077,0.2540152370929718,0.6161077618598938,0.4243750274181366,0.23707495629787445
have,0.39808809757232666,0.3613572418689728,0.40389683842658997,0.2049201875925064,0.3633861541748047,0.3802283704280853,0.2992980480194092,0.338716596364975,0.139429971575737,0.3802283704280853,0.23106412589550018,0.5489245653152466,0.9999999403953552,0.32991164922714233
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.15944629907608032,0.2992287278175354,0.5052502155303955,0.1873859316110611,1.0,0.17163047194480896,0.5052502155303955,0.18469704687595367,0.3915780484676361,0.338716596364975,0.23916715383529663
board,0.15681391954421997,0.18710602819919586,0.2871673107147217,0.15653418004512787,0.19769427180290222,0.23488809168338776,0.23900242149829865,0.17163047194480896,1.0000001192092896,0.23488809168338776,0.4285009205341339,0.19576036930084229,0.139429971575737,0.1261475533246994
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.30395472049713135,0.2778518795967102,1.0,0.28120753169059753,0.5052502155303955,0.23488809168338776,1.0,0.3031838834285736,0.2603091299533844,0.3802283704280853,0.1826142966747284
trustees,0.18544350564479828,0.13984952867031097,0.2802223861217499,0.11466620862483978,0.2061263471841812,0.3031838834285736,0.3813643455505371,0.18469704687595367,0.4285009205341339,0.3031838834285736,0.9999999403953552,0.16237041354179382,0.23106412589550018,0.12247486412525177
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.11211325228214264,0.2513769268989563,0.41827285289764404,0.2579888701438904,0.3783375024795532,0.10503118485212326,0.41827285289764404,0.1603485345840454,0.3572797477245331,0.48046383261680603,0.2433311939239502
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.2232091873884201,0.20500339567661285,0.42558613419532776,0.15071316063404083,0.3095070421695709,0.20110011100769043,0.42558613419532776,0.25926586985588074,0.16641086339950562,0.29004791378974915,0.21978627145290375
least,0.3337163031101227,0.25724145770072937,0.3428877890110016,0.24138769507408142,0.36161690950393677,0.32696738839149475,0.19983495771884918,0.3442045748233795,0.20426572859287262,0.32696738839149475,0.20612847805023193,0.34426364302635193,0.45121026039123535,0.28866854310035706
three,0.24888746440410614,0.23072560131549835,0.43452659249305725,0.18406249582767487,0.37020018696784973,0.3844621181488037,0.2108335644006729,0.3025658130645752,0.21253469586372375,0.3844621181488037,0.21106870472431183,0.21489545702934265,0.3712083399295807,0.20928427577018738
members,0.16873176395893097,0.1897467076778412,0.3321719169616699,0.15158545970916748,0.22878459095954895,0.28120753169059753,0.9999998807907104,0.1873859316110611,0.23900242149829865,0.28120753169059753,0.3813643455505371,0.14267030358314514,0.2992980480194092,0.10212311148643494
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.22727768123149872,0.28545793890953064,0.5116966962814331,0.2994427978992462,0.3739250600337982,0.24616685509681702,0.5116966962814331,0.258476585149765,0.3675691485404968,0.4711785912513733,0.20544172823429108
no,0.339326947927475,0.19581134617328644,0.3461136817932129,0.20673535764217377,0.28227460384368896,0.24809792637825012,0.17397795617580414,0.26280897855758667,0.12331992387771606,0.24809792637825012,0.1462334841489792,0.2225070297718048,0.38691386580467224,0.32165053486824036
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.21889428794384003,0.327032208442688,0.30478984117507935,0.2394680678844452,0.3452818691730499,0.16771399974822998,0.30478984117507935,0.16469275951385498,0.4044358730316162,0.49033403396606445,0.27894994616508484
than,0.29388150572776794,0.2839990258216858,0.3227543234825134,0.18747049570083618,0.2816639244556427,0.33036211133003235,0.1746993064880371,0.3126874566078186,0.1310994029045105,0.33036211133003235,0.15289093554019928,0.3532506823539734,0.46517109870910645,0.24917294085025787
nine,0.11931172013282776,0.17531593143939972,0.33253175020217896,0.17368629574775696,0.3494636118412018,0.29486238956451416,0.2736395001411438,0.2446976900100708,0.23740486800670624,0.29486238956451416,0.20386412739753723,0.14694544672966003,0.2875446081161499,0.13964155316352844
members,0.16873176395893097,0.1897467076778412,0.3321719169616699,0.15158545970916748,0.22878459095954895,0.28120753169059753,0.9999998807907104,0.1873859316110611,0.23900242149829865,0.28120753169059753,0.3813643455505371,0.14267030358314514,0.2992980480194092,0.10212311148643494
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.22727768123149872,0.28545793890953064,0.5116966962814331,0.2994427978992462,0.3739250600337982,0.24616685509681702,0.5116966962814331,0.258476585149765,0.3675691485404968,0.4711785912513733,0.20544172823429108
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.16593337059020996,0.26851508021354675,0.38761502504348755,0.13934354484081268,0.5452592968940735,0.1697750687599182,0.38761502504348755,0.17665787041187286,0.3819273114204407,0.40974161028862,0.25732165575027466
is,0.28837618231773376,1.0,0.5823672413825989,0.16166137158870697,0.22390379011631012,0.4854315221309662,0.1897467076778412,0.658733606338501,0.18710602819919586,0.4854315221309662,0.13984952867031097,0.44256699085235596,0.3613572418689728,0.22961433231830597
