,what,percentage,of,new,zealand,students,attended,private,schools,in,april,2014,?
as,0.31749409437179565,0.19401364028453827,0.3886612355709076,0.24585270881652832,0.18826773762702942,0.2101105898618698,0.19800402224063873,0.22101859748363495,0.21233005821704865,0.3887844979763031,0.24483075737953186,0.21246016025543213,0.27043893933296204
of,0.33290785551071167,0.24724560976028442,1.0,0.343457967042923,0.1794917732477188,0.25513339042663574,0.25085145235061646,0.18706899881362915,0.265506386756897,0.5696388483047485,0.18706536293029785,0.0493064783513546,0.1826142966747284
april,0.21502700448036194,0.071220763027668,0.18706536293029785,0.24175630509853363,0.20840208232402802,0.18363846838474274,0.27366742491722107,0.19129225611686707,0.15921804308891296,0.2882915735244751,0.9999999403953552,0.20372895896434784,0.25704094767570496
2014,0.041483160108327866,-0.056734599173069,0.0493064783513546,0.06295159459114075,0.09655669331550598,-0.02035689167678356,0.059248071163892746,-0.012680906802415848,-0.07876225560903549,0.13996225595474243,0.20372895896434784,1.0000001192092896,0.058127544820308685
",",0.3087472915649414,0.21945469081401825,0.4946078956127167,0.36073189973831177,0.25323209166526794,0.26501646637916565,0.2751223146915436,0.1899166703224182,0.2760516405105591,0.5201468467712402,0.4403347671031952,0.19350162148475647,0.31091248989105225
there,0.35085538029670715,0.24553850293159485,0.44397735595703125,0.26218199729919434,0.1600300520658493,0.2911071479320526,0.2249893993139267,0.1829933375120163,0.2900838851928711,0.5361666083335876,0.21783733367919922,-0.043540820479393005,0.29405656456947327
are,0.29724663496017456,0.31028249859809875,0.39081433415412903,0.1899496167898178,0.15959401428699493,0.2835792899131775,0.1595020294189453,0.1694057136774063,0.30816179513931274,0.3841303884983063,0.08702158182859421,-0.012596084736287594,0.24591213464736938
88,-0.045913759618997574,0.037220243364572525,0.007528162095695734,-0.06522294133901596,-0.124491848051548,0.0012647922849282622,-0.11588533967733383,0.01849149726331234,-0.03645576164126396,-0.07498844712972641,-0.03069683536887169,-0.033317681401968,0.0018956762505695224
private,0.16778090596199036,0.13822926580905914,0.18706899881362915,0.15541495382785797,0.1425226330757141,0.35454505681991577,0.2956782281398773,1.0,0.4158569872379303,0.21135757863521576,0.19129225611686707,-0.012680906802415848,0.14389030635356903
schools,0.1820785105228424,0.1464802473783493,0.265506386756897,0.13635335862636566,0.1286637783050537,0.6169943809509277,0.46369069814682007,0.4158569872379303,1.0,0.2632134258747101,0.15921804308891296,-0.07876225560903549,0.18349280953407288
in,0.30808621644973755,0.18874377012252808,0.5696388483047485,0.3758552670478821,0.2644186019897461,0.2676171064376831,0.2787896692752838,0.21135757863521576,0.2632134258747101,1.0,0.2882915735244751,0.13996225595474243,0.20430970191955566
new,0.2130378633737564,0.143073171377182,0.343457967042923,0.9999999403953552,0.5071729421615601,0.19169281423091888,0.208150252699852,0.15541495382785797,0.13635335862636566,0.3758552670478821,0.24175630509853363,0.06295159459114075,0.14782847464084625
zealand,0.09457359462976456,0.15212948620319366,0.1794917732477188,0.5071729421615601,0.9999999403953552,0.11349768936634064,0.14504556357860565,0.1425226330757141,0.1286637783050537,0.2644186019897461,0.20840208232402802,0.09655669331550598,0.07086749374866486
",",0.3087472915649414,0.21945469081401825,0.4946078956127167,0.36073189973831177,0.25323209166526794,0.26501646637916565,0.2751223146915436,0.1899166703224182,0.2760516405105591,0.5201468467712402,0.4403347671031952,0.19350162148475647,0.31091248989105225
catering,0.2703295350074768,0.21273531019687653,0.25304311513900757,0.23866145312786102,0.1526530385017395,0.3289470970630646,0.24861939251422882,0.27418047189712524,0.25946882367134094,0.230123832821846,0.16780118644237518,-0.003128540702164173,0.255033403635025
for,0.3017193675041199,0.2764090597629547,0.4185989499092102,0.2700757384300232,0.19785170257091522,0.2460945099592209,0.2428373545408249,0.22242696583271027,0.2320515662431717,0.4322226941585541,0.29502245783805847,-0.029771532863378525,0.264628142118454
around,0.27475327253341675,0.2270122766494751,0.3296394646167755,0.23326291143894196,0.12179521471261978,0.2288268655538559,0.19136250019073486,0.14923639595508575,0.21455352008342743,0.41294145584106445,0.21247705817222595,0.03615759313106537,0.14729668200016022
"28,000",0.09509626030921936,0.06509801000356674,0.09888894110918045,-0.100471131503582,-0.054598573595285416,0.003269282402470708,-0.10004384815692902,0.0029749716632068157,-0.05763944238424301,0.07891881465911865,0.07388440519571304,0.165592759847641,0.07293245941400528
students,0.2380729615688324,0.22155962884426117,0.25513339042663574,0.19169281423091888,0.11349768936634064,1.0,0.4651164710521698,0.35454505681991577,0.6169943809509277,0.2676171064376831,0.18363846838474274,-0.02035689167678356,0.18017297983169556
or,0.33867141604423523,0.29796382784843445,0.3792596757411957,0.1627417951822281,0.16910114884376526,0.21765491366386414,0.08855412900447845,0.21888144314289093,0.23524631559848785,0.3586423695087433,0.09176356345415115,-0.026373421773314476,0.32389625906944275
3.7,0.10036756843328476,0.2221878618001938,0.25151216983795166,0.13088592886924744,0.16459393501281738,0.04543495923280716,0.11023690551519394,0.1359679400920868,0.13995672762393951,0.28348952531814575,0.15156085789203644,-0.07137748599052429,0.10568435490131378
%,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.12995213270187378,0.12510153651237488,0.22348105907440186,0.08139271289110184,0.14337216317653656,0.177998885512352,0.19465309381484985,0.14055797457695007,0.01825324073433876,0.21441808342933655
of,0.33290785551071167,0.24724560976028442,1.0,0.343457967042923,0.1794917732477188,0.25513339042663574,0.25085145235061646,0.18706899881362915,0.265506386756897,0.5696388483047485,0.18706536293029785,0.0493064783513546,0.1826142966747284
the,0.42745697498321533,0.2736506462097168,0.733189046382904,0.3845241069793701,0.18368712067604065,0.25268980860710144,0.2369099110364914,0.18291357159614563,0.22905772924423218,0.6662389636039734,0.23232673108577728,0.059490643441677094,0.22068053483963013
entire,0.37562522292137146,0.3077104091644287,0.3766143023967743,0.24857181310653687,0.08124597370624542,0.17214618623256683,0.14259794354438782,0.20161007344722748,0.16722406446933746,0.3347092568874359,0.14116546511650085,-0.04230177029967308,0.17068447172641754
student,0.20548318326473236,0.1321197748184204,0.20310284197330475,0.15977053344249725,0.07118391990661621,0.7746244072914124,0.3927331268787384,0.3240567743778229,0.41530340909957886,0.254856139421463,0.23161162436008453,0.098530612885952,0.13282090425491333
population,0.2000674307346344,0.35606327652931213,0.3060894012451172,0.14427055418491364,0.09022867679595947,0.28437644243240356,0.16455937922000885,0.1066690981388092,0.2563742697238922,0.3268454372882843,0.14986126124858856,0.037611741572618484,0.14449454843997955
.,0.3567904531955719,0.28866735100746155,0.5352458953857422,0.35031336545944214,0.22469598054885864,0.2607303857803345,0.2017192840576172,0.2534593939781189,0.2752705216407776,0.5591574311256409,0.32346561551094055,0.14509223401546478,0.4130953550338745
