,how,do,centripetal,forces,act,in,relation,to,vectors,of,velocity,?
such,0.307365357875824,0.337398886680603,0.21958963572978973,0.11777441203594208,0.2392725646495819,0.2704046070575714,0.2391033172607422,0.2871878743171692,0.29275694489479065,0.3209529519081116,0.24038618803024292,0.17851735651493073
forces,0.17453457415103912,0.1300598382949829,0.36583229899406433,1.0,0.24012219905853271,0.2565164566040039,0.2106105238199234,0.2581802308559418,0.2205539345741272,0.3090144991874695,0.20467837154865265,0.16984491050243378
act,0.21768730878829956,0.2193419635295868,0.23836129903793335,0.24012219905853271,1.0,0.22050046920776367,0.2014588564634323,0.24833928048610687,0.13762646913528442,0.2802577316761017,0.1177210733294487,0.1482519507408142
perpendicular,0.23855936527252197,0.22684378921985626,0.5982410907745361,0.3156169652938843,0.14731712639331818,0.19100402295589447,0.35419514775276184,0.2831891179084778,0.4694998264312744,0.32149815559387207,0.5097883939743042,0.16557027399539948
to,0.44169697165489197,0.38876664638519287,0.31543686985969543,0.2581802308559418,0.24833928048610687,0.45010748505592346,0.3203113079071045,1.0,0.22677776217460632,0.41548454761505127,0.2513314187526703,0.29463258385658264
the,0.33890387415885925,0.30239659547805786,0.35462766885757446,0.3134811818599701,0.28682878613471985,0.6662389636039734,0.2734622061252594,0.535392165184021,0.22462749481201172,0.733189046382904,0.22094543278217316,0.22068053483963013
velocity,0.26783284544944763,0.18476499617099762,0.46025243401527405,0.20467837154865265,0.1177210733294487,0.12496421486139297,0.39963194727897644,0.2513314187526703,0.38278570771217346,0.15038157999515533,1.0000001192092896,0.20807628333568573
vector,0.28761154413223267,0.2648661732673645,0.3423435688018799,0.1949061155319214,0.131386861205101,0.16806605458259583,0.32193419337272644,0.22790080308914185,0.7924625873565674,0.20483794808387756,0.42034080624580383,0.26140129566192627
associated,0.22210390865802765,0.15315046906471252,0.22031936049461365,0.16610772907733917,0.19315513968467712,0.23328746855258942,0.2228076159954071,0.2648659348487854,0.22089560329914093,0.3077163100242615,0.08468692749738693,0.1453326791524887
with,0.3525622487068176,0.23744353652000427,0.21169574558734894,0.18998397886753082,0.18591532111167908,0.4080928862094879,0.29346004128456116,0.4239959120750427,0.1747969537973404,0.41827285289764404,0.18260422348976135,0.2433311939239502
the,0.33890387415885925,0.30239659547805786,0.35462766885757446,0.3134811818599701,0.28682878613471985,0.6662389636039734,0.2734622061252594,0.535392165184021,0.22462749481201172,0.733189046382904,0.22094543278217316,0.22068053483963013
motion,0.27435019612312317,0.18238574266433716,0.38275599479675293,0.2487546056509018,0.23106324672698975,0.2190442532300949,0.3192356824874878,0.26277783513069153,0.27402400970458984,0.24864931404590607,0.37702953815460205,0.20143945515155792
of,0.2480744868516922,0.26150479912757874,0.31895577907562256,0.3090144991874695,0.2802577316761017,0.5696388483047485,0.29761821031570435,0.41548454761505127,0.25807127356529236,1.0,0.15038157999515533,0.1826142966747284
an,0.2520636022090912,0.25865980982780457,0.2685655653476715,0.16929563879966736,0.20058928430080414,0.2605783939361572,0.2090998739004135,0.3138085603713989,0.17994827032089233,0.32280945777893066,0.2044711709022522,0.19793890416622162
object,0.3664977550506592,0.216600239276886,0.46063539385795593,0.23975132405757904,0.2549629211425781,0.18661287426948547,0.3945331573486328,0.2821136713027954,0.2691170871257782,0.1993778944015503,0.46046820282936096,0.19573666155338287
",",0.22659391164779663,0.3283645510673523,0.23790684342384338,0.2544684410095215,0.1787904053926468,0.5201468467712402,0.2668071985244751,0.44245919585227966,0.2269035130739212,0.4946078956127167,0.2040358930826187,0.31091248989105225
and,0.33647966384887695,0.276123583316803,0.34416311979293823,0.26456665992736816,0.2776535749435425,0.4954058527946472,0.3051023781299591,0.48971283435821533,0.19565042853355408,0.5116966962814331,0.18406882882118225,0.20544172823429108
therefore,0.4215601980686188,0.37750619649887085,0.37215399742126465,0.25287145376205444,0.2296590954065323,0.2696720361709595,0.3721051514148712,0.49267399311065674,0.29563355445861816,0.4106575846672058,0.2915726900100708,0.3325358033180237
do,0.40287578105926514,1.0,0.2840840816497803,0.1300598382949829,0.2193419635295868,0.23402775824069977,0.17978574335575104,0.38876664638519287,0.25868427753448486,0.26150479912757874,0.18476499617099762,0.4093979299068451
not,0.4869767427444458,0.6619802713394165,0.2920527756214142,0.17200443148612976,0.2604115903377533,0.3403114080429077,0.29026907682418823,0.5149973034858704,0.25072968006134033,0.3307090103626251,0.2396777719259262,0.41942933201789856
change,0.3957580626010895,0.528757631778717,0.3940330743789673,0.17006182670593262,0.28993701934814453,0.2510564923286438,0.3180585205554962,0.3581787943840027,0.21484822034835815,0.2569013833999634,0.2656366527080536,0.24115969240665436
the,0.33890387415885925,0.30239659547805786,0.35462766885757446,0.3134811818599701,0.28682878613471985,0.6662389636039734,0.2734622061252594,0.535392165184021,0.22462749481201172,0.733189046382904,0.22094543278217316,0.22068053483963013
speed,0.2907758057117462,0.193849578499794,0.4230446517467499,0.20775721967220306,0.17601414024829865,0.2239796668291092,0.24738004803657532,0.2900872230529785,0.2700636088848114,0.1947416365146637,0.5391632318496704,0.17392314970493317
