,what,became,the,foundation,of,the,reformation,?
luther,0.2134782373905182,0.18142570555210114,0.1759674996137619,0.11262933164834976,0.1719115972518921,0.1759674996137619,0.43711021542549133,0.1732746809720993
's,0.02692362666130066,0.0067522358149290085,-0.01540423184633255,-0.05394602566957474,-0.03817026689648628,-0.01540423184633255,0.012000528164207935,-0.023395681753754616
rediscovery,0.24370841681957245,0.21889792382717133,0.28241732716560364,0.27860015630722046,0.2683425843715668,0.28241732716560364,0.34260132908821106,0.1588134467601776
of,0.33290785551071167,0.3638904094696045,0.733189046382904,0.26611822843551636,1.0,0.733189046382904,0.311197429895401,0.1826142966747284
``,0.008517155423760414,0.03974717855453491,0.029072100296616554,-0.11778474599123001,0.06780257821083069,0.029072100296616554,0.08668238669633865,0.0685480609536171
christ,0.2615339457988739,0.1410447657108307,0.25124865770339966,0.20148108899593353,0.27289092540740967,0.25124865770339966,0.41863441467285156,0.13772203028202057
and,0.31309178471565247,0.31226563453674316,0.5171257257461548,0.19384855031967163,0.5116966962814331,0.5171257257461548,0.2996911108493805,0.20544172823429108
his,0.26976513862609863,0.3503277599811554,0.4394008219242096,0.21840602159500122,0.38364991545677185,0.4394008219242096,0.25813475251197815,0.18075084686279297
salvation,0.31571435928344727,0.1164860799908638,0.30236515402793884,0.2780756950378418,0.2523575723171234,0.30236515402793884,0.416370153427124,0.2133665680885315
'',0.08143015950918198,-0.039430685341358185,0.041273195296525955,-0.03497930243611336,0.13035868108272552,0.041273195296525955,0.010702555999159813,0.018684765323996544
was,0.22111038863658905,0.6575068235397339,0.48711544275283813,0.18908900022506714,0.4069072902202606,0.48711544275283813,0.29210031032562256,0.18412111699581146
the,0.42745697498321533,0.36325156688690186,1.0,0.23942872881889343,0.733189046382904,1.0,0.3290504217147827,0.22068053483963013
first,0.28086137771606445,0.37862223386764526,0.49448907375335693,0.1887335330247879,0.3536086082458496,0.49448907375335693,0.20907169580459595,0.18701928853988647
of,0.33290785551071167,0.3638904094696045,0.733189046382904,0.26611822843551636,1.0,0.733189046382904,0.311197429895401,0.1826142966747284
two,0.23363454639911652,0.230572909116745,0.43858039379119873,0.11177027225494385,0.37726253271102905,0.43858039379119873,0.21386678516864777,0.19645625352859497
points,0.2184005230665207,0.0668783038854599,0.2560983896255493,0.13981054723262787,0.20397144556045532,0.2560983896255493,0.20751599967479706,0.11006313562393188
that,0.6297725439071655,0.1675340086221695,0.5473989248275757,0.23472844064235687,0.41498205065727234,0.5473989248275757,0.27698859572410583,0.32716336846351624
became,0.1434093862771988,1.0,0.36325156688690186,0.15069620311260223,0.3638904094696045,0.36325156688690186,0.2733845114707947,0.11374033987522125
the,0.42745697498321533,0.36325156688690186,1.0,0.23942872881889343,0.733189046382904,1.0,0.3290504217147827,0.22068053483963013
foundation,0.19225969910621643,0.15069620311260223,0.23942872881889343,1.0000001192092896,0.26611822843551636,0.23942872881889343,0.25689172744750977,0.1791457086801529
for,0.3017193675041199,0.3017078936100006,0.4739971458911896,0.2412533462047577,0.4185989499092102,0.4739971458911896,0.18465812504291534,0.264628142118454
the,0.42745697498321533,0.36325156688690186,1.0,0.23942872881889343,0.733189046382904,1.0,0.3290504217147827,0.22068053483963013
reformation,0.23052695393562317,0.2733845114707947,0.3290504217147827,0.25689172744750977,0.311197429895401,0.3290504217147827,1.0,0.14843040704727173
.,0.3567904531955719,0.2806840240955353,0.5934505462646484,0.26203909516334534,0.5352458953857422,0.5934505462646484,0.29916802048683167,0.4130953550338745
