,what,did,vbns,do
the,0.42745697498321533,0.34736719727516174,0.2813221216201782,0.30239659547805786
very,0.37053924798965454,0.3388260006904602,0.16884855926036835,0.2859450876712799
high-speed,0.3194008469581604,0.2293693572282791,0.250329852104187,0.2485426813364029
backbone,0.19907666742801666,0.1093868687748909,0.2994491159915924,0.22692538797855377
network,0.16917307674884796,0.08572790026664734,0.25583016872406006,0.12826339900493622
service,0.16857224702835083,0.14130860567092896,0.24439747631549835,0.15092721581459045
(,0.2411840260028839,0.18979617953300476,0.11349386721849442,0.24216170608997345
vbns,0.24957886338233948,0.2123332917690277,1.0000001192092896,0.32265815138816833
),0.26259949803352356,0.18584993481636047,0.07924553751945496,0.24460165202617645
came,0.2728535234928131,0.4016856253147125,0.10731694102287292,0.19942240417003632
on,0.34226128458976746,0.2670976221561432,0.17545220255851746,0.3025321364402771
line,0.2245367169380188,0.14681050181388855,0.17071887850761414,0.14362476766109467
in,0.30808621644973755,0.2593238651752472,0.16415390372276306,0.23402775824069977
april,0.21502700448036194,0.2925565242767334,-0.0036640577018260956,0.1649840921163559
1995,0.13580629229545593,0.16752305626869202,-0.016479959711432457,0.03423922508955002
as,0.31749409437179565,0.3596470057964325,0.17980889976024628,0.38329678773880005
part,0.3476244807243347,0.23558001220226288,0.24340038001537323,0.22510087490081787
of,0.33290785551071167,0.2513895630836487,0.20267067849636078,0.26150479912757874
a,0.3320399522781372,0.2552328109741211,0.16847047209739685,0.26237669587135315
national,0.16882304847240448,0.17743784189224243,0.13637672364711761,0.1124928817152977
science,0.2612018585205078,0.14819081127643585,0.2321079671382904,0.20788584649562836
foundation,0.19225969910621643,0.11260227859020233,0.09585700184106827,0.19784170389175415
(,0.2411840260028839,0.18979617953300476,0.11349386721849442,0.24216170608997345
nsf,0.2732805907726288,0.1579194813966751,0.19642044603824615,0.24479933083057404
),0.26259949803352356,0.18584993481636047,0.07924553751945496,0.24460165202617645
sponsored,0.11231818050146103,0.19077621400356293,0.09798139333724976,0.147539883852005
project,0.27033838629722595,0.18681181967258453,0.16615530848503113,0.17133867740631104
to,0.455847829580307,0.4452643394470215,0.28151533007621765,0.38876664638519287
provide,0.27049049735069275,0.2528877258300781,0.2866433560848236,0.36434707045555115
high-speed,0.3194008469581604,0.2293693572282791,0.250329852104187,0.2485426813364029
interconnection,0.20888762176036835,0.13600869476795197,0.34336358308792114,0.22504164278507233
between,0.2462156116962433,0.16542956233024597,0.1886599212884903,0.14014670252799988
nsf-sponsored,0.17177264392375946,0.21413162350654602,0.12542107701301575,0.17332306504249573
supercomputing,0.2155531793832779,0.1330215185880661,0.3542104959487915,0.156996950507164
centers,0.22307880222797394,0.18971800804138184,0.2906666696071625,0.24286885559558868
and,0.31309178471565247,0.34479495882987976,0.2682284712791443,0.276123583316803
select,0.2594083249568939,0.20383447408676147,0.3038497269153595,0.24939259886741638
access,0.2685140371322632,0.17740806937217712,0.3179875910282135,0.28318458795547485
points,0.2184005230665207,0.2069225311279297,0.32442519068717957,0.1964488923549652
in,0.30808621644973755,0.2593238651752472,0.16415390372276306,0.23402775824069977
the,0.42745697498321533,0.34736719727516174,0.2813221216201782,0.30239659547805786
united,0.20036718249320984,0.21137088537216187,0.128522127866745,0.13376939296722412
states,0.21526020765304565,0.21754568815231323,0.19929255545139313,0.1594211608171463
.,0.3567904531955719,0.35288307070732117,0.19426409900188446,0.3613996207714081
