,what,does,the,thylakoid,membrane,use,the,energized,electrons,for,?
molecules,0.2143162339925766,0.22559203207492828,0.2374771386384964,0.4730325937271118,0.5875670909881592,0.23444542288780212,0.2374771386384964,0.4680066406726837,0.6550358533859253,0.20138822495937347,0.17409995198249817
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.17373895645141602,0.18670576810836792,0.2715643048286438,0.6662389636039734,0.2348305881023407,0.15858358144760132,0.4322226941585541,0.20430970191955566
the,0.42745697498321533,0.35928019881248474,1.0,0.22905179858207703,0.21814598143100739,0.34342584013938904,1.0,0.2937487065792084,0.2109822928905487,0.4739971458911896,0.22068053483963013
thylakoid,0.20312407612800598,0.20504289865493774,0.22905179858207703,1.0,0.5469450354576111,0.220412477850914,0.22905179858207703,0.33522748947143555,0.38369473814964294,0.10363088548183441,0.19202344119548798
membrane,0.1647152304649353,0.23522153496742249,0.21814598143100739,0.5469450354576111,0.9999999403953552,0.19760861992835999,0.21814598143100739,0.4181729257106781,0.4652162492275238,0.15821923315525055,0.18908235430717468
use,0.3453877568244934,0.39963871240615845,0.34342584013938904,0.220412477850914,0.19760861992835999,1.0,0.34342584013938904,0.21632640063762665,0.1866162270307541,0.47655582427978516,0.32795652747154236
the,0.42745697498321533,0.35928019881248474,1.0,0.22905179858207703,0.21814598143100739,0.34342584013938904,1.0,0.2937487065792084,0.2109822928905487,0.4739971458911896,0.22068053483963013
energized,0.18171420693397522,0.19402800500392914,0.2937487065792084,0.33522748947143555,0.4181729257106781,0.21632640063762665,0.2937487065792084,1.0,0.561700165271759,0.2459588199853897,0.10235804319381714
electrons,0.23107858002185822,0.2547900676727295,0.2109822928905487,0.38369473814964294,0.4652162492275238,0.1866162270307541,0.2109822928905487,0.561700165271759,1.0,0.16157317161560059,0.15516111254692078
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.20179182291030884,0.17791007459163666,0.47261837124824524,0.535392165184021,0.2455664873123169,0.2753003239631653,0.4451248347759247,0.29463258385658264
pump,0.2035713642835617,0.218965083360672,0.21872945129871368,0.23371091485023499,0.27220165729522705,0.31897082924842834,0.21872945129871368,0.28991782665252686,0.26627591252326965,0.1653498113155365,0.24768272042274475
hydrogen,0.19052310287952423,0.2498556524515152,0.20406323671340942,0.45373737812042236,0.43697938323020935,0.2761206328868866,0.20406323671340942,0.5085575580596924,0.6067970395088196,0.16847959160804749,0.14590126276016235
ions,0.19082559645175934,0.2879132926464081,0.1818171590566635,0.41014885902404785,0.5012004971504211,0.2251049429178238,0.1818171590566635,0.48196735978126526,0.6740367412567139,0.18068988621234894,0.19270877540111542
into,0.2180619090795517,0.22312942147254944,0.39493247866630554,0.23499679565429688,0.2605206370353699,0.2559370994567871,0.39493247866630554,0.3048974275588989,0.17463816702365875,0.231735959649086,0.15662476420402527
the,0.42745697498321533,0.35928019881248474,1.0,0.22905179858207703,0.21814598143100739,0.34342584013938904,1.0,0.2937487065792084,0.2109822928905487,0.4739971458911896,0.22068053483963013
thylakoid,0.20312407612800598,0.20504289865493774,0.22905179858207703,1.0,0.5469450354576111,0.220412477850914,0.22905179858207703,0.33522748947143555,0.38369473814964294,0.10363088548183441,0.19202344119548798
space,0.20525942742824554,0.1845475137233734,0.24495907127857208,0.1919831484556198,0.28966769576072693,0.25471776723861694,0.24495907127857208,0.2589038014411926,0.23998452723026276,0.24232043325901031,0.1885536164045334
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.18480192124843597,0.18095634877681732,0.3276674151420593,0.4933079481124878,0.20016734302043915,0.2110055536031723,0.4464869201183319,0.31091248989105225
decreasing,0.21141842007637024,0.19518986344337463,0.318924218416214,0.2098296582698822,0.27372005581855774,0.32306572794914246,0.318924218416214,0.3942319452762604,0.3106478750705719,0.23710228502750397,0.06217806041240692
the,0.42745697498321533,0.35928019881248474,1.0,0.22905179858207703,0.21814598143100739,0.34342584013938904,1.0,0.2937487065792084,0.2109822928905487,0.4739971458911896,0.22068053483963013
ph,0.13175469636917114,0.16570067405700684,0.1419791877269745,0.17418143153190613,0.21362408995628357,0.13091452419757843,0.1419791877269745,0.26774102449417114,0.19869884848594666,0.10159140825271606,0.16463516652584076
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.1958216279745102,0.233199805021286,0.34145063161849976,0.5171257257461548,0.22679492831230164,0.21911503374576569,0.5064792633056641,0.20544172823429108
turning,0.3082372844219208,0.2645532190799713,0.3650859296321869,0.14496362209320068,0.26899251341819763,0.27606314420700073,0.3650859296321869,0.3160814940929413,0.21941368281841278,0.2547759711742401,0.1670563519001007
it,0.45803478360176086,0.34188351035118103,0.6251175999641418,0.21452097594738007,0.20497499406337738,0.34436097741127014,0.6251175999641418,0.1941334307193756,0.24132908880710602,0.32171204686164856,0.25732165575027466
acidic,0.20120957493782043,0.29455429315567017,0.17557589709758759,0.46628981828689575,0.4407479763031006,0.2318917065858841,0.17557589709758759,0.35970962047576904,0.3967092037200928,0.16069497168064117,0.16853316128253937
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.21039265394210815,0.20517759025096893,0.3711656630039215,0.5934505462646484,0.21189086139202118,0.2193155288696289,0.4726039469242096,0.4130953550338745
