,what,are,apicoplasts,missing,?
apicoplasts,0.24510204792022705,0.4043741226196289,0.9999999403953552,0.22328315675258636,0.20021182298660278
have,0.39808809757232666,0.6577680706977844,0.3311164975166321,0.3136735260486603,0.32991164922714233
lost,0.198215052485466,0.1014765202999115,0.11171921342611313,0.26942411065101624,0.15261413156986237
all,0.41981086134910583,0.5343062281608582,0.29889383912086487,0.23987352848052979,0.29575422406196594
photosynthetic,0.20943596959114075,0.337356835603714,0.6062336564064026,0.1722460389137268,0.15254013240337372
function,0.22155974805355072,0.22522267699241638,0.3623661696910858,0.19889196753501892,0.20672395825386047
",",0.3087472915649414,0.4062570035457611,0.2824283540248871,0.2425287365913391,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.2743526101112366,0.2305000275373459,0.20544172823429108
contain,0.1832355558872223,0.5326977372169495,0.4077341556549072,0.24451473355293274,0.18853069841861725
no,0.339326947927475,0.2432553917169571,0.20394599437713623,0.2416406273841858,0.32165053486824036
photosynthetic,0.20943596959114075,0.337356835603714,0.6062336564064026,0.1722460389137268,0.15254013240337372
pigments,0.2220182567834854,0.31982728838920593,0.5928056836128235,0.16126646101474762,0.16673754155635834
or,0.33867141604423523,0.5374364256858826,0.38798099756240845,0.258948415517807,0.32389625906944275
true,0.34890216588974,0.27334368228912354,0.27510732412338257,0.21718713641166687,0.22515304386615753
thylakoids,0.18655724823474884,0.4048384726047516,0.6410973072052002,0.20216743648052216,0.17522360384464264
.,0.3567904531955719,0.3452940285205841,0.28695741295814514,0.2528116703033447,0.4130953550338745
