,where,did,the,world,'s,first,railway,journey,terminate,?
the,0.5003893971443176,0.34736719727516174,1.0,0.33604270219802856,-0.01540423184633255,0.49448907375335693,0.2692219316959381,0.24944555759429932,0.24870391190052032,0.22068053483963013
first,0.3238157331943512,0.33691170811653137,0.49448907375335693,0.31190985441207886,-0.014458609744906425,1.0,0.17453445494174957,0.27903813123703003,0.17357979714870453,0.18701928853988647
full-scale,0.19656145572662354,0.1689728945493698,0.25189071893692017,0.2005138248205185,0.036148276180028915,0.2325461208820343,0.26333269476890564,0.14080160856246948,0.21394866704940796,0.24412725865840912
working,0.2553141415119171,0.2788783311843872,0.25857484340667725,0.2526952922344208,-0.0629357099533081,0.22763168811798096,0.24390365183353424,0.14008410274982452,0.22165147960186005,0.17154020071029663
railway,0.1763903647661209,0.13646093010902405,0.2692219316959381,0.15220041573047638,0.04776231199502945,0.17453445494174957,1.0,0.18982551991939545,0.24255739152431488,0.07994066178798676
steam,0.18907299637794495,0.19902050495147705,0.23105813562870026,0.14963915944099426,0.03992457315325737,0.2210129350423813,0.4340377151966095,0.20856675505638123,0.21210983395576477,0.113324373960495
locomotive,0.14270856976509094,0.07816889882087708,0.22304096817970276,0.09237456321716309,0.04955169931054115,0.16801829636096954,0.562675416469574,0.12893030047416687,0.21564500033855438,0.10199091583490372
was,0.20731619000434875,0.41399896144866943,0.48711544275283813,0.3097524344921112,0.008974763564765453,0.5022147297859192,0.20427824556827545,0.24955794215202332,0.09911464899778366,0.18412111699581146
built,0.23154333233833313,0.2079687863588333,0.2950156033039093,0.25674813985824585,0.09241583198308945,0.28534698486328125,0.33443552255630493,0.17032326757907867,0.1833033412694931,0.09449632465839386
by,0.2641284465789795,0.18574509024620056,0.4408751428127289,0.22306372225284576,-0.010884488001465797,0.3877052962779999,0.1736236810684204,0.1946435123682022,0.1787301003932953,0.17966607213020325
richard,0.12078883498907089,0.17407897114753723,0.2087954580783844,0.24842329323291779,-0.04731119051575661,0.21793003380298615,0.17900104820728302,0.19687388837337494,0.037494465708732605,0.15003317594528198
trevithick,0.2482410967350006,0.17673523724079132,0.31533631682395935,0.26725339889526367,-0.011014672927558422,0.32800382375717163,0.3499394357204437,0.2559751570224762,0.11227838695049286,0.2125524878501892
in,0.5344807505607605,0.2593238651752472,0.6662389636039734,0.3038199245929718,-0.037580832839012146,0.4127444326877594,0.2326211929321289,0.1607937216758728,0.1790952831506729,0.20430970191955566
the,0.5003893971443176,0.34736719727516174,1.0,0.33604270219802856,-0.01540423184633255,0.49448907375335693,0.2692219316959381,0.24944555759429932,0.24870391190052032,0.22068053483963013
united,0.23721055686473846,0.21137088537216187,0.34367692470550537,0.3110230267047882,-0.03853745758533478,0.37439173460006714,0.19810497760772705,0.15232327580451965,0.1915207952260971,0.17266890406608582
kingdom,0.18143217265605927,0.15448923408985138,0.3143408000469208,0.26738956570625305,0.04632937163114548,0.26541364192962646,0.23908944427967072,0.21466456353664398,0.16322867572307587,0.12927088141441345
and,0.43859338760375977,0.34479495882987976,0.5171257257461548,0.3246132433414459,0.06895173341035843,0.3167642652988434,0.19695477187633514,0.28162792325019836,0.22034388780593872,0.20544172823429108
",",0.3149496018886566,0.3015086054801941,0.4933079481124878,0.26091980934143066,-0.0016132977325469255,0.34503069519996643,0.21531596779823303,0.18947862088680267,0.20923475921154022,0.31091248989105225
on,0.37630224227905273,0.2670976221561432,0.5107308030128479,0.22789059579372406,0.0026888418942689896,0.3120559751987457,0.1921648234128952,0.22706623375415802,0.19588518142700195,0.2714994251728058
