,what,will,ensure,and,create,the,framework,for,the,action,plan,to,work,?
at,0.2838611304759979,0.26192525029182434,0.2025764286518097,0.3571503460407257,0.15985484421253204,0.457212895154953,0.12769320607185364,0.34237727522850037,0.457212895154953,0.1435478776693344,0.19810442626476288,0.36524343490600586,0.24906395375728607,0.21978627145290375
the,0.42745697498321533,0.3635469079017639,0.2955571711063385,0.5171257257461548,0.25265660881996155,1.0,0.23312553763389587,0.4739971458911896,1.0,0.28415048122406006,0.2852855324745178,0.535392165184021,0.2704800069332123,0.22068053483963013
launch,0.22967466711997986,0.18977057933807373,0.20305167138576508,0.18879936635494232,0.22579129040241241,0.2628649175167084,0.21415118873119354,0.25149083137512207,0.2628649175167084,0.22591230273246765,0.2676008641719818,0.25276505947113037,0.19350005686283112,0.22009649872779846
in,0.30808621644973755,0.2580665349960327,0.15814054012298584,0.4954058527946472,0.21287982165813446,0.6662389636039734,0.18815438449382782,0.4322226941585541,0.6662389636039734,0.22362500429153442,0.23924663662910461,0.45010748505592346,0.2753349542617798,0.20430970191955566
march,0.20529508590698242,0.19113723933696747,0.13850359618663788,0.25804370641708374,0.15925322473049164,0.2680487632751465,0.07572099566459656,0.2775171995162964,0.2680487632751465,0.21858181059360504,0.20897255837917328,0.2274535447359085,0.2583886384963989,0.2802562415599823
2013,-0.3886653184890747,-0.38646581768989563,-0.3042789399623871,-0.31428804993629456,-0.31280070543289185,-0.38509321212768555,-0.20855377614498138,-0.2664349377155304,-0.38509321212768555,-0.1851155161857605,-0.18085694313049316,-0.4248543977737427,-0.1399930715560913,-0.2969330847263336
",",0.3087472915649414,0.29706671833992004,0.144033744931221,0.6633074283599854,0.2240353375673294,0.4933079481124878,0.1459747552871704,0.4464869201183319,0.4933079481124878,0.22599565982818604,0.21265573799610138,0.44245919585227966,0.3283594250679016,0.31091248989105225
the,0.42745697498321533,0.3635469079017639,0.2955571711063385,0.5171257257461548,0.25265660881996155,1.0,0.23312553763389587,0.4739971458911896,1.0,0.28415048122406006,0.2852855324745178,0.535392165184021,0.2704800069332123,0.22068053483963013
secretary,0.14278742671012878,0.14195680618286133,0.13144555687904358,0.2080061286687851,0.13125814497470856,0.23160062730312347,0.13615953922271729,0.20553922653198242,0.23160062730312347,0.12351767718791962,0.22534379363059998,0.17736056447029114,0.15678495168685913,0.10113837569952011
of,0.33290785551071167,0.2473582625389099,0.20923924446105957,0.5116966962814331,0.23675619065761566,0.733189046382904,0.21524682641029358,0.4185989499092102,0.733189046382904,0.23570318520069122,0.2742128372192383,0.41548454761505127,0.23473061621189117,0.1826142966747284
the,0.42745697498321533,0.3635469079017639,0.2955571711063385,0.5171257257461548,0.25265660881996155,1.0,0.23312553763389587,0.4739971458911896,1.0,0.28415048122406006,0.2852855324745178,0.535392165184021,0.2704800069332123,0.22068053483963013
ministry,0.25128573179244995,0.19163769483566284,0.2195393294095993,0.2559942901134491,0.16908413171768188,0.23817597329616547,0.25300362706184387,0.2517104148864746,0.23817597329616547,0.11566952615976334,0.26656389236450195,0.21453896164894104,0.2239111065864563,0.18168897926807404
of,0.33290785551071167,0.2473582625389099,0.20923924446105957,0.5116966962814331,0.23675619065761566,0.733189046382904,0.21524682641029358,0.4185989499092102,0.733189046382904,0.23570318520069122,0.2742128372192383,0.41548454761505127,0.23473061621189117,0.1826142966747284
planning,0.2823503315448761,0.2720645070075989,0.2966473698616028,0.3125394880771637,0.18101076781749725,0.3046698570251465,0.24280397593975067,0.3183043301105499,0.3046698570251465,0.20948539674282074,0.5407745838165283,0.3211837708950043,0.28949254751205444,0.1869431883096695
",",0.3087472915649414,0.29706671833992004,0.144033744931221,0.6633074283599854,0.2240353375673294,0.4933079481124878,0.1459747552871704,0.4464869201183319,0.4933079481124878,0.22599565982818604,0.21265573799610138,0.44245919585227966,0.3283594250679016,0.31091248989105225
national,0.16882304847240448,0.11895865947008133,0.20779402554035187,0.2608908712863922,0.1878359317779541,0.32739606499671936,0.1505059450864792,0.36267757415771484,0.32739606499671936,0.1697108894586563,0.15185852348804474,0.21067756414413452,0.10407687723636627,0.15643028914928436
development,0.19014155864715576,0.22059494256973267,0.2714272737503052,0.26069340109825134,0.2555714547634125,0.3362044394016266,0.38624730706214905,0.28623178601264954,0.3362044394016266,0.21852299571037292,0.26520371437072754,0.27639102935791016,0.31192752718925476,0.1211358830332756
and,0.31309178471565247,0.35983073711395264,0.2938583791255951,1.0,0.290901243686676,0.5171257257461548,0.215408056974411,0.5064792633056641,0.5171257257461548,0.25631651282310486,0.26844465732574463,0.48971283435821533,0.37551814317703247,0.20544172823429108
vision,0.29409441351890564,0.251770555973053,0.26742956042289734,0.29057884216308594,0.17381761968135834,0.21418730914592743,0.16120930016040802,0.18170826137065887,0.21418730914592743,0.2003498375415802,0.20117825269699097,0.23618966341018677,0.2215045690536499,0.15763504803180695
2030,-0.08059077709913254,0.006456972565501928,-0.03547285124659538,-0.15228869020938873,-0.037486329674720764,-0.11029807478189468,-0.027116550132632256,-0.22191834449768066,-0.11029807478189468,0.20894838869571686,-0.019948633387684822,-0.12113405019044876,-0.1222856268286705,-0.0479145273566246
emphasised,0.28096944093704224,0.22534143924713135,0.3593549430370331,0.3343842923641205,0.31184864044189453,0.2592534124851227,0.3243495225906372,0.31459784507751465,0.2592534124851227,0.22550034523010254,0.25702476501464844,0.2641213536262512,0.32143786549568176,0.2444843202829361
that,0.6297725439071655,0.4857470989227295,0.4195809066295624,0.4731321930885315,0.3917232155799866,0.5473989248275757,0.30429404973983765,0.4137635827064514,0.5473989248275757,0.29577216506004333,0.3379872739315033,0.5436353087425232,0.34257015585899353,0.32716336846351624
climate,0.2854173183441162,0.16186286509037018,0.19989632070064545,0.2292918860912323,0.1874028742313385,0.2693597674369812,0.2072570025920868,0.17355333268642426,0.2693597674369812,0.1425919532775879,0.16102291643619537,0.3023298978805542,0.13826532661914825,0.19998492300510406
will,0.3510494530200958,1.0,0.43061062693595886,0.35983073711395264,0.3527059257030487,0.3635469079017639,0.23807959258556366,0.3647450804710388,0.3635469079017639,0.23734940588474274,0.28353944420814514,0.5091033577919006,0.2703714370727539,0.35046905279159546
be,0.3929833769798279,0.4925616979598999,0.42600592970848083,0.41766801476478577,0.389064759016037,0.4248143136501312,0.22349663078784943,0.3801851272583008,0.4248143136501312,0.2540651559829712,0.2215609848499298,0.4972836375236511,0.34449198842048645,0.3324260413646698
a,0.3320399522781372,0.3401327431201935,0.19042222201824188,0.3739250600337982,0.3041161596775055,0.5829201340675354,0.23768842220306396,0.44038116931915283,0.5829201340675354,0.2362375408411026,0.27156999707221985,0.45503583550453186,0.266241192817688,0.23916715383529663
central,0.17723965644836426,0.10254901647567749,0.055634964257478714,0.2465941160917282,0.20881476998329163,0.3417201042175293,0.1588805913925171,0.20646226406097412,0.3417201042175293,0.16846905648708344,0.19288207590579987,0.21511952579021454,0.13665343821048737,0.14787602424621582
issue,0.32369524240493774,0.24959681928157806,0.2964857816696167,0.19899961352348328,0.24318882822990417,0.22164808213710785,0.22230322659015656,0.2011367380619049,0.22164808213710785,0.22456499934196472,0.208904430270195,0.25523412227630615,0.29679110646247864,0.32172858715057373
in,0.30808621644973755,0.2580665349960327,0.15814054012298584,0.4954058527946472,0.21287982165813446,0.6662389636039734,0.18815438449382782,0.4322226941585541,0.6662389636039734,0.22362500429153442,0.23924663662910461,0.45010748505592346,0.2753349542617798,0.20430970191955566
the,0.42745697498321533,0.3635469079017639,0.2955571711063385,0.5171257257461548,0.25265660881996155,1.0,0.23312553763389587,0.4739971458911896,1.0,0.28415048122406006,0.2852855324745178,0.535392165184021,0.2704800069332123,0.22068053483963013
renewed,0.17414875328540802,0.22315877676010132,0.20098190009593964,0.19231681525707245,0.24470944702625275,0.3146619200706482,0.21829089522361755,0.21970967948436737,0.3146619200706482,0.16698399186134338,0.23061434924602509,0.2594389319419861,0.12189468741416931,0.1604815125465393
medium,0.09298098087310791,0.21401575207710266,0.23233787715435028,0.24663448333740234,0.15902045369148254,0.21611663699150085,0.19570045173168182,0.23395955562591553,0.21611663699150085,0.13049082458019257,0.04089144244790077,0.14374034106731415,0.18445409834384918,0.09342553466558456
term,0.25282326340675354,0.15955105423927307,0.14330682158470154,0.22272127866744995,0.20241712033748627,0.2740369141101837,0.25060686469078064,0.2766548991203308,0.2740369141101837,0.19801774621009827,0.14218908548355103,0.3310292959213257,0.15160226821899414,0.1901002675294876
plan,0.2947953939437866,0.28353944420814514,0.3039441704750061,0.26844465732574463,0.28764715790748596,0.2852855324745178,0.22160638868808746,0.22760893404483795,0.2852855324745178,0.16704286634922028,1.0,0.36421895027160645,0.2877916693687439,0.1961054503917694
that,0.6297725439071655,0.4857470989227295,0.4195809066295624,0.4731321930885315,0.3917232155799866,0.5473989248275757,0.30429404973983765,0.4137635827064514,0.5473989248275757,0.29577216506004333,0.3379872739315033,0.5436353087425232,0.34257015585899353,0.32716336846351624
will,0.3510494530200958,1.0,0.43061062693595886,0.35983073711395264,0.3527059257030487,0.3635469079017639,0.23807959258556366,0.3647450804710388,0.3635469079017639,0.23734940588474274,0.28353944420814514,0.5091033577919006,0.2703714370727539,0.35046905279159546
be,0.3929833769798279,0.4925616979598999,0.42600592970848083,0.41766801476478577,0.389064759016037,0.4248143136501312,0.22349663078784943,0.3801851272583008,0.4248143136501312,0.2540651559829712,0.2215609848499298,0.4972836375236511,0.34449198842048645,0.3324260413646698
launched,0.1668553501367569,0.1767216920852661,0.11639710515737534,0.15431661903858185,0.18521545827388763,0.2547066807746887,0.16635888814926147,0.19341714680194855,0.2547066807746887,0.13623587787151337,0.22939790785312653,0.18913504481315613,0.11299928277730942,0.1803835779428482
in,0.30808621644973755,0.2580665349960327,0.15814054012298584,0.4954058527946472,0.21287982165813446,0.6662389636039734,0.18815438449382782,0.4322226941585541,0.6662389636039734,0.22362500429153442,0.23924663662910461,0.45010748505592346,0.2753349542617798,0.20430970191955566
the,0.42745697498321533,0.3635469079017639,0.2955571711063385,0.5171257257461548,0.25265660881996155,1.0,0.23312553763389587,0.4739971458911896,1.0,0.28415048122406006,0.2852855324745178,0.535392165184021,0.2704800069332123,0.22068053483963013
coming,0.42659226059913635,0.3631154000759125,0.2328675240278244,0.3707200884819031,0.23405398428440094,0.4306776821613312,0.12868426740169525,0.2819928526878357,0.4306776821613312,0.1626461148262024,0.18853548169136047,0.37835928797721863,0.2170323133468628,0.2504907250404358
