,who,did,warsaw,serve,as,the,seat,for,in,1529,?
in,0.2792111933231354,0.2593238651752472,0.22642600536346436,0.20702329277992249,0.3887844979763031,0.6662389636039734,0.2778983414173126,0.4322226941585541,1.0,0.24987466633319855,0.20430970191955566
1529,0.17991788685321808,0.12269923090934753,0.2872598171234131,0.018634580075740814,0.08375700563192368,0.17264190316200256,0.1586083471775055,0.12755540013313293,0.24987466633319855,1.0000001192092896,0.17319193482398987
",",0.3365725874900818,0.3015086054801941,0.25300899147987366,0.2385157197713852,0.48816442489624023,0.4933079481124878,0.18137462437152863,0.4464869201183319,0.5201468467712402,0.3111608326435089,0.31091248989105225
warsaw,0.16496863961219788,0.1939365565776825,1.0,0.11940795928239822,0.14492812752723694,0.23137180507183075,0.14837482571601868,0.1427849680185318,0.22642600536346436,0.2872598171234131,0.09769917279481888
for,0.37110671401023865,0.318512886762619,0.1427849680185318,0.36519864201545715,0.44774648547172546,0.4739971458911896,0.1597914844751358,0.9999999403953552,0.4322226941585541,0.12755540013313293,0.264628142118454
the,0.3733934462070465,0.34736719727516174,0.23137180507183075,0.2749462425708771,0.48381632566452026,1.0,0.24530775845050812,0.4739971458911896,0.6662389636039734,0.17264190316200256,0.22068053483963013
first,0.39065709710121155,0.33691170811653137,0.19408388435840607,0.2588934600353241,0.33842000365257263,0.49448907375335693,0.20775261521339417,0.3800288736820221,0.4127444326877594,0.1828097105026245,0.18701928853988647
time,0.36634087562561035,0.3567926585674286,0.1637357622385025,0.24802979826927185,0.3239102065563202,0.43061500787734985,0.13581159710884094,0.3992156386375427,0.3431483507156372,0.18897484242916107,0.27391523122787476
became,0.2624726891517639,0.3632316589355469,0.1935342699289322,0.24225249886512756,0.3482101261615753,0.36325156688690186,0.21768057346343994,0.3017078936100006,0.31047213077545166,0.26029977202415466,0.11374033987522125
the,0.3733934462070465,0.34736719727516174,0.23137180507183075,0.2749462425708771,0.48381632566452026,1.0,0.24530775845050812,0.4739971458911896,0.6662389636039734,0.17264190316200256,0.22068053483963013
seat,0.1454339176416397,0.1550004780292511,0.14837482571601868,0.1944485306739807,0.1903270035982132,0.24530775845050812,1.0,0.1597914844751358,0.2778983414173126,0.1586083471775055,0.06630133837461472
of,0.2827862501144409,0.2513895630836487,0.19253842532634735,0.2656401991844177,0.3886612355709076,0.733189046382904,0.2283020317554474,0.4185989499092102,0.5696388483047485,0.1614161878824234,0.1826142966747284
the,0.3733934462070465,0.34736719727516174,0.23137180507183075,0.2749462425708771,0.48381632566452026,1.0,0.24530775845050812,0.4739971458911896,0.6662389636039734,0.17264190316200256,0.22068053483963013
general,0.2461782991886139,0.19499315321445465,0.13967229425907135,0.2238321602344513,0.250458300113678,0.28634732961654663,0.18721497058868408,0.23497237265110016,0.259066641330719,0.1514294445514679,0.1972234547138214
sejm,0.2577948570251465,0.20954789221286774,0.43220189213752747,0.27894699573516846,0.1856904774904251,0.3060725927352905,0.2672843933105469,0.18089665472507477,0.2258434146642685,0.28607839345932007,0.13091540336608887
",",0.3365725874900818,0.3015086054801941,0.25300899147987366,0.2385157197713852,0.48816442489624023,0.4933079481124878,0.18137462437152863,0.4464869201183319,0.5201468467712402,0.3111608326435089,0.31091248989105225
permanent,0.25845974683761597,0.17201969027519226,0.17904946208000183,0.2821464240550995,0.2529405653476715,0.34165191650390625,0.21098680794239044,0.3345854878425598,0.25959497690200806,0.12190229445695877,0.14813289046287537
from,0.27839982509613037,0.20248863101005554,0.2396499514579773,0.17045757174491882,0.3251767158508301,0.40150508284568787,0.17141884565353394,0.314039945602417,0.4274188280105591,0.14255085587501526,0.19969791173934937
1569,0.05257028341293335,0.20153585076332092,0.14499592781066895,0.054428309202194214,0.027289582416415215,0.050744492560625076,0.014046534895896912,0.07340490072965622,0.024910273030400276,0.07799843698740005,-0.07669907808303833
.,0.3541337847709656,0.35288307070732117,0.26825499534606934,0.26939791440963745,0.515582263469696,0.5934505462646484,0.20119667053222656,0.4726039469242096,0.5591574311256409,0.2701422870159149,0.4130953550338745
