,what,are,the,three,sectors,of,construction,?
in,0.30808621644973755,0.3841303884983063,0.6662389636039734,0.34828072786331177,0.22858920693397522,0.5696388483047485,0.3031303882598877,0.20430970191955566
general,0.24928055703639984,0.15219135582447052,0.28634732961654663,0.17967188358306885,0.21596910059452057,0.28352999687194824,0.12206348776817322,0.1972234547138214
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.3347506821155548,0.22403916716575623,0.4946078956127167,0.23704268038272858,0.31091248989105225
there,0.35085538029670715,0.5433560013771057,0.47025805711746216,0.3531675636768341,0.2805890440940857,0.44397735595703125,0.22777880728244781,0.29405656456947327
are,0.29724663496017456,1.0,0.40399202704429626,0.38895705342292786,0.3162863254547119,0.39081433415412903,0.18089833855628967,0.24591213464736938
three,0.24888746440410614,0.38895705342292786,0.43452659249305725,1.0,0.2709445059299469,0.3844621181488037,0.15471899509429932,0.20928427577018738
sectors,0.2103491723537445,0.3162863254547119,0.33230820298194885,0.2709445059299469,1.0,0.30364930629730225,0.3349110782146454,0.08638603240251541
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.3844621181488037,0.30364930629730225,1.0,0.2815735340118408,0.1826142966747284
construction,0.20329850912094116,0.18089833855628967,0.2671978175640106,0.15471899509429932,0.3349110782146454,0.2815735340118408,1.0,0.13494056463241577
:,-0.12022944539785385,-0.1189703419804573,-0.03403344005346298,0.07388566434383392,-0.03945659101009369,-0.08807745575904846,-0.0967889204621315,-0.07156077772378922
buildings,0.17147983610630035,0.27261707186698914,0.25566717982292175,0.19381128251552582,0.3288821578025818,0.2829168736934662,0.47569942474365234,0.11192528158426285
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.3347506821155548,0.22403916716575623,0.4946078956127167,0.23704268038272858,0.31091248989105225
infrastructure,0.23299327492713928,0.22093160450458527,0.255354642868042,0.13442346453666687,0.46230295300483704,0.27721908688545227,0.5223988890647888,0.15828795731067657
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.3826501965522766,0.2828160226345062,0.5116966962814331,0.22762417793273926,0.20544172823429108
industrial,0.16054853796958923,0.1844613403081894,0.30435431003570557,0.16769523918628693,0.435871958732605,0.3120400011539459,0.3859542906284332,0.08039500564336777
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.34968629479408264,0.18095630407333374,0.5352458953857422,0.23682771623134613,0.4130953550338745
