,what,happened,to,the,rate,of,deforestation,in,the,amazon,region,of,brazil,between,2004,and,2014,?
although,0.24844598770141602,0.23464198410511017,0.4176313281059265,0.3265823423862457,0.15540750324726105,0.3024747669696808,0.24976295232772827,0.28763338923454285,0.3265823423862457,0.1271216869354248,0.1751248687505722,0.3024747669696808,0.095819391310215,0.25702881813049316,-0.19578129053115845,0.334905743598938,-0.025223230943083763,0.15541206300258636
deforestation,0.22733289003372192,0.2674374580383301,0.31015700101852417,0.31742316484451294,0.40045663714408875,0.31609025597572327,1.0000001192092896,0.28902751207351685,0.31742316484451294,0.28994330763816833,0.25517451763153076,0.31609025597572327,0.2846415042877197,0.23949360847473145,-0.29347124695777893,0.3251821994781494,0.018946269527077675,0.13288208842277527
has,0.20338068902492523,0.2525435984134674,0.3619994819164276,0.4177538752555847,0.18859195709228516,0.3909035325050354,0.25894615054130554,0.4173259735107422,0.4177538752555847,0.1779293268918991,0.18160095810890198,0.3909035325050354,0.2137143909931183,0.2653839886188507,-0.21414001286029816,0.43716782331466675,0.08333045244216919,0.15994466841220856
declined,0.21339869499206543,0.27715355157852173,0.2757633328437805,0.2764727771282196,0.22403110563755035,0.205408975481987,0.19538401067256927,0.25098711252212524,0.2764727771282196,0.20674890279769897,0.09411098062992096,0.205408975481987,0.18602995574474335,0.03924611955881119,-0.1484064906835556,0.284045547246933,-0.015903623774647713,0.17974776029586792
significantly,0.2746123671531677,0.17789877951145172,0.33877497911453247,0.3313288986682892,0.32589995861053467,0.2703875005245209,0.3494155704975128,0.26986899971961975,0.3313288986682892,0.17066381871700287,0.20512382686138153,0.2703875005245209,0.0913226306438446,0.22538810968399048,-0.2709226608276367,0.3424808979034424,-0.018537936732172966,0.1823679804801941
in,0.30808621644973755,0.3302023410797119,0.45010748505592346,0.6662389636039734,0.24951417744159698,0.5696388483047485,0.28902751207351685,1.0,0.6662389636039734,0.12227833271026611,0.3524819314479828,0.5696388483047485,0.23529648780822754,0.41100412607192993,-0.20274123549461365,0.4954058527946472,0.13996225595474243,0.20430970191955566
the,0.42745697498321533,0.3589572608470917,0.535392165184021,1.0,0.24881242215633392,0.733189046382904,0.31742316484451294,0.6662389636039734,1.0,0.260541707277298,0.35020557045936584,0.733189046382904,0.21643289923667908,0.39067012071609497,-0.2467794269323349,0.5171257257461548,0.059490643441677094,0.22068053483963013
brazilian,0.1278308928012848,0.08490671217441559,0.09528551250696182,0.16921663284301758,0.16878606379032135,0.16731049120426178,0.22298701107501984,0.1531604379415512,0.16921663284301758,0.33175376057624817,0.15657545626163483,0.16731049120426178,0.7287834882736206,0.10881972312927246,0.0963883176445961,0.21969257295131683,0.06133206933736801,0.13831064105033875
amazon,0.16355936229228973,0.11363272368907928,0.17033490538597107,0.260541707277298,0.13058526813983917,0.20143137872219086,0.28994330763816833,0.12227833271026611,0.260541707277298,1.0000001192092896,0.18148772418498993,0.20143137872219086,0.47757160663604736,0.12149064987897873,-0.14344336092472076,0.23464977741241455,0.00830580573529005,0.18144656717777252
between,0.2462156116962433,0.2955036163330078,0.3639189600944519,0.39067012071609497,0.1417490541934967,0.3737983703613281,0.23949360847473145,0.41100412607192993,0.39067012071609497,0.12149064987897873,0.1942082941532135,0.3737983703613281,0.1458589732646942,0.9999999403953552,-0.2173219621181488,0.40645647048950195,0.009617491625249386,0.12887074053287506
2004,-0.2636275589466095,-0.2608599066734314,-0.3218703269958496,-0.2467794269323349,-0.2380683422088623,-0.21980851888656616,-0.29347124695777893,-0.20274123549461365,-0.2467794269323349,-0.14344336092472076,-0.20690703392028809,-0.21980851888656616,-0.03883945941925049,-0.2173219621181488,1.0000001192092896,-0.1820128858089447,0.1630650907754898,-0.15923042595386505
and,0.31309178471565247,0.22602374851703644,0.48971283435821533,0.5171257257461548,0.17405889928340912,0.5116966962814331,0.3251821994781494,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.2372262328863144,0.5116966962814331,0.24266564846038818,0.40645647048950195,-0.1820128858089447,1.0,0.14333748817443848,0.20544172823429108
2014,0.041483160108327866,0.010745334438979626,0.016496146097779274,0.059490643441677094,-0.06075898930430412,0.0493064783513546,0.018946269527077675,0.13996225595474243,0.059490643441677094,0.00830580573529005,0.045713528990745544,0.0493064783513546,-0.037067003548145294,0.009617491625249386,0.1630650907754898,0.14333748817443848,1.0000001192092896,0.058127544820308685
",",0.3087472915649414,0.3230119049549103,0.44245919585227966,0.4933079481124878,0.18156792223453522,0.4946078956127167,0.30250072479248047,0.5201468467712402,0.4933079481124878,0.2214922308921814,0.2119160145521164,0.4946078956127167,0.2456517517566681,0.27714940905570984,-0.17696323990821838,0.6633074283599854,0.19350162148475647,0.31091248989105225
there,0.35085538029670715,0.3844650685787201,0.40669289231300354,0.47025805711746216,0.1937398463487625,0.44397735595703125,0.3334212303161621,0.5361666083335876,0.47025805711746216,0.1301986575126648,0.24659839272499084,0.44397735595703125,0.10307890176773071,0.37209540605545044,-0.33868408203125,0.4242868423461914,-0.043540820479393005,0.29405656456947327
has,0.20338068902492523,0.2525435984134674,0.3619994819164276,0.4177538752555847,0.18859195709228516,0.3909035325050354,0.25894615054130554,0.4173259735107422,0.4177538752555847,0.1779293268918991,0.18160095810890198,0.3909035325050354,0.2137143909931183,0.2653839886188507,-0.21414001286029816,0.43716782331466675,0.08333045244216919,0.15994466841220856
been,0.2567804455757141,0.36453282833099365,0.34945759177207947,0.3563927710056305,0.19370512664318085,0.31685134768486023,0.2641941010951996,0.3515113592147827,0.3563927710056305,0.13283225893974304,0.19947682321071625,0.31685134768486023,0.17548801004886627,0.16697090864181519,-0.19996030628681183,0.3424558639526367,-0.0019778464920818806,0.24354910850524902
an,0.2821882665157318,0.22750021517276764,0.3138085603713989,0.4207492768764496,0.16143523156642914,0.32280945777893066,0.20341645181179047,0.2605783939361572,0.4207492768764496,0.16257908940315247,0.13773460686206818,0.32280945777893066,0.0887606292963028,0.18003802001476288,-0.14993198215961456,0.2838519215583801,0.12619328498840332,0.19793890416622162
increase,0.21153631806373596,0.18933749198913574,0.3378143310546875,0.32049667835235596,0.5056966543197632,0.3156060576438904,0.3802258372306824,0.25893163681030273,0.32049667835235596,0.07844600826501846,0.1939399689435959,0.3156060576438904,0.0999937653541565,0.2656986117362976,-0.2380036562681198,0.2751924991607666,-0.040778495371341705,0.11119163036346436
to,0.455847829580307,0.2299996316432953,1.0,0.535392165184021,0.28584644198417664,0.41548454761505127,0.31015700101852417,0.45010748505592346,0.535392165184021,0.17033490538597107,0.24118299782276154,0.41548454761505127,0.15319404006004333,0.3639189600944519,-0.3218703269958496,0.48971283435821533,0.016496146097779274,0.29463258385658264
the,0.42745697498321533,0.3589572608470917,0.535392165184021,1.0,0.24881242215633392,0.733189046382904,0.31742316484451294,0.6662389636039734,1.0,0.260541707277298,0.35020557045936584,0.733189046382904,0.21643289923667908,0.39067012071609497,-0.2467794269323349,0.5171257257461548,0.059490643441677094,0.22068053483963013
present,0.30940163135528564,0.2275688350200653,0.2453051209449768,0.2829846143722534,0.12882466614246368,0.3116828501224518,0.20074686408042908,0.23905439674854279,0.2829846143722534,0.08765508979558945,0.20113670825958252,0.3116828501224518,0.12872084975242615,0.11493237316608429,-0.1816045641899109,0.2790124714374542,0.06287626922130585,0.21759982407093048
day,0.2990210950374603,0.3301590383052826,0.21753256022930145,0.3062323033809662,0.17773637175559998,0.2934032380580902,0.18401917815208435,0.2671984136104584,0.3062323033809662,0.09717606753110886,0.1185954362154007,0.2934032380580902,0.18259908258914948,0.15399788320064545,-0.1122908741235733,0.26673999428749084,0.08222129195928574,0.2141837179660797
.,0.3567904531955719,0.29012542963027954,0.4645031690597534,0.5934505462646484,0.2418757975101471,0.5352458953857422,0.27030009031295776,0.5591574311256409,0.5934505462646484,0.262887567281723,0.2506107687950134,0.5352458953857422,0.26984333992004395,0.30295518040657043,-0.23090453445911407,0.588965117931366,0.14509223401546478,0.4130953550338745
