,in,what,year,was,the,40th,anniversary,of,abc,'s,founding,?
in,1.0,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.6662389636039734,0.13990257680416107,0.25491592288017273,0.5696388483047485,0.1697147786617279,-0.037580832839012146,0.2295561581850052,0.20430970191955566
1983,-0.00395767018198967,0.025786560028791428,-0.1255417764186859,-0.05299026519060135,-0.019107989966869354,-0.020788928493857384,-0.024536024779081345,0.0639224499464035,0.12831369042396545,0.13286671042442322,0.05079333856701851,0.09926492720842361
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.45456063747406006,0.4933079481124878,0.12832628190517426,0.20396199822425842,0.4946078956127167,0.2097204476594925,-0.0016132977325469255,0.2779809832572937,0.31091248989105225
for,0.4322226941585541,0.3017193675041199,0.29294124245643616,0.3863949179649353,0.4739971458911896,0.18838761746883392,0.24768374860286713,0.4185989499092102,0.22510288655757904,-0.07241261005401611,0.2556380331516266,0.264628142118454
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.23304851353168488,0.29318708181381226,0.733189046382904,0.2068762183189392,-0.01540423184633255,0.34138360619544983,0.22068053483963013
40th,0.13990257680416107,0.18865251541137695,0.2046736776828766,0.16539856791496277,0.23304851353168488,1.0,0.24856117367744446,0.1560511589050293,0.07607007771730423,0.10789064317941666,0.10152225196361542,0.0836496576666832
anniversary,0.25491592288017273,0.15616674721240997,0.37422534823417664,0.28924626111984253,0.29318708181381226,0.24856117367744446,1.0,0.2393128126859665,0.22889697551727295,-0.008144883438944817,0.33808037638664246,0.1981802135705948
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.4069072902202606,0.733189046382904,0.1560511589050293,0.2393128126859665,1.0,0.14607268571853638,-0.03817026689648628,0.3665546774864197,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.23304851353168488,0.29318708181381226,0.733189046382904,0.2068762183189392,-0.01540423184633255,0.34138360619544983,0.22068053483963013
network,0.19496823847293854,0.16917307674884796,0.1478661298751831,0.1994880586862564,0.27187061309814453,0.1436644345521927,0.07616539299488068,0.21800683438777924,0.4295894205570221,0.07819218933582306,0.16369767487049103,0.17853789031505585
's,-0.037580832839012146,0.02692362666130066,-0.04087831452488899,0.008974763564765453,-0.01540423184633255,0.10789064317941666,-0.008144883438944817,-0.03817026689648628,0.06670809537172318,0.9999999403953552,-0.036592718213796616,-0.023395681753754616
founding,0.2295561581850052,0.2093554586172104,0.2531788945198059,0.36926978826522827,0.34138360619544983,0.10152225196361542,0.33808037638664246,0.3665546774864197,0.16099371016025543,-0.036592718213796616,1.0,0.1416333168745041
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.45456063747406006,0.4933079481124878,0.12832628190517426,0.20396199822425842,0.4946078956127167,0.2097204476594925,-0.0016132977325469255,0.2779809832572937,0.31091248989105225
id,0.12143824249505997,0.2237282544374466,0.13658328354358673,0.12913881242275238,0.18612393736839294,0.07003068178892136,0.14167292416095734,0.1311950981616974,0.18392552435398102,-0.005370249506086111,0.16500595211982727,0.3476811349391937
sequences,0.16232600808143616,0.22366639971733093,0.11758852750062943,0.12950080633163452,0.2234572321176529,0.11817245930433273,0.1423572450876236,0.16947661340236664,0.25628817081451416,0.00963979959487915,0.11911889165639877,0.1885564625263214
had,0.385026752948761,0.23849567770957947,0.29678046703338623,0.5927209258079529,0.3875846862792969,0.06664802134037018,0.25495320558547974,0.37755560874938965,0.18355661630630493,-0.004401352722197771,0.23343436419963837,0.20728366076946259
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.23304851353168488,0.29318708181381226,0.733189046382904,0.2068762183189392,-0.01540423184633255,0.34138360619544983,0.22068053483963013
logo,0.1848117560148239,0.21781428158283234,0.1291922628879547,0.17813098430633545,0.2806010842323303,0.1170416995882988,0.26765260100364685,0.1528109908103943,0.23574566841125488,0.036982785910367966,0.2205388844013214,0.23347119987010956
appear,0.2517908811569214,0.2962318956851959,0.21632981300354004,0.17049376666545868,0.3581200838088989,0.14090462028980255,0.12398584187030792,0.2246912121772766,0.20413027703762054,-0.031298309564590454,0.08634401857852936,0.22635367512702942
in,1.0,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.6662389636039734,0.13990257680416107,0.25491592288017273,0.5696388483047485,0.1697147786617279,-0.037580832839012146,0.2295561581850052,0.20430970191955566
