,what,dilemma,is,a,good,example,of,moral,civil,disobedience,?
the,0.42745697498321533,0.16333816945552826,0.5823672413825989,0.5829201340675354,0.2735973596572876,0.3755223751068115,0.733189046382904,0.20571894943714142,0.2477465271949768,0.30963727831840515,0.22068053483963013
fully,0.3561125099658966,0.12302487343549728,0.2399323284626007,0.25668543577194214,0.22703653573989868,0.22438140213489532,0.1846403181552887,0.1981685757637024,0.14737801253795624,0.22000499069690704,0.2089291661977768
informed,0.36891627311706543,0.12836354970932007,0.14026238024234772,0.18738342821598053,0.24970869719982147,0.12984269857406616,0.2258213460445404,0.2663678824901581,0.17684096097946167,0.29411306977272034,0.24280300736427307
jury,0.25320306420326233,0.19463758170604706,0.21975070238113403,0.2241211086511612,0.1679391711950302,0.14955464005470276,0.20099924504756927,0.21380877494812012,0.2222909778356552,0.3662663698196411,0.2145031988620758
association,0.13908448815345764,0.09873415529727936,0.23086927831172943,0.22860166430473328,0.18877658247947693,0.18910451233386993,0.2501356303691864,0.14232110977172852,0.09602737426757812,0.18201547861099243,0.1542656421661377
's,0.02692362666130066,0.05524894595146179,0.02396530658006668,0.04866964742541313,0.09279277920722961,-0.045060764998197556,-0.03817026689648628,-0.00508872838690877,-0.06354409456253052,0.027719656005501747,-0.023395681753754616
publication,0.2533935606479645,0.19951903820037842,0.16370609402656555,0.1690656691789627,0.1546616107225418,0.21172252297401428,0.20938149094581604,0.2850479781627655,0.19493559002876282,0.26670077443122864,0.2191428393125534
``,0.008517155423760414,0.05130206048488617,0.058766357600688934,0.07272057235240936,0.008140034973621368,0.17130611836910248,0.06780257821083069,0.025218531489372253,0.06784805655479431,0.06214885041117668,0.0685480609536171
a,0.3320399522781372,0.28605422377586365,0.658733606338501,1.0,0.3146486282348633,0.40234753489494324,0.5052502155303955,0.2165852189064026,0.21693918108940125,0.25352153182029724,0.23916715383529663
primer,0.18677477538585663,0.31632471084594727,0.15776768326759338,0.23778769373893738,0.18072666227817535,0.14478278160095215,0.1419251263141632,0.11819050461053848,0.08727747946977615,0.15877573192119598,0.12831363081932068
for,0.3017193675041199,0.1871740072965622,0.43268078565597534,0.44038116931915283,0.39067649841308594,0.45665353536605835,0.4185989499092102,0.2581615149974823,0.1685788929462433,0.23370130360126495,0.264628142118454
prospective,0.22635701298713684,0.1952710598707199,0.19989445805549622,0.2663448750972748,0.3384072780609131,0.20638112723827362,0.2704830765724182,0.20607422292232513,0.12424463778734207,0.16295796632766724,0.22671756148338318
jurors,0.33011484146118164,0.2326916754245758,0.22157582640647888,0.2633202075958252,0.2430492490530014,0.2099045068025589,0.24754011631011963,0.3174298405647278,0.2632251977920532,0.420086145401001,0.2317344844341278
'',0.08143015950918198,0.041289959102869034,0.0793738141655922,0.04890415817499161,-0.00393895898014307,-0.021546287462115288,0.13035868108272552,0.0011679017916321754,-0.062313709408044815,0.003403886454179883,0.018684765323996544
notes,0.19507816433906555,0.22454366087913513,0.18739700317382812,0.20641949772834778,0.15831947326660156,0.2037847936153412,0.13280174136161804,0.16800862550735474,0.05380991846323013,0.11750734597444534,0.23920853435993195
",",0.3087472915649414,0.2720950245857239,0.4691906273365021,0.427140474319458,0.3217065632343292,0.3094974756240845,0.4946078956127167,0.1717042773962021,0.24795588850975037,0.2878543734550476,0.31091248989105225
``,0.008517155423760414,0.05130206048488617,0.058766357600688934,0.07272057235240936,0.008140034973621368,0.17130611836910248,0.06780257821083069,0.025218531489372253,0.06784805655479431,0.06214885041117668,0.0685480609536171
think,0.5781125426292419,0.1838485449552536,0.33370211720466614,0.35850703716278076,0.5067530870437622,0.3747699558734894,0.2625778615474701,0.3188837170600891,0.18692156672477722,0.24823060631752014,0.5312306880950928
of,0.33290785551071167,0.16749611496925354,0.4854315221309662,0.5052502155303955,0.2696770131587982,0.3570667505264282,1.0,0.21832716464996338,0.24698495864868164,0.31932318210601807,0.1826142966747284
the,0.42745697498321533,0.16333816945552826,0.5823672413825989,0.5829201340675354,0.2735973596572876,0.3755223751068115,0.733189046382904,0.20571894943714142,0.2477465271949768,0.30963727831840515,0.22068053483963013
dilemma,0.2537820637226105,1.0000001192092896,0.2326533943414688,0.28605422377586365,0.20885655283927917,0.2692745327949524,0.16749611496925354,0.2993481159210205,0.12359052151441574,0.2502240240573883,0.16066309809684753
faced,0.1428881287574768,0.17595772445201874,0.181329607963562,0.22509683668613434,0.1458403617143631,0.15898288786411285,0.2725057005882263,0.17323753237724304,0.18363572657108307,0.23864339292049408,0.12312540411949158
by,0.2455483376979828,0.14557254314422607,0.3899846076965332,0.32094135880470276,0.18340454995632172,0.29030951857566833,0.3646814823150635,0.13548806309700012,0.15479567646980286,0.2563513219356537,0.17966607213020325
german,0.1960553526878357,0.10613525658845901,0.19231973588466644,0.23789440095424652,0.1457938551902771,0.13870514929294586,0.2122138887643814,0.13732995092868805,0.15021662414073944,0.19454838335514069,0.13978645205497742
