,what,is,the,safair,rally,known,as,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.27485471963882446,0.16509126126766205,0.32641831040382385,0.3887844979763031,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.3183923065662384,0.2156708985567093,0.3624623417854309,0.48381632566452026,0.22068053483963013
motor,0.18952611088752747,0.21910050511360168,0.26024484634399414,0.15309299528598785,0.33390381932258606,0.11829490214586258,0.1736621856689453,0.0637441948056221
rallying,0.309919148683548,0.16018536686897278,0.3257666528224945,0.24188637733459473,0.6972382068634033,0.17379051446914673,0.24023449420928955,0.2258070707321167
arena,0.16874027252197266,0.14750270545482635,0.1880815625190735,0.21956047415733337,0.18989823758602142,0.16619037091732025,0.15311913192272186,0.13587144017219543
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.37707072496414185,0.19103999435901642,0.3604377806186676,0.48816442489624023,0.31091248989105225
kenya,0.18398970365524292,0.17591087520122528,0.21657514572143555,0.32357457280158997,0.23124153912067413,0.15456128120422363,0.18995212018489838,0.17197901010513306
is,0.28837618231773376,1.0,0.5823672413825989,0.2941114902496338,0.12269892543554306,0.41921812295913696,0.43216490745544434,0.22961433231830597
home,0.1608789712190628,0.22316986322402954,0.28978195786476135,0.2885836362838745,0.0736870989203453,0.14080116152763367,0.22556112706661224,0.0757145956158638
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27674058079719543,0.17627596855163574,0.14337651431560516,0.42092081904411316,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,1.0,0.3183923065662384,0.2156708985567093,0.3624623417854309,0.48381632566452026,0.22068053483963013
world,0.21669597923755646,0.24458536505699158,0.33604270219802856,0.30388903617858887,0.2683379352092743,0.24694333970546722,0.22848254442214966,0.17579582333564758
famous,0.1616666167974472,0.26248517632484436,0.28616565465927124,0.24514278769493103,0.16400648653507233,0.5231455564498901,0.21419654786586761,0.10379006713628769
safari,0.2085387110710144,0.15173347294330597,0.2242206633090973,0.6466325521469116,0.16311155259609222,0.12319420278072357,0.18273736536502838,0.2089787870645523
rally,0.13473176956176758,0.12269892543554306,0.2156708985567093,0.18736714124679565,0.9999999403953552,0.1252383291721344,0.15463002026081085,0.14344990253448486
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.37707072496414185,0.19103999435901642,0.3604377806186676,0.48816442489624023,0.31091248989105225
commonly,0.18122613430023193,0.3994327187538147,0.2974449694156647,0.17604312300682068,0.15287566184997559,0.4381987154483795,0.3544585108757019,0.13546277582645416
acknowledged,0.27519023418426514,0.13597173988819122,0.24316465854644775,0.2124171257019043,0.11249875277280807,0.22058935463428497,0.32190608978271484,0.20185135304927826
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.25594156980514526,0.15463002026081085,0.4815765619277954,1.0,0.27043893933296204
one,0.376489520072937,0.4544198513031006,0.5514441132545471,0.29229941964149475,0.24856771528720856,0.33883556723594666,0.3954789340496063,0.2673267424106598
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2811196446418762,0.1540035754442215,0.35814476013183594,0.3886612355709076,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.3183923065662384,0.2156708985567093,0.3624623417854309,0.48381632566452026,0.22068053483963013
toughest,0.26889485120773315,0.2803530991077423,0.35578852891921997,0.23451101779937744,0.2698819935321808,0.20589813590049744,0.2625504434108734,0.19111917912960052
rallies,0.1843588948249817,0.07210575044155121,0.26571857929229736,0.19787061214447021,0.5394847393035889,0.1650962233543396,0.17227840423583984,0.1580551415681839
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.27485471963882446,0.16509126126766205,0.32641831040382385,0.3887844979763031,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.3183923065662384,0.2156708985567093,0.3624623417854309,0.48381632566452026,0.22068053483963013
world,0.21669597923755646,0.24458536505699158,0.33604270219802856,0.30388903617858887,0.2683379352092743,0.24694333970546722,0.22848254442214966,0.17579582333564758
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.35042354464530945,0.1587553471326828,0.283290296792984,0.515582263469696,0.4130953550338745
