,what,is,the,french,name,for,the,rhine,?
[,0.010752761736512184,-0.06921151280403137,0.07130392640829086,-6.680169462924823e-05,-0.009093504399061203,0.10575617104768753,0.07130392640829086,0.12319914251565933,0.011015460826456547
note,0.2500276267528534,0.22927063703536987,0.255229115486145,0.14615771174430847,0.16368374228477478,0.2322545051574707,0.255229115486145,0.09906937181949615,0.2754004895687103
3,0.04473085701465607,0.1504552811384201,0.06283142417669296,0.0597805455327034,0.09124153107404709,0.04892069101333618,0.06283142417669296,0.07943644374608994,0.005975271109491587
],-0.03775298595428467,-0.02998926118016243,-0.04779602214694023,-0.00754176452755928,-0.02270379662513733,-0.023346275091171265,-0.04779602214694023,-0.016111083328723907,-0.0022520492784678936
the,0.42745697498321533,0.5823672413825989,1.0,0.2555147111415863,0.3171212375164032,0.4739971458911896,1.0,0.30735138058662415,0.22068053483963013
spelling,0.2473261058330536,0.2441502958536148,0.23768942058086395,0.14874109625816345,0.36612948775291443,0.244150772690773,0.23768942058086395,0.06541361659765244,0.23016591370105743
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.1637353003025055,0.17897967994213104,0.39140474796295166,0.4223487675189972,0.18184249103069305,0.2433311939239502
rh-,0.05994853749871254,0.10124589502811432,0.1918235421180725,0.14803646504878998,0.14333531260490417,0.060909122228622437,0.1918235421180725,0.5471546053886414,0.05741379037499428
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.22093388438224792,0.2459065467119217,0.4322226941585541,0.6662389636039734,0.24648422002792358,0.20430970191955566
english,0.25060737133026123,0.24613474309444427,0.23982001841068268,0.47204166650772095,0.27055349946022034,0.2594873905181885,0.23982001841068268,0.16806156933307648,0.23251567780971527
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.2762029767036438,0.12217257916927338,0.1584572196006775,0.30735138058662415,1.0,0.13754533231258392
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.20159029960632324,0.2851914167404175,0.44774648547172546,0.48381632566452026,0.18380387127399445,0.27043893933296204
