,what,type,of,relationships,do,enthusiastic,teachers,cause,?
enthusiastic,0.2375817894935608,0.18592312932014465,0.2379099577665329,0.23549233376979828,0.1892651468515396,0.9999999403953552,0.32480570673942566,0.18881016969680786,0.18814921379089355
teachers,0.2526462972164154,0.09933348745107651,0.27737662196159363,0.2242608666419983,0.28984060883522034,0.32480570673942566,1.0,0.11293970793485641,0.19522249698638916
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.2517375648021698,0.41111594438552856,0.13870058953762054,0.2565288841724396,0.2999303638935089,0.24591213464736938
particularly,0.33027681708335876,0.21989670395851135,0.30258041620254517,0.3038494288921356,0.21630026400089264,0.32311126589775085,0.23829640448093414,0.3191291391849518,0.2644225060939789
good,0.3916934132575989,0.1894192397594452,0.2696770131587982,0.25478485226631165,0.3668276071548462,0.39014750719070435,0.2723744511604309,0.21142712235450745,0.3187684714794159
at,0.2838611304759979,0.15147243440151215,0.42558613419532776,0.14422506093978882,0.1511090099811554,0.16802093386650085,0.24201591312885284,0.1972731053829193,0.21978627145290375
creating,0.28780505061149597,0.18645991384983063,0.29262492060661316,0.19961191713809967,0.27684876322746277,0.3144710958003998,0.20437557995319366,0.2260621190071106,0.2842518985271454
beneficial,0.3265649378299713,0.1695064902305603,0.25373950600624084,0.3166499435901642,0.3996625244617462,0.30005785822868347,0.17160841822624207,0.43487119674682617,0.3134678304195404
relations,0.184731587767601,0.05423892289400101,0.272710919380188,0.6917946338653564,0.12748964130878448,0.20991334319114685,0.2687673270702362,0.14410161972045898,0.13942402601242065
with,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.32151785492897034,0.23744353652000427,0.24811232089996338,0.17936164140701294,0.2820144593715668,0.2433311939239502
their,0.35142919421195984,0.14413684606552124,0.4329940676689148,0.29703637957572937,0.35424983501434326,0.29557761549949646,0.2814970314502716,0.2818659543991089,0.1898253709077835
students,0.2380729615688324,0.11906036734580994,0.25513339042663574,0.19040459394454956,0.23736460506916046,0.25144505500793457,0.7183375358581543,0.12793689966201782,0.18017297983169556
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.20492441952228546,0.3613996207714081,0.2363789677619934,0.24628326296806335,0.267557293176651,0.4130953550338745
