,why,did,tesla,go,to,karlovac,?
in,0.23227278888225555,0.2593238651752472,0.17097744345664978,0.22233200073242188,0.45010748505592346,0.29781967401504517,0.20430970191955566
1870,0.07092908769845963,0.15036676824092865,0.10191497206687927,0.05012982338666916,0.05929255485534668,0.0839318260550499,0.0628947839140892
",",0.2827242314815521,0.3015086054801941,0.20599327981472015,0.3043581247329712,0.44245919585227966,0.374198317527771,0.31091248989105225
tesla,0.1375875622034073,0.09757418930530548,0.9999999403953552,0.07152407616376877,0.17548894882202148,0.4267171323299408,0.10250775516033173
moved,0.21598075330257416,0.27509647607803345,0.09426514059305191,0.30781811475753784,0.2918468713760376,0.1625211089849472,0.15112607181072235
to,0.4100138247013092,0.4452643394470215,0.17548894882202148,0.384844571352005,1.0,0.2441970407962799,0.29463258385658264
karlovac,0.19632300734519958,0.20556747913360596,0.4267171323299408,0.09595329314470291,0.2441970407962799,0.9999999403953552,0.2481401413679123
",",0.2827242314815521,0.3015086054801941,0.20599327981472015,0.3043581247329712,0.44245919585227966,0.374198317527771,0.31091248989105225
to,0.4100138247013092,0.4452643394470215,0.17548894882202148,0.384844571352005,1.0,0.2441970407962799,0.29463258385658264
attend,0.17431555688381195,0.3038290739059448,0.1097576916217804,0.355017751455307,0.3481958508491516,0.19750230014324188,0.14932334423065186
school,0.13372941315174103,0.19696208834648132,0.16295383870601654,0.2376861870288849,0.24496325850486755,0.2340226173400879,0.15091250836849213
at,0.23853865265846252,0.28390252590179443,0.16552478075027466,0.2909104526042938,0.36524343490600586,0.2827455699443817,0.21978627145290375
the,0.30742117762565613,0.34736719727516174,0.1324402391910553,0.29801803827285767,0.535392165184021,0.2610740065574646,0.22068053483963013
higher,0.17308205366134644,0.17969463765621185,0.17543520033359528,0.22084170579910278,0.3279348313808441,0.16589117050170898,0.15679465234279633
real,0.2335113137960434,0.20014923810958862,0.23097385466098785,0.1386421173810959,0.2285090982913971,0.1293671429157257,0.20019613206386566
gymnasium,0.11101190000772476,0.2214101403951645,0.2515797019004822,0.22536605596542358,0.23371922969818115,0.33198240399360657,0.08908994495868683
",",0.2827242314815521,0.3015086054801941,0.20599327981472015,0.3043581247329712,0.44245919585227966,0.374198317527771,0.31091248989105225
where,0.412535160779953,0.24159270524978638,0.12761090695858002,0.3893263638019562,0.47735077142715454,0.18026313185691833,0.24793872237205505
he,0.26086166501045227,0.3292143940925598,0.12373391538858414,0.25558793544769287,0.385390967130661,0.2604384124279022,0.2089974731206894
was,0.23341619968414307,0.41399896144866943,0.16455206274986267,0.16801296174526215,0.3636345863342285,0.27228620648384094,0.18412111699581146
profoundly,0.25913435220718384,0.23192614316940308,0.13598845899105072,0.1281362920999527,0.2595096230506897,0.16638366878032684,0.21171927452087402
influenced,0.14298683404922485,0.22115233540534973,0.1082044318318367,0.11218701303005219,0.11829091608524323,0.18869061768054962,0.1310873031616211
by,0.19170543551445007,0.18574509024620056,0.16513796150684357,0.1252865046262741,0.33534231781959534,0.23859523236751556,0.17966607213020325
a,0.2667238116264343,0.2552328109741211,0.2211925983428955,0.24019409716129303,0.45503583550453186,0.22376415133476257,0.23916715383529663
math,0.23953382670879364,0.20115973055362701,0.32237258553504944,0.18409022688865662,0.23824778199195862,0.18399086594581604,0.22113515436649323
teacher,0.13404840230941772,0.21136574447155,0.18610242009162903,0.1679982990026474,0.1991342306137085,0.21693795919418335,0.1797819435596466
martin,0.0930832028388977,0.15959656238555908,0.22885408997535706,0.1320776343345642,0.1691744029521942,0.2824898362159729,0.060103293508291245
sekulić,0.17065876722335815,0.20915110409259796,0.34963494539260864,0.12590695917606354,0.23034846782684326,0.5669655799865723,0.217777281999588
.,0.32909876108169556,0.35288307070732117,0.17949827015399933,0.3313661813735962,0.4645031690597534,0.33368536829948425,0.4130953550338745
