,what,do,extremely,unequal,societies,tend,to,be,?
also,0.42747777700424194,0.36242780089378357,0.38732975721359253,0.2532709240913391,0.21143336594104767,0.28556880354881287,0.5348826050758362,0.48342031240463257,0.21848613023757935
",",0.3087472915649414,0.3283645510673523,0.25114306807518005,0.16857154667377472,0.21560031175613403,0.21972282230854034,0.44245919585227966,0.39254459738731384,0.31091248989105225
very,0.37053924798965454,0.2859450876712799,0.7278127670288086,0.25139158964157104,0.2029953896999359,0.3920595049858093,0.3902553617954254,0.4292002320289612,0.20864155888557434
unequal,0.269809365272522,0.24414481222629547,0.26303473114967346,0.9999999403953552,0.3152504861354828,0.379893958568573,0.2697896361351013,0.2881597578525543,0.13482573628425598
societies,0.21333153545856476,0.2556265592575073,0.1991671323776245,0.3152504861354828,1.0,0.31986409425735474,0.22278375923633575,0.23309670388698578,0.19051554799079895
tend,0.27988895773887634,0.37835952639579773,0.35230201482772827,0.379893958568573,0.31986409425735474,1.0,0.414838582277298,0.3734995722770691,0.19330444931983948
to,0.455847829580307,0.38876664638519287,0.32372695207595825,0.2697896361351013,0.22278375923633575,0.414838582277298,1.0,0.4972836375236511,0.29463258385658264
be,0.3929833769798279,0.36575672030448914,0.402263343334198,0.2881597578525543,0.23309670388698578,0.3734995722770691,0.4972836375236511,1.0,0.3324260413646698
politically,0.1967483013868332,0.14788326621055603,0.3052513301372528,0.27550140023231506,0.29039472341537476,0.2966785728931427,0.26632463932037354,0.32830560207366943,0.14733245968818665
and,0.31309178471565247,0.276123583316803,0.3321191668510437,0.2826397120952606,0.2787785232067108,0.35041332244873047,0.48971283435821533,0.41766801476478577,0.20544172823429108
socially,0.2431422770023346,0.21943266689777374,0.3413078784942627,0.26179492473602295,0.4388493597507477,0.3847486078739166,0.25140541791915894,0.38587772846221924,0.13515418767929077
unstable,0.21720536053180695,0.2129363864660263,0.39599594473838806,0.3074049949645996,0.18699310719966888,0.2940157353878021,0.2631596326828003,0.27484309673309326,0.12142787873744965
",",0.3087472915649414,0.3283645510673523,0.25114306807518005,0.16857154667377472,0.21560031175613403,0.21972282230854034,0.44245919585227966,0.39254459738731384,0.31091248989105225
which,0.5261979103088379,0.31153854727745056,0.4184882342815399,0.38356825709342957,0.23449945449829102,0.29863715171813965,0.5345056653022766,0.476310670375824,0.25814583897590637
is,0.28837618231773376,0.30895981192588806,0.3267810046672821,0.17976313829421997,0.15102027356624603,0.23360416293144226,0.42745086550712585,0.4819129705429077,0.22961433231830597
reflected,0.2521127760410309,0.20085999369621277,0.26337844133377075,0.30440184473991394,0.21351806819438934,0.29920321702957153,0.23165373504161835,0.28441280126571655,0.12829364836215973
in,0.30808621644973755,0.23402775824069977,0.26208269596099854,0.20445258915424347,0.18610723316669464,0.2306872308254242,0.45010748505592346,0.3481820821762085,0.20430970191955566
lower,0.20079238712787628,0.12720887362957,0.17712615430355072,0.28012049198150635,0.2074587643146515,0.14988090097904205,0.233318492770195,0.23055878281593323,0.08471795171499252
rates,0.2148645967245102,0.2004864662885666,0.24794110655784607,0.37087467312812805,0.241764634847641,0.3222092092037201,0.25232431292533875,0.27536261081695557,0.13808594644069672
of,0.33290785551071167,0.26150479912757874,0.2816111445426941,0.3257612884044647,0.20256926119327545,0.1883462369441986,0.41548454761505127,0.33904364705085754,0.1826142966747284
investment,0.21795563399791718,0.19570907950401306,0.171172633767128,0.266914963722229,0.26554805040359497,0.13622215390205383,0.2513584792613983,0.193032905459404,0.17811161279678345
and,0.31309178471565247,0.276123583316803,0.3321191668510437,0.2826397120952606,0.2787785232067108,0.35041332244873047,0.48971283435821533,0.41766801476478577,0.20544172823429108
therefore,0.4125064015388489,0.37750619649887085,0.386394202709198,0.401285320520401,0.28728967905044556,0.3875855505466461,0.49267399311065674,0.5337756276130676,0.3325358033180237
growth,0.1739405393600464,0.18957719206809998,0.24130354821681976,0.2821250855922699,0.19996069371700287,0.3093004524707794,0.2701800763607025,0.20039916038513184,0.07547862827777863
.,0.3567904531955719,0.3613996207714081,0.2966903746128082,0.2055659145116806,0.21823182702064514,0.21436026692390442,0.4645031690597534,0.4383580684661865,0.4130953550338745
'',0.08143015950918198,-0.00043653504690155387,-0.09072017669677734,0.02375035174190998,0.01145907398313284,0.017680980265140533,-0.009905828163027763,0.08835477381944656,0.018684765323996544
