,how,many,teams,has,manning,won,the,super,bowl,with,?
the,0.33890387415885925,0.4335206151008606,0.3164927661418915,0.4177538752555847,0.27058160305023193,0.29432493448257446,1.0,0.21959073841571808,0.21576224267482758,0.4223487675189972,0.22068053483963013
two,0.2499001920223236,0.5147606730461121,0.29386359453201294,0.3772575855255127,0.1973157376050949,0.24457098543643951,0.43858039379119873,0.19097526371479034,0.20622028410434723,0.4333336651325226,0.19645625352859497
teams,0.11085164546966553,0.1992911547422409,1.0,0.19200891256332397,0.2626858949661255,0.37233343720436096,0.3164927661418915,0.26333683729171753,0.2752957046031952,0.20248530805110931,0.11150168627500534
',0.18823795020580292,0.15973903238773346,0.2102613002061844,0.27390268445014954,0.16335326433181763,0.2405553013086319,0.474788099527359,0.17380782961845398,0.10706733912229538,0.2546919286251068,0.330942302942276
combined,0.2234719693660736,0.2660016119480133,0.2213655263185501,0.2526237964630127,0.11682288348674774,0.247002974152565,0.3713363707065582,0.27703261375427246,0.17284055054187775,0.340704083442688,0.17985320091247559
third,0.14508451521396637,0.12636491656303406,0.23058590292930603,0.19454029202461243,0.21480102837085724,0.28600990772247314,0.4229298532009125,0.25203296542167664,0.16511911153793335,0.25535592436790466,0.15394791960716248
down,0.26204726099967957,0.2625267207622528,0.10340336710214615,0.2167075276374817,0.15125282108783722,0.16438814997673035,0.3325848877429962,0.10878769308328629,0.11152900010347366,0.2706494629383087,0.13836295902729034
conversion,0.2233559489250183,0.20903584361076355,0.10640900582075119,0.12089471518993378,0.1929570883512497,0.0793062075972557,0.2308437079191208,0.0899902731180191,0.07691552489995956,0.21122929453849792,0.1924358606338501
percentage,0.29999586939811707,0.258291631937027,0.2541443109512329,0.21051472425460815,0.20958170294761658,0.16775232553482056,0.2736506462097168,0.1839606761932373,0.20793026685714722,0.18467122316360474,0.16088637709617615
of,0.2480744868516922,0.37253960967063904,0.27933305501937866,0.3909035325050354,0.20024974644184113,0.20832067728042603,0.733189046382904,0.14718765020370483,0.2243070751428604,0.41827285289764404,0.1826142966747284
13.8,-0.13561426103115082,-0.060223475098609924,-0.14518867433071136,-0.07055450975894928,-0.14782433211803436,-0.21531014144420624,-0.08486048132181168,-0.0896233394742012,0.07933033257722855,-0.06741821020841599,-0.09626580774784088
was,0.16678167879581451,0.260356068611145,0.1698075383901596,0.40313825011253357,0.2607507109642029,0.35383549332618713,0.48711544275283813,0.21420986950397491,0.21915455162525177,0.27411898970603943,0.18412111699581146
a,0.29312583804130554,0.2872205972671509,0.21163642406463623,0.4670248031616211,0.2509649395942688,0.22534137964248657,0.5829201340675354,0.26005712151527405,0.19533146917819977,0.3783375024795532,0.23916715383529663
super,0.11920704692602158,0.17302978038787842,0.26333683729171753,0.15233033895492554,0.30535250902175903,0.23658764362335205,0.21959073841571808,1.0000001192092896,0.4848237931728363,0.1518537551164627,0.166326642036438
bowl,0.1720007210969925,0.17932994663715363,0.2752957046031952,0.17163237929344177,0.32417115569114685,0.2380966693162918,0.21576224267482758,0.4848237931728363,1.0,0.18353787064552307,0.21118052303791046
low,0.24991987645626068,0.2921038866043091,0.16405977308750153,0.20071320235729218,0.1900589019060135,0.061983488500118256,0.2544175982475281,0.16166412830352783,0.15821826457977295,0.2028178721666336,0.10658930987119675
.,0.3287222981452942,0.3974229395389557,0.23459066450595856,0.4105546176433563,0.2937074899673462,0.3011801838874817,0.5934505462646484,0.2757420241832733,0.21516893804073334,0.4446153938770294,0.4130953550338745
,how,many,teams,has,manning,won,the,super,bowl,with,?
manning,0.2318497896194458,0.17441397905349731,0.2626858949661255,0.18341787159442902,0.9999998807907104,0.28524553775787354,0.27058160305023193,0.30535250902175903,0.32417115569114685,0.18539859354496002,0.15856626629829407
became,0.10954522341489792,0.25642040371894836,0.16736291348934174,0.2400304079055786,0.1938459426164627,0.3002188503742218,0.36325156688690186,0.15664279460906982,0.1635434478521347,0.23679126799106598,0.11374033987522125
the,0.33890387415885925,0.4335206151008606,0.3164927661418915,0.4177538752555847,0.27058160305023193,0.29432493448257446,1.0,0.21959073841571808,0.21576224267482758,0.4223487675189972,0.22068053483963013
