,what,is,considered,as,a,potential,advantage,for,wealth,for,some,americans,?
according,0.2776208221912384,0.2838992476463318,0.32602179050445557,0.24795791506767273,0.239227756857872,0.18204602599143982,0.1365923285484314,0.1956551969051361,0.285123348236084,0.1956551969051361,0.20096933841705322,0.19246500730514526,0.21173474192619324
to,0.455847829580307,0.42745086550712585,0.2954166829586029,0.42092081904411316,0.45503583550453186,0.3595958650112152,0.27752500772476196,0.4451248347759247,0.30562296509742737,0.4451248347759247,0.4636894166469574,0.30128014087677,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,0.4028765559196472,0.48381632566452026,0.5829201340675354,0.27955570816993713,0.2844003438949585,0.4739971458911896,0.24999672174453735,0.4739971458911896,0.4566698372364044,0.3275100290775299,0.22068053483963013
new,0.2130378633737564,0.2208656519651413,0.12316255271434784,0.24585270881652832,0.3214259147644043,0.2220136970281601,0.10191407799720764,0.2700757384300232,0.17288216948509216,0.2700757384300232,0.3095579743385315,0.2500934302806854,0.14782847464084625
york,0.15652963519096375,0.14725744724273682,0.17793652415275574,0.19294045865535736,0.205710306763649,0.19216641783714294,0.1597958207130432,0.23982049524784088,0.17345468699932098,0.23982049524784088,0.18836680054664612,0.3351759910583496,0.15262620151042938
times,0.21414996683597565,0.21773184835910797,0.21329383552074432,0.2614286541938782,0.2745400369167328,0.1813553124666214,0.1767292618751526,0.2999500632286072,0.1712803840637207,0.2999500632286072,0.2114299237728119,0.23454371094703674,0.18880689144134521
on,0.34226128458976746,0.3635730445384979,0.24379022419452667,0.36047765612602234,0.3848365545272827,0.21637758612632751,0.18241821229457855,0.36199691891670227,0.1212598904967308,0.36199691891670227,0.31474894285202026,0.20607639849185944,0.2714994251728058
july,0.22688010334968567,0.22825419902801514,0.16029660403728485,0.2291463315486908,0.23807190358638763,0.11086446046829224,0.023611214011907578,0.28973108530044556,0.0740266814827919,0.28973108530044556,0.09327211230993271,0.20506222546100616,0.2897891402244568
22,0.02076123282313347,-0.027378425002098083,-0.05467017740011215,-0.08730647712945938,-0.028262944892048836,0.019465869292616844,-0.07090659439563751,0.008812894113361835,-0.033520184457302094,0.008812894113361835,0.0774141326546669,0.005271816160529852,0.06663474440574646
",",0.3087472915649414,0.4691906273365021,0.32932984828948975,0.48816442489624023,0.427140474319458,0.23060423135757446,0.1772463619709015,0.4464869201183319,0.22482609748840332,0.4464869201183319,0.42400437593460083,0.2545861303806305,0.31091248989105225
2014,0.041483160108327866,0.16745887696743011,-0.02037261798977852,0.21246016025543213,0.13504788279533386,0.042544834315776825,-0.03150317072868347,-0.029771532863378525,0.034933775663375854,-0.029771532863378525,-0.013268287293612957,-0.021561209112405777,0.058127544820308685
