,what,encouraged,trade,under,the,yuan,?
the,0.42745697498321533,0.21390338242053986,0.2681608200073242,0.3348022699356079,1.0,0.2548272907733917,0.22068053483963013
major,0.21026742458343506,0.17511086165905,0.17599143087863922,0.1991327702999115,0.31775903701782227,0.14733478426933289,0.19788557291030884
cultural,0.18198847770690918,0.24613824486732483,0.28533148765563965,0.12247619777917862,0.23337452113628387,0.14569099247455597,0.09798457473516464
achievements,0.1811215728521347,0.23205651342868805,0.14319919049739838,0.14173956215381622,0.27023789286613464,0.1740950644016266,0.12920449674129486
were,0.22298263013362885,0.2561963200569153,0.20628148317337036,0.28293636441230774,0.3906462490558624,0.19657303392887115,0.17890112102031708
the,0.42745697498321533,0.21390338242053986,0.2681608200073242,0.3348022699356079,1.0,0.2548272907733917,0.22068053483963013
development,0.19014155864715576,0.18061576783657074,0.2643839418888092,0.21471387147903442,0.3362044394016266,0.11525894701480865,0.1211358830332756
of,0.33290785551071167,0.23735111951828003,0.2310105711221695,0.32766106724739075,0.733189046382904,0.22696353495121002,0.1826142966747284
drama,0.21173490583896637,0.12785862386226654,0.0691986158490181,0.13242913782596588,0.2408958077430725,0.1322350800037384,0.21114452183246613
and,0.31309178471565247,0.35324954986572266,0.2510223686695099,0.3005301356315613,0.5171257257461548,0.22359056770801544,0.20544172823429108
the,0.42745697498321533,0.21390338242053986,0.2681608200073242,0.3348022699356079,1.0,0.2548272907733917,0.22068053483963013
novel,0.19251805543899536,0.11131910234689713,0.11387084424495697,0.11076310276985168,0.2359684407711029,0.15544714033603668,0.11398572474718094
and,0.31309178471565247,0.35324954986572266,0.2510223686695099,0.3005301356315613,0.5171257257461548,0.22359056770801544,0.20544172823429108
the,0.42745697498321533,0.21390338242053986,0.2681608200073242,0.3348022699356079,1.0,0.2548272907733917,0.22068053483963013
increased,0.1599731743335724,0.3311574161052704,0.27344536781311035,0.21031737327575684,0.3188653886318207,0.16895069181919098,0.09587585180997849
use,0.3453877568244934,0.24926814436912537,0.22417965531349182,0.21058189868927002,0.34342584013938904,0.14002667367458344,0.32795652747154236
of,0.33290785551071167,0.23735111951828003,0.2310105711221695,0.32766106724739075,0.733189046382904,0.22696353495121002,0.1826142966747284
the,0.42745697498321533,0.21390338242053986,0.2681608200073242,0.3348022699356079,1.0,0.2548272907733917,0.22068053483963013
written,0.25412634015083313,0.19379660487174988,0.0848507359623909,0.1799977719783783,0.2582438886165619,0.21650516986846924,0.21451954543590546
vernacular,0.2667075991630554,0.24167227745056152,0.17422114312648773,0.08068495988845825,0.2864411771297455,0.14959248900413513,0.2268863171339035
.,0.3567904531955719,0.2156796157360077,0.20157761871814728,0.2901604175567627,0.5934505462646484,0.17233723402023315,0.4130953550338745
,what,encouraged,trade,under,the,yuan,?
the,0.42745697498321533,0.21390338242053986,0.2681608200073242,0.3348022699356079,1.0,0.2548272907733917,0.22068053483963013
political,0.21846716105937958,0.2668021023273468,0.20036882162094116,0.13468164205551147,0.20477235317230225,0.16968153417110443,0.17130474746227264
unity,0.24233078956604004,0.19971010088920593,0.18799470365047455,0.14995254576206207,0.2460627406835556,0.11167441308498383,0.16156218945980072
of,0.33290785551071167,0.23735111951828003,0.2310105711221695,0.32766106724739075,0.733189046382904,0.22696353495121002,0.1826142966747284
china,0.13832437992095947,0.17443063855171204,0.26345130801200867,0.17205338180065155,0.3110525608062744,0.5794417262077332,0.18007943034172058
and,0.31309178471565247,0.35324954986572266,0.2510223686695099,0.3005301356315613,0.5171257257461548,0.22359056770801544,0.20544172823429108
much,0.45316147804260254,0.24035559594631195,0.24160455167293549,0.1765177845954895,0.35023224353790283,0.19367708265781403,0.23442231118679047
of,0.33290785551071167,0.23735111951828003,0.2310105711221695,0.32766106724739075,0.733189046382904,0.22696353495121002,0.1826142966747284
central,0.17723965644836426,0.055321287363767624,0.17265771329402924,0.12046600133180618,0.3417201042175293,0.16617019474506378,0.14787602424621582
asia,0.14832128584384918,0.1453450471162796,0.2921459674835205,0.18838578462600708,0.2838890850543976,0.2809104323387146,0.1340748518705368
promoted,0.18223430216312408,0.24849148094654083,0.18859896063804626,0.17802180349826813,0.2648380994796753,0.05438560992479324,0.2079106867313385
trade,0.1555381417274475,0.14678049087524414,0.9999999403953552,0.1741834580898285,0.2681608200073242,0.18455998599529266,0.09336511790752411
between,0.2462156116962433,0.18425771594047546,0.22979705035686493,0.21604885160923004,0.39067012071609497,0.11118383705615997,0.12887074053287506
east,0.19840149581432343,0.16395023465156555,0.25350990891456604,0.17525160312652588,0.3383176326751709,0.14658229053020477,0.10070597380399704
and,0.31309178471565247,0.35324954986572266,0.2510223686695099,0.3005301356315613,0.5171257257461548,0.22359056770801544,0.20544172823429108
west,0.1946573108434677,0.1669982224702835,0.1688067615032196,0.1504925787448883,0.32918402552604675,0.11195746064186096,0.12088293582201004
.,0.3567904531955719,0.2156796157360077,0.20157761871814728,0.2901604175567627,0.5934505462646484,0.17233723402023315,0.4130953550338745
