,what,proportion,did,detached,homes,rise,in,2010,?
in,0.30808621644973755,0.2268213927745819,0.2593238651752472,0.17419780790805817,0.2459857165813446,0.1934409737586975,1.0,0.2692960798740387,0.20430970191955566
terms,0.23885610699653625,0.3220226764678955,0.19385001063346863,0.14542360603809357,0.1242053285241127,0.15898621082305908,0.2410934716463089,0.13423462212085724,0.23466452956199646
of,0.33290785551071167,0.326309472322464,0.2513895630836487,0.19064097106456757,0.2122298777103424,0.2733727991580963,0.5696388483047485,0.26419875025749207,0.1826142966747284
housing,0.14871764183044434,0.2784845232963562,0.19518278539180756,0.18489430844783783,0.46310269832611084,0.16598019003868103,0.255455881357193,0.1869027018547058,0.11872038245201111
stock,0.13911938667297363,0.2171664535999298,0.0815865769982338,0.11923837661743164,0.0926533192396164,0.15136028826236725,0.20128266513347626,0.06726733595132828,0.14784406125545502
",",0.3087472915649414,0.23342293500900269,0.3015086054801941,0.15830671787261963,0.2378510683774948,0.2350703477859497,0.5201468467712402,0.24006164073944092,0.31091248989105225
the,0.42745697498321533,0.2945463955402374,0.34736719727516174,0.22360335290431976,0.22941356897354126,0.3404741883277893,0.6662389636039734,0.31722962856292725,0.22068053483963013
authority,0.23046736419200897,0.17964455485343933,0.23189641535282135,0.10681334882974625,0.20729278028011322,0.12175477296113968,0.214982271194458,0.23650109767913818,0.18404170870780945
is,0.28837618231773376,0.267301470041275,0.19247472286224365,0.11884669959545135,0.1548708975315094,0.1640702784061432,0.5394441485404968,0.24019573628902435,0.22961433231830597
one,0.376489520072937,0.31132858991622925,0.27659472823143005,0.24355795979499817,0.21443569660186768,0.17919883131980896,0.4129433035850525,0.18737077713012695,0.2673267424106598
of,0.33290785551071167,0.326309472322464,0.2513895630836487,0.19064097106456757,0.2122298777103424,0.2733727991580963,0.5696388483047485,0.26419875025749207,0.1826142966747284
few,0.2780759632587433,0.26008573174476624,0.32311540842056274,0.18919718265533447,0.20451055467128754,0.22379225492477417,0.3588411808013916,0.2488977611064911,0.2334265559911728
authorities,0.23251837491989136,0.19764426350593567,0.30031415820121765,0.16772575676441193,0.31387022137641907,0.12724797427654266,0.2868952453136444,0.3042696416378021,0.17285770177841187
to,0.455847829580307,0.27622002363204956,0.4452643394470215,0.17825621366500854,0.2634379267692566,0.23256368935108185,0.45010748505592346,0.3413967490196228,0.29463258385658264
see,0.44941186904907227,0.25499680638313293,0.30981990694999695,0.18388080596923828,0.1893288791179657,0.133006751537323,0.2973747253417969,0.2295762300491333,0.42005208134651184
the,0.42745697498321533,0.2945463955402374,0.34736719727516174,0.22360335290431976,0.22941356897354126,0.3404741883277893,0.6662389636039734,0.31722962856292725,0.22068053483963013
proportion,0.21334725618362427,1.0,0.18728114664554596,0.15506623685359955,0.1936022788286209,0.20683957636356354,0.2268213927745819,0.1808910220861435,0.16980072855949402
of,0.33290785551071167,0.326309472322464,0.2513895630836487,0.19064097106456757,0.2122298777103424,0.2733727991580963,0.5696388483047485,0.26419875025749207,0.1826142966747284
detached,0.14088524878025055,0.15506623685359955,0.12238999456167221,1.0,0.22178880870342255,0.08753468096256256,0.17419780790805817,0.07217518985271454,0.1312139630317688
homes,0.1709814965724945,0.1936022788286209,0.2329649180173874,0.22178880870342255,1.0,0.18258526921272278,0.2459857165813446,0.20595607161521912,0.12707971036434174
rise,0.23887591063976288,0.20683957636356354,0.16756875813007355,0.08753468096256256,0.18258526921272278,1.0,0.1934409737586975,0.11701581627130508,0.10799103230237961
in,0.30808621644973755,0.2268213927745819,0.2593238651752472,0.17419780790805817,0.2459857165813446,0.1934409737586975,1.0,0.2692960798740387,0.20430970191955566
the,0.42745697498321533,0.2945463955402374,0.34736719727516174,0.22360335290431976,0.22941356897354126,0.3404741883277893,0.6662389636039734,0.31722962856292725,0.22068053483963013
2010,0.2741409242153168,0.1808910220861435,0.29398393630981445,0.07217518985271454,0.20595607161521912,0.11701581627130508,0.2692960798740387,1.0000001192092896,0.21232788264751434
