,how,is,genghis,khan,spelled,in,turkic,?
genghis,0.15753298997879028,0.1866190880537033,1.0,0.5896923542022705,0.2335480898618698,0.224680557847023,0.46669715642929077,0.18813461065292358
khan,0.11783289164304733,0.20103248953819275,0.5896923542022705,1.0,0.20567770302295685,0.1527150720357895,0.39127790927886963,0.12862591445446014
",",0.22659391164779663,0.4691906273365021,0.2891939878463745,0.19700400531291962,0.246441051363945,0.5201468467712402,0.23167413473129272,0.31091248989105225
the,0.33890387415885925,0.5823672413825989,0.3448939025402069,0.21067845821380615,0.2190741002559662,0.6662389636039734,0.27274230122566223,0.22068053483963013
title,0.1412888765335083,0.17983698844909668,0.22426576912403107,0.22046531736850739,0.18643641471862793,0.2263992726802826,0.15827828645706177,0.34551161527633667
is,0.22544461488723755,1.0,0.1866190880537033,0.20103248953819275,0.2914513647556305,0.5394441485404968,0.19278517365455627,0.22961433231830597
spelled,0.09780282527208328,0.2914513647556305,0.2335480898618698,0.20567770302295685,1.0000001192092896,0.22594206035137177,0.23773193359375,0.13924984633922577
in,0.2601168751716614,0.5394441485404968,0.224680557847023,0.1527150720357895,0.22594206035137177,1.0,0.19491073489189148,0.20430970191955566
variety,0.24128027260303497,0.1789252758026123,0.11228947341442108,0.10550716519355774,0.11669663339853287,0.21121226251125336,0.1938147097826004,0.13376861810684204
of,0.2480744868516922,0.4854315221309662,0.2938849925994873,0.17124508321285248,0.1807994693517685,0.5696388483047485,0.29265591502189636,0.1826142966747284
ways,0.5360958576202393,0.23305881023406982,0.14810916781425476,0.13512969017028809,0.14873430132865906,0.1954887956380844,0.17781618237495422,0.2710120975971222
in,0.2601168751716614,0.5394441485404968,0.224680557847023,0.1527150720357895,0.22594206035137177,1.0,0.19491073489189148,0.20430970191955566
different,0.411273330450058,0.24624870717525482,0.1348133683204651,0.1305457204580307,0.15091539919376373,0.29409363865852356,0.275945246219635,0.24476227164268494
languages,0.2007300704717636,0.2144571989774704,0.20897066593170166,0.1739206612110138,0.26903772354125977,0.18883031606674194,0.4444736838340759,0.22599908709526062
such,0.307365357875824,0.23545363545417786,0.14482241868972778,0.14670294523239136,0.104862280189991,0.2704046070575714,0.19786189496517181,0.17851735651493073
as,0.33782753348350525,0.43216490745544434,0.17543354630470276,0.22500167787075043,0.21691174805164337,0.3887844979763031,0.1951969414949417,0.27043893933296204
mongolian,0.1687123030424118,0.20271806418895721,0.463535338640213,0.4463278353214264,0.23638524115085602,0.1663515418767929,0.49547135829925537,0.13122369349002838
chinggis,0.1961689591407776,0.28871068358421326,0.4531481862068176,0.31392401456832886,0.24641619622707367,0.28682565689086914,0.2893676459789276,0.27154234051704407
