,the,price,of,oil,is,usually,a,stable,commodity,until,when,?
from,0.40150508284568787,0.1435108780860901,0.4249346852302551,0.22372330725193024,0.27355384826660156,0.25971752405166626,0.322764128446579,0.15567588806152344,0.17127054929733276,0.3746030032634735,0.405669629573822,0.19969791173934937
1947,0.25957298278808594,0.1380636841058731,0.20373398065567017,0.2837420701980591,0.2493366003036499,0.2551719546318054,0.13711807131767273,0.160088911652565,0.1849249005317688,0.20901696383953094,0.23134085536003113,0.020605526864528656
to,0.535392165184021,0.2590087652206421,0.41548454761505127,0.1619214415550232,0.42745086550712585,0.3824864327907562,0.45503583550453186,0.2686217427253723,0.25112590193748474,0.354556679725647,0.5423505902290344,0.29463258385658264
1967,-0.012038951739668846,0.01948896050453186,0.07289459556341171,-0.11521968245506287,0.030055582523345947,-0.11776845157146454,-0.005675012711435556,-0.020072873681783676,-0.007782025262713432,0.004825782962143421,-0.10118751227855682,0.017933469265699387
",",0.4933079481124878,0.24825957417488098,0.4946078956127167,0.20043784379959106,0.4691906273365021,0.21946179866790771,0.427140474319458,0.20380382239818573,0.21305681765079498,0.2947838604450226,0.36674630641937256,0.31091248989105225
the,1.0,0.22636492550373077,0.733189046382904,0.21849922835826874,0.5823672413825989,0.36782920360565186,0.5829201340675354,0.19243422150611877,0.16836760938167572,0.37191009521484375,0.5091903209686279,0.22068053483963013
dollar,0.2596837878227234,0.334756076335907,0.1566329300403595,0.25142979621887207,0.20364831387996674,0.17025673389434814,0.21821604669094086,0.07507021725177765,0.2755054533481598,0.08638894557952881,0.16712570190429688,0.17535142600536346
price,0.22636492550373077,1.0,0.15675179660320282,0.3166557550430298,0.23069579899311066,0.16440235078334808,0.18269109725952148,0.20632217824459076,0.43171456456184387,0.2161538153886795,0.17377425730228424,0.14631175994873047
of,0.733189046382904,0.15675179660320282,1.0,0.22900764644145966,0.4854315221309662,0.33931583166122437,0.5052502155303955,0.21093958616256714,0.17748385667800903,0.2787701487541199,0.3757161796092987,0.1826142966747284
oil,0.21849922835826874,0.3166557550430298,0.22900764644145966,1.0,0.20966008305549622,0.20196475088596344,0.18393073976039886,0.21685437858104706,0.28082355856895447,0.19026526808738708,0.2048342078924179,0.14867261052131653
had,0.3875846862792969,0.1814015656709671,0.37755560874938965,0.1329135298728943,0.2932159900665283,0.22845587134361267,0.34897568821907043,0.1513412594795227,0.18977399170398712,0.42164283990859985,0.37526828050613403,0.20728366076946259
risen,0.31852957606315613,0.24553656578063965,0.29569199681282043,0.1517062783241272,0.14974941313266754,0.20335492491722107,0.1923854947090149,0.139383926987648,0.16430054605007172,0.18920199573040009,0.2262590080499649,0.19130191206932068
by,0.4408751428127289,0.18747636675834656,0.3646814823150635,0.20634248852729797,0.3899846076965332,0.30666717886924744,0.32094135880470276,0.15101240575313568,0.16936132311820984,0.26738616824150085,0.4376842677593231,0.17966607213020325
less,0.29185041785240173,0.25023379921913147,0.30836719274520874,0.213841050863266,0.3123510479927063,0.4738442599773407,0.3475147485733032,0.2942280173301697,0.25012633204460144,0.19232870638370514,0.37969323992729187,0.22418740391731262
than,0.3227543234825134,0.25886934995651245,0.33036211133003235,0.1969464123249054,0.2839990258216858,0.444146990776062,0.3126874566078186,0.26827046275138855,0.2152344286441803,0.17506682872772217,0.2883036434650421,0.24917294085025787
two,0.43858039379119873,0.18589314818382263,0.37726253271102905,0.11044035851955414,0.2315155267715454,0.38732194900512695,0.3289857804775238,0.18756799399852753,0.14418300986289978,0.3112592101097107,0.3743424117565155,0.19645625352859497
percent,0.277066707611084,0.2562379240989685,0.3004763424396515,0.265217661857605,0.24196593463420868,0.29295995831489563,0.2187717854976654,0.1126776784658432,0.20015937089920044,0.1873689442873001,0.22891096770763397,0.14671556651592255
per,0.21691934764385223,0.17166109383106232,0.17468707263469696,0.0829489454627037,0.22395510971546173,0.2510766088962555,0.21615441143512726,0.14238190650939941,0.13660375773906708,0.1119384616613388,0.18134598433971405,0.22323818504810333
year,0.3609684407711029,0.20207317173480988,0.2578314542770386,0.11215627938508987,0.2402215600013733,0.16312944889068604,0.29350247979164124,0.1780737340450287,0.11309448629617691,0.3181511163711548,0.3014719784259796,0.18315006792545319
.,0.5934505462646484,0.20274421572685242,0.5352458953857422,0.22117017209529877,0.4569662809371948,0.28580138087272644,0.50484299659729,0.2419736087322235,0.17870840430259705,0.36876651644706726,0.475719153881073,0.4130953550338745
,the,price,of,oil,is,usually,a,stable,commodity,until,when,?
until,0.37191009521484375,0.2161538153886795,0.2787701487541199,0.19026526808738708,0.23065046966075897,0.15468841791152954,0.2314814180135727,0.201433926820755,0.07522445172071457,1.0,0.494509756565094,0.20304496586322784
the,1.0,0.22636492550373077,0.733189046382904,0.21849922835826874,0.5823672413825989,0.36782920360565186,0.5829201340675354,0.19243422150611877,0.16836760938167572,0.37191009521484375,0.5091903209686279,0.22068053483963013
oil,0.21849922835826874,0.3166557550430298,0.22900764644145966,1.0,0.20966008305549622,0.20196475088596344,0.18393073976039886,0.21685437858104706,0.28082355856895447,0.19026526808738708,0.2048342078924179,0.14867261052131653
shock,0.2312299907207489,0.19027115404605865,0.17026126384735107,0.17769302427768707,0.16242370009422302,0.24400898814201355,0.2799118757247925,0.19223199784755707,0.28757810592651367,0.07895490527153015,0.31233513355255127,0.19073565304279327
",",0.4933079481124878,0.24825957417488098,0.4946078956127167,0.20043784379959106,0.4691906273365021,0.21946179866790771,0.427140474319458,0.20380382239818573,0.21305681765079498,0.2947838604450226,0.36674630641937256,0.31091248989105225
