,to,which,year,is,the,becket,casket,dated,?
also,0.5348826050758362,0.6566565632820129,0.24424028396606445,0.5012649297714233,0.6021018624305725,0.22927092015743256,0.23895150423049927,0.10305439680814743,0.21848613023757935
of,0.41548454761505127,0.5011631846427917,0.2578314542770386,0.4854315221309662,0.733189046382904,0.22939009964466095,0.22033509612083435,0.210488960146904,0.1826142966747284
importance,0.2892669439315796,0.36451590061187744,0.09803829342126846,0.2766280770301819,0.2901651859283447,0.04401075839996338,0.09675300866365433,0.15958163142204285,0.1653127521276474
is,0.42745086550712585,0.4457404911518097,0.2402215600013733,1.0,0.5823672413825989,0.16363824903964996,0.20813901722431183,0.13580690324306488,0.22961433231830597
the,0.535392165184021,0.6521818041801453,0.3609684407711029,0.5823672413825989,1.0,0.22009719908237457,0.29830875992774963,0.2046709507703781,0.22068053483963013
becket,0.20772893726825714,0.1412869393825531,0.20055121183395386,0.16363824903964996,0.22009719908237457,1.0,0.4622180163860321,0.20067152380943298,0.24693149328231812
casket,0.30394360423088074,0.259729266166687,0.21747733652591705,0.20813901722431183,0.29830875992774963,0.4622180163860321,1.0,0.2569631040096283,0.2575456500053406
dated,0.20172762870788574,0.215279221534729,0.26412805914878845,0.13580690324306488,0.2046709507703781,0.20067152380943298,0.2569631040096283,1.0000001192092896,0.215650275349617
c1180,0.13688969612121582,0.10190559923648834,0.07140881568193436,0.056577324867248535,0.0683576688170433,-0.0020391372963786125,0.04640690237283707,-0.06986890733242035,0.046005748212337494
to,1.0,0.5345056653022766,0.23523004353046417,0.42745086550712585,0.535392165184021,0.20772893726825714,0.30394360423088074,0.20172762870788574,0.29463258385658264
contain,0.28093209862709045,0.39727339148521423,0.08200185745954514,0.31030410528182983,0.26383090019226074,0.07939460128545761,0.09526097774505615,0.25314009189605713,0.18853069841861725
relics,0.2267906665802002,0.2504887282848358,0.09623195976018906,0.23269005119800568,0.2916494905948639,0.32095012068748474,0.32932767271995544,0.2628399431705475,0.09077078104019165
of,0.41548454761505127,0.5011631846427917,0.2578314542770386,0.4854315221309662,0.733189046382904,0.22939009964466095,0.22033509612083435,0.210488960146904,0.1826142966747284
st,0.21034306287765503,0.18361647427082062,0.24080416560173035,0.14744308590888977,0.27966225147247314,0.2561522424221039,0.22224977612495422,0.16041648387908936,0.13298600912094116
thomas,0.1928519904613495,0.20158961415290833,0.1567562371492386,0.15801864862442017,0.23505409061908722,0.3739343583583832,0.26147326827049255,0.18251727521419525,0.16133050620555878
becket,0.20772893726825714,0.1412869393825531,0.20055121183395386,0.16363824903964996,0.22009719908237457,1.0,0.4622180163860321,0.20067152380943298,0.24693149328231812
",",0.44245919585227966,0.3658004403114319,0.28560417890548706,0.4691906273365021,0.4933079481124878,0.25949758291244507,0.26626020669937134,0.2621086835861206,0.31091248989105225
made,0.3377571105957031,0.3407467305660248,0.13611415028572083,0.29543453454971313,0.3885267674922943,0.19554485380649567,0.2355448603630066,0.20276255905628204,0.17218779027462006
from,0.4069952368736267,0.38755592703819275,0.2101740688085556,0.27355384826660156,0.40150508284568787,0.12111786007881165,0.21333609521389008,0.22167015075683594,0.19969791173934937
gilt,0.2025005966424942,0.27460408210754395,0.11583875864744186,0.21305271983146667,0.2653356194496155,0.2621825635433197,0.32707977294921875,0.19810421764850616,0.10313526540994644
copper,0.2497592717409134,0.2391541302204132,0.15119820833206177,0.24578702449798584,0.2199994921684265,0.15178842842578888,0.2379187047481537,0.2296896129846573,0.0947067067027092
",",0.44245919585227966,0.3658004403114319,0.28560417890548706,0.4691906273365021,0.4933079481124878,0.25949758291244507,0.26626020669937134,0.2621086835861206,0.31091248989105225
with,0.4239959120750427,0.46403205394744873,0.3220449686050415,0.3250955045223236,0.4223487675189972,0.20642925798892975,0.25543642044067383,0.20188507437705994,0.2433311939239502
enamelled,0.266580194234848,0.44830387830734253,0.1762024164199829,0.2741905152797699,0.33665579557418823,0.1938711255788803,0.28918492794036865,0.26774483919143677,0.23194964230060577
scenes,0.23017901182174683,0.2572465240955353,0.1748463362455368,0.1306147277355194,0.25766557455062866,0.09754988551139832,0.2537797689437866,0.10688381642103195,0.1263595074415207
of,0.41548454761505127,0.5011631846427917,0.2578314542770386,0.4854315221309662,0.733189046382904,0.22939009964466095,0.22033509612083435,0.210488960146904,0.1826142966747284
the,0.535392165184021,0.6521818041801453,0.3609684407711029,0.5823672413825989,1.0,0.22009719908237457,0.29830875992774963,0.2046709507703781,0.22068053483963013
saint,0.20921090245246887,0.22118224203586578,0.1960161179304123,0.2384635955095291,0.24700650572776794,0.22920343279838562,0.24046990275382996,0.13021671772003174,0.15690264105796814
's,0.03782717138528824,0.03856118768453598,-0.04087831452488899,0.02396530658006668,-0.01540423184633255,-0.0073273517191410065,0.00913742370903492,-0.12385178357362747,-0.023395681753754616
martyrdom,0.19073344767093658,0.21570096909999847,0.2525467276573181,0.13938619196414948,0.2568643093109131,0.3879058361053467,0.2854022979736328,0.26954126358032227,0.14655417203903198
.,0.4645031690597534,0.45942068099975586,0.32538118958473206,0.4569662809371948,0.5934505462646484,0.2666579782962799,0.27703946828842163,0.2194228619337082,0.4130953550338745
