,which,khitan,prince,became,an,important,administrator,in,the,mongol,empire,?
for,0.44095608592033386,0.14577914774417877,0.12641793489456177,0.3017078936100006,0.3236706852912903,0.3458578288555145,0.22280412912368774,0.4322226941585541,0.4739971458911896,0.1556200236082077,0.18193261325359344,0.264628142118454
this,0.6719430088996887,0.2502993643283844,0.19984646141529083,0.1946946084499359,0.41881775856018066,0.4004398584365845,0.2879053056240082,0.45205554366111755,0.6274310946464539,0.19343864917755127,0.20260672271251678,0.3155723512172699
purpose,0.3687290847301483,0.10077610611915588,0.04515872150659561,0.11497437953948975,0.157002791762352,0.23600901663303375,0.20995551347732544,0.2706536650657654,0.3061215281486511,0.11737992614507675,0.12287942320108414,0.21892647445201874
genghis,0.26472097635269165,0.6360034346580505,0.36428409814834595,0.2328619807958603,0.14007556438446045,0.1856413334608078,0.16004572808742523,0.224680557847023,0.3448939025402069,0.6244974732398987,0.42237505316734314,0.18813461065292358
khan,0.19211235642433167,0.5630635619163513,0.23234102129936218,0.19657786190509796,0.12960869073867798,0.13576774299144745,0.1673974245786667,0.1527150720357895,0.21067845821380615,0.5576101541519165,0.38083162903785706,0.12862591445446014
invited,0.14990566670894623,0.14633983373641968,0.1864231526851654,0.25177907943725586,0.08966363221406937,0.1512691080570221,0.1941179484128952,0.20903164148330688,0.2247852087020874,0.19762378931045532,0.11914804577827454,0.15199494361877441
a,0.56894451379776,0.17857731878757477,0.14827799797058105,0.28774285316467285,0.44552403688430786,0.2963852882385254,0.23652416467666626,0.539380669593811,0.5829201340675354,0.15921570360660553,0.1900206059217453,0.23916715383529663
khitan,0.24764646589756012,1.0,0.3566795885562897,0.24595235288143158,0.11740905046463013,0.15621738135814667,0.1955927610397339,0.20611163973808289,0.28280338644981384,0.5881062150001526,0.34790098667144775,0.22136270999908447
prince,0.15987098217010498,0.3566795885562897,1.0,0.18868710100650787,0.11054988205432892,0.12086048722267151,0.18837037682533264,0.16662997007369995,0.24284426867961884,0.2672766447067261,0.26552295684814453,0.15431542694568634
",",0.3658004403114319,0.24559904634952545,0.27037322521209717,0.2798398435115814,0.3581022024154663,0.3452564477920532,0.30028748512268066,0.5201468467712402,0.4933079481124878,0.2229510098695755,0.27646857500076294,0.31091248989105225
chu'tsai,0.2632558047771454,0.4447605013847351,0.1987650841474533,0.17590369284152985,0.1341550350189209,0.1559293121099472,0.10261296480894089,0.1870584636926651,0.23979482054710388,0.40617233514785767,0.24309468269348145,0.22282609343528748
",",0.3658004403114319,0.24559904634952545,0.27037322521209717,0.2798398435115814,0.3581022024154663,0.3452564477920532,0.30028748512268066,0.5201468467712402,0.4933079481124878,0.2229510098695755,0.27646857500076294,0.31091248989105225
who,0.3688730001449585,0.2690381407737732,0.19059205055236816,0.2624726891517639,0.2848317325115204,0.23735733330249786,0.29738950729370117,0.2792111933231354,0.3733934462070465,0.22505711019039154,0.18977859616279602,0.26220351457595825
