,how,many,of,the,following,three,fourth,quarter,drives,after,the,field,goal,makng,the,score,16-10,ended,in,punts,?
the,0.33890387415885925,0.4335206151008606,0.733189046382904,1.0,0.39779382944107056,0.43452659249305725,0.40804702043533325,0.3659466803073883,0.20820994675159454,0.4565047025680542,1.0,0.2105809599161148,0.2443244755268097,0.23005302250385284,1.0,0.2042495757341385,0.1257832646369934,0.3356485068798065,0.6662389636039734,0.21641352772712708,0.22068053483963013
next,0.24492809176445007,0.17440924048423767,0.2935165464878082,0.35833123326301575,0.2551537752151489,0.24944624304771423,0.3697102665901184,0.22258099913597107,0.13133768737316132,0.36641988158226013,0.35833123326301575,0.11243806779384613,0.11265554279088974,0.21283817291259766,0.35833123326301575,0.11699853837490082,-0.09686566889286041,0.26714831590652466,0.29307645559310913,0.16098687052726746,0.167460098862648
three,0.23807744681835175,0.4501400589942932,0.3844621181488037,0.43452659249305725,0.2835557162761688,1.0,0.3703242838382721,0.30438247323036194,0.14050835371017456,0.2759888768196106,0.43452659249305725,0.1366681307554245,0.17430058121681213,0.17910946905612946,0.43452659249305725,0.18246787786483765,0.06932247430086136,0.24051828682422638,0.34828072786331177,0.15065068006515503,0.20928427577018738
drives,0.2322252243757248,0.18976925313472748,0.1603955775499344,0.20820994675159454,0.1410902887582779,0.14050835371017456,0.10795380920171738,0.07517747581005096,0.9999999403953552,0.11189312487840652,0.20820994675159454,0.08397650718688965,0.19683897495269775,0.13712772727012634,0.20820994675159454,0.17619068920612335,-0.039522912353277206,0.16052867472171783,0.14633353054523468,0.22760812938213348,0.08974530547857285
of,0.2480744868516922,0.37253960967063904,1.0,0.733189046382904,0.3576679527759552,0.3844621181488037,0.30335766077041626,0.30494412779808044,0.1603955775499344,0.3867455720901489,0.733189046382904,0.20410659909248352,0.1838325709104538,0.26733916997909546,0.733189046382904,0.1790168732404709,0.19529502093791962,0.27636510133743286,0.5696388483047485,0.18177677690982819,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.733189046382904,1.0,0.39779382944107056,0.43452659249305725,0.40804702043533325,0.3659466803073883,0.20820994675159454,0.4565047025680542,1.0,0.2105809599161148,0.2443244755268097,0.23005302250385284,1.0,0.2042495757341385,0.1257832646369934,0.3356485068798065,0.6662389636039734,0.21641352772712708,0.22068053483963013
game,0.215279221534729,0.21957436203956604,0.2298848181962967,0.285271555185318,0.16146798431873322,0.24410177767276764,0.24875055253505707,0.2610255777835846,0.19227665662765503,0.19855184853076935,0.285271555185318,0.24591608345508575,0.34820306301116943,0.12644390761852264,0.285271555185318,0.3166070282459259,-0.017375493422150612,0.2175201028585434,0.23986028134822845,0.24175848066806793,0.1829071193933487
would,0.43239715695381165,0.33440667390823364,0.3353942930698395,0.4133751392364502,0.277632474899292,0.2433076798915863,0.21775351464748383,0.16835814714431763,0.2364370971918106,0.31067174673080444,0.4133751392364502,0.18384042382240295,0.3103758990764618,0.21683146059513092,0.4133751392364502,0.1719076782464981,0.038752228021621704,0.30453360080718994,0.30461156368255615,0.2234618216753006,0.37178951501846313
end,0.2481066733598709,0.2364911139011383,0.2215006798505783,0.39658910036087036,0.25643232464790344,0.21347394585609436,0.2719719111919403,0.19949176907539368,0.17053982615470886,0.34383532404899597,0.39658910036087036,0.12208939343690872,0.2495908886194229,0.13912223279476166,0.39658910036087036,0.19343528151512146,0.010329676792025566,0.4509032666683197,0.28539085388183594,0.29800668358802795,0.12543344497680664
in,0.2601168751716614,0.41474202275276184,0.5696388483047485,0.6662389636039734,0.355264812707901,0.34828072786331177,0.29149749875068665,0.2899305522441864,0.14633353054523468,0.44050168991088867,0.6662389636039734,0.20553018152713776,0.2241991013288498,0.1888117492198944,0.6662389636039734,0.13240541517734528,0.10858631879091263,0.3353011906147003,1.0,0.19431474804878235,0.20430970191955566
punts,0.21848756074905396,0.20135372877120972,0.18177677690982819,0.21641352772712708,0.16924577951431274,0.15065068006515503,0.153497114777565,0.3138369619846344,0.22760812938213348,0.1903749704360962,0.21641352772712708,0.2482326775789261,0.26882994174957275,0.18089917302131653,0.21641352772712708,0.20740576088428497,0.0465095080435276,0.17029893398284912,0.19431474804878235,1.0,0.19397130608558655
.,0.3287222981452942,0.3974229395389557,0.5352458953857422,0.5934505462646484,0.30538758635520935,0.34968629479408264,0.27895694971084595,0.29042351245880127,0.1786690652370453,0.35870397090911865,0.5934505462646484,0.23224417865276337,0.19919876754283905,0.25215762853622437,0.5934505462646484,0.17928162217140198,0.07177552580833435,0.23468057811260223,0.5591574311256409,0.2402263879776001,0.4130953550338745
,how,many,of,the,following,three,fourth,quarter,drives,after,the,field,goal,makng,the,score,16-10,ended,in,punts,?
a,0.29312583804130554,0.2872205972671509,0.5052502155303955,0.5829201340675354,0.27489006519317627,0.3025658130645752,0.3032437562942505,0.26766106486320496,0.23937544226646423,0.3831600844860077,0.5829201340675354,0.2030690312385559,0.20853768289089203,0.24333511292934418,0.5829201340675354,0.19997252523899078,0.020807143300771713,0.23481619358062744,0.539380669593811,0.22842645645141602,0.23916715383529663
16-yard,0.26863282918930054,0.2272297441959381,0.2562587559223175,0.33381152153015137,0.14811009168624878,0.2227659523487091,0.2569485902786255,0.2646183669567108,0.25219789147377014,0.26353365182876587,0.33381152153015137,0.27801766991615295,0.25576290488243103,0.19756221771240234,0.33381152153015137,0.26963940262794495,-0.013328392058610916,0.1863611787557602,0.2978553771972656,0.28927114605903625,0.12999987602233887
reception,0.17294476926326752,0.2312208116054535,0.20910748839378357,0.27069389820098877,0.13044407963752747,0.1687098741531372,0.17242257297039032,0.1489650309085846,0.2035696655511856,0.1925525814294815,0.27069389820098877,0.14700523018836975,0.1738162785768509,0.08976820856332779,0.27069389820098877,0.2017274647951126,0.03895418718457222,0.14732682704925537,0.2322438657283783,0.2787114977836609,0.17967697978019714
by,0.34370526671409607,0.3409687578678131,0.3646814823150635,0.4408751428127289,0.25132864713668823,0.28754812479019165,0.29941973090171814,0.15562428534030914,0.18389129638671875,0.41259682178497314,0.4408751428127289,0.18480901420116425,0.14687420427799225,0.1718556433916092,0.4408751428127289,0.19075021147727966,0.06686434894800186,0.23570303618907928,0.370934396982193,0.1575193852186203,0.17966607213020325
devin,0.1716802567243576,0.048369407653808594,0.17299361526966095,0.2083873152732849,0.1125747561454773,0.18344049155712128,0.1552497297525406,0.1223459392786026,0.26750314235687256,0.17954906821250916,0.2083873152732849,0.13535311818122864,0.14813438057899475,0.2889760732650757,0.2083873152732849,0.24437780678272247,-0.07366233319044113,0.19683438539505005,0.22614821791648865,0.21735769510269165,0.16963998973369598
