,how,many,hymns,of,luther,were,included,in,the,achtliederbuch,?
he,0.2594625651836395,0.3483840227127075,0.20989593863487244,0.38706058263778687,0.2454872578382492,0.31267037987709045,0.1680709719657898,0.41690486669540405,0.4571082592010498,0.29134708642959595,0.2089974731206894
supplied,0.1778123825788498,0.1592811793088913,0.08036766946315765,0.22998054325580597,0.024522600695490837,0.2544124126434326,0.32907336950302124,0.19743295013904572,0.3064648509025574,0.20385070145130157,0.08668285608291626
four,0.1955733299255371,0.4139232039451599,0.20265614986419678,0.36293646693229675,0.11592413485050201,0.3769223988056183,0.3050509989261627,0.3085027039051056,0.40344667434692383,0.2508337199687958,0.14532537758350372
of,0.2480744868516922,0.37253960967063904,0.23365463316440582,1.0,0.1719115972518921,0.34038281440734863,0.4391688108444214,0.5696388483047485,0.733189046382904,0.3710545599460602,0.1826142966747284
eight,0.222213014960289,0.348200261592865,0.22342604398727417,0.3220755457878113,0.1669929325580597,0.34618258476257324,0.26007702946662903,0.3002670109272003,0.34254369139671326,0.26128488779067993,0.11634626984596252
songs,0.18321603536605835,0.2647671401500702,0.4678293466567993,0.19366078078746796,0.2370348870754242,0.2493385672569275,0.27153390645980835,0.2131991684436798,0.21576808393001556,0.296310156583786,0.18278652429580688
of,0.2480744868516922,0.37253960967063904,0.23365463316440582,1.0,0.1719115972518921,0.34038281440734863,0.4391688108444214,0.5696388483047485,0.733189046382904,0.3710545599460602,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.1660911738872528,0.733189046382904,0.1759674996137619,0.3906462490558624,0.3825419843196869,0.6662389636039734,1.0,0.3414166569709778,0.22068053483963013
first,0.27731001377105713,0.2931244373321533,0.16188344359397888,0.3536086082458496,0.20517638325691223,0.3285558819770813,0.23475037515163422,0.4127444326877594,0.49448907375335693,0.2632450759410858,0.18701928853988647
lutheran,0.1004599779844284,0.2275809496641159,0.41544732451438904,0.2628459632396698,0.7014965415000916,0.22986336052417755,0.1375810205936432,0.2489040344953537,0.20315466821193695,0.3805615305900574,0.1752520203590393
hymnal,0.08671420812606812,0.17266538739204407,0.7368002533912659,0.3003794848918915,0.2560838758945465,0.20761458575725555,0.19600476324558258,0.2645895183086395,0.27393218874931335,0.4083912968635559,0.14759886264801025
achtliederbuch,0.20969288051128387,0.2262536734342575,0.338447630405426,0.3710545599460602,0.3524473011493683,0.28526636958122253,0.26568925380706787,0.3222394287586212,0.3414166569709778,1.0,0.26709797978401184
",",0.22659391164779663,0.40610817074775696,0.2567901313304901,0.4946078956127167,0.23255878686904907,0.36755475401878357,0.3679811954498291,0.5201468467712402,0.4933079481124878,0.3586543798446655,0.31091248989105225
18,-0.03501921147108078,-0.0017783388029783964,-0.06534228473901749,-0.09725122153759003,-0.04762841388583183,-0.09013911336660385,0.00448603555560112,-0.061147160828113556,-0.07796193659305573,-0.06235688552260399,-0.04919438064098358
of,0.2480744868516922,0.37253960967063904,0.23365463316440582,1.0,0.1719115972518921,0.34038281440734863,0.4391688108444214,0.5696388483047485,0.733189046382904,0.3710545599460602,0.1826142966747284
26,0.02506413869559765,0.09426480531692505,0.11018171906471252,0.0640103667974472,0.10465234518051147,0.17376480996608734,0.12545275688171387,0.06889026612043381,0.11227777600288391,0.09516729414463043,-0.05200668424367905
