,what,gauge,of,rail,lines,do,two,tourist,lines,use,?
two,0.23363454639911652,0.1883232146501541,0.37726253271102905,0.16242606937885284,0.3015294671058655,0.22086432576179504,1.0000001192092896,0.15062977373600006,0.3015294671058655,0.19661611318588257,0.19645625352859497
tourist,0.10621568560600281,0.16106070578098297,0.26708054542541504,0.2548445761203766,0.1265961080789566,0.12427358329296112,0.15062977373600006,1.0,0.1265961080789566,0.11664894223213196,0.08379554748535156
railways,0.17380215227603912,0.5104495286941528,0.24158069491386414,0.733599066734314,0.3607795834541321,0.12124715745449066,0.19890384376049042,0.3420262634754181,0.3607795834541321,0.20505574345588684,0.0874929204583168
operate,0.23576132953166962,0.360557496547699,0.22024419903755188,0.3415222465991974,0.330475389957428,0.30079570412635803,0.26139137148857117,0.205824613571167,0.330475389957428,0.4394164979457855,0.16664595901966095
over,0.28007611632347107,0.20210953056812286,0.36136594414711,0.22988522052764893,0.229514479637146,0.22620153427124023,0.35418701171875,0.1724414974451065,0.229514479637146,0.24625542759895325,0.25742942094802856
760,0.040286317467689514,-0.008862899616360664,0.032535918056964874,-0.029108427464962006,0.11309977620840073,0.17667675018310547,0.13854075968265533,-0.11573022603988647,0.11309977620840073,0.16912735998630524,0.026141434907913208
mm,0.16184760630130768,0.40584900975227356,0.16425222158432007,0.2612350285053253,0.12862876057624817,0.16736608743667603,0.15414582192897797,0.14158672094345093,0.12862876057624817,0.225976824760437,0.16094553470611572
(,0.2411840260028839,0.18529380857944489,0.35032153129577637,0.1335669606924057,0.1778993010520935,0.24216170608997345,0.2169162482023239,0.12194745242595673,0.1778993010520935,0.2174896001815796,0.40561532974243164
2,-0.049862053245306015,-0.050839364528656006,-0.013777675107121468,-0.025103196501731873,-0.04506615549325943,-0.09570206701755524,0.061530034989118576,-0.10264384001493454,-0.04506615549325943,-0.030575765296816826,0.001977203879505396
ft,0.20828482508659363,0.33526700735092163,0.14259693026542664,0.24108368158340454,0.09154970198869705,0.10611535608768463,0.09870852530002594,0.15603357553482056,0.09154970198869705,0.15924054384231567,0.17776548862457275
6,0.05088282376527786,0.10600678622722626,0.055943556129932404,0.05118964985013008,0.08854937553405762,0.10582158714532852,0.08705443143844604,-0.03748203068971634,0.08854937553405762,0.13491815328598022,0.045001473277807236
in,0.30808621644973755,0.18491436541080475,0.5696388483047485,0.22738659381866455,0.22601547837257385,0.23402775824069977,0.36463531851768494,0.28369420766830444,0.22601547837257385,0.2715643048286438,0.20430970191955566
),0.26259949803352356,0.18045969307422638,0.3680361211299896,0.14663036167621613,0.20047107338905334,0.24460165202617645,0.24161455035209656,0.13953205943107605,0.20047107338905334,0.23662498593330383,0.42300865054130554
narrow,0.21173065900802612,0.406684935092926,0.248264878988266,0.2333327978849411,0.26052525639533997,0.15406569838523865,0.2869985103607178,0.17687402665615082,0.26052525639533997,0.20207062363624573,0.1023377925157547
gauge,0.27817800641059875,0.9999999403953552,0.17487795650959015,0.48973849415779114,0.29248976707458496,0.18705259263515472,0.1883232146501541,0.16106070578098297,0.29248976707458496,0.23322823643684387,0.2129381000995636
lines,0.21269705891609192,0.29248976707458496,0.1948472559452057,0.3984358310699463,1.0,0.18965932726860046,0.3015294671058655,0.1265961080789566,1.0,0.26028862595558167,0.18324026465415955
",",0.3087472915649414,0.24010542035102844,0.4946078956127167,0.19919529557228088,0.23323656618595123,0.3283645510673523,0.35859420895576477,0.2069557160139084,0.23323656618595123,0.3276674151420593,0.31091248989105225
which,0.5261979103088379,0.27578872442245483,0.5011631846427917,0.22425106167793274,0.29714417457580566,0.31153854727745056,0.4674137234687805,0.2310793101787567,0.29714417457580566,0.39254313707351685,0.25814583897590637
are,0.29724663496017456,0.2588168680667877,0.39081433415412903,0.14822308719158173,0.25913113355636597,0.41111594438552856,0.46276170015335083,0.20633454620838165,0.25913113355636597,0.4174068570137024,0.24591213464736938
the,0.42745697498321533,0.20929455757141113,0.733189046382904,0.2306264042854309,0.28391990065574646,0.30239659547805786,0.43858039379119873,0.29490065574645996,0.28391990065574646,0.34342584013938904,0.22068053483963013
remnants,0.16761332750320435,0.25013646483421326,0.22459746897220612,0.19469396770000458,0.18801435828208923,0.11936033517122269,0.1814464032649994,0.1780240535736084,0.18801435828208923,0.1425177901983261,0.09044837206602097
of,0.33290785551071167,0.17487795650959015,1.0,0.18577207624912262,0.1948472559452057,0.26150479912757874,0.37726253271102905,0.26708054542541504,0.1948472559452057,0.2750902473926544,0.1826142966747284
five,0.18688078224658966,0.12092733383178711,0.3980514109134674,0.11412961035966873,0.1941310316324234,0.17266684770584106,0.6973215341567993,0.15722660720348358,0.1941310316324234,0.16569222509860992,0.18342848122119904
formerly,0.1585959643125534,0.20731346309185028,0.27187931537628174,0.20730380713939667,0.08212237060070038,0.08820970356464386,0.15099789202213287,0.11344429850578308,0.08212237060070038,0.19971972703933716,0.0843876302242279
