,some,chinese,considered,the,yuan,a,legitimate,dynasty,",",but,what,did,other,chinese,think,it,was,?
who,0.3978389501571655,0.2538459002971649,0.2708154320716858,0.3733934462070465,0.20351146161556244,0.36608949303627014,0.355761855840683,0.19946415722370148,0.3365725874900818,0.4487357437610626,0.40942975878715515,0.34038686752319336,0.3612329661846161,0.2538459002971649,0.3902704119682312,0.2868398427963257,0.3318818509578705,0.26220351457595825
did,0.42553430795669556,0.19065357744693756,0.2623664438724518,0.34736719727516174,0.1467057168483734,0.2552328109741211,0.31971800327301025,0.19201454520225525,0.3015086054801941,0.49033689498901367,0.4259131848812103,1.0,0.31707024574279785,0.19065357744693756,0.3755078911781311,0.2993364930152893,0.41399896144866943,0.3023456633090973
not,0.564181387424469,0.22863712906837463,0.41997629404067993,0.4310511648654938,0.13675616681575775,0.3791346549987793,0.36517128348350525,0.16167695820331573,0.3769696354866028,0.6553761959075928,0.5449194312095642,0.6481515765190125,0.4341118037700653,0.22863712906837463,0.5479815602302551,0.4651523232460022,0.2888734042644501,0.41942933201789856
consider,0.4056433141231537,0.1646955907344818,0.6183621883392334,0.33438587188720703,0.19825856387615204,0.308129221200943,0.3213988244533539,0.17478549480438232,0.30831751227378845,0.4545280635356903,0.44261306524276733,0.2636986970901489,0.3172423839569092,0.1646955907344818,0.6192560791969299,0.3124631345272064,0.22259771823883057,0.37281370162963867
the,0.4566698372364044,0.2785343527793884,0.4028765559196472,1.0,0.2548272907733917,0.5829201340675354,0.23253867030143738,0.26267939805984497,0.4933079481124878,0.4859698414802551,0.42745697498321533,0.34736719727516174,0.44152235984802246,0.2785343527793884,0.3102172613143921,0.6251175999641418,0.48711544275283813,0.22068053483963013
yuan,0.17040593922138214,0.5665212273597717,0.09289617091417313,0.2548272907733917,1.0,0.18084076046943665,0.1714393049478531,0.49336904287338257,0.20958951115608215,0.21263279020786285,0.13503028452396393,0.1467057168483734,0.18199217319488525,0.5665212273597717,0.15091156959533691,0.16246572136878967,0.19482262432575226,0.12871281802654266
dynasty,0.14835017919540405,0.39861640334129333,0.16050711274147034,0.26267939805984497,0.49336904287338257,0.14993494749069214,0.23546229302883148,1.0,0.1976536363363266,0.16503159701824188,0.17240095138549805,0.19201454520225525,0.14103373885154724,0.39861640334129333,0.20320449769496918,0.1929178684949875,0.24324211478233337,0.15884074568748474
as,0.4293700158596039,0.2490641176700592,0.4031961262226105,0.48381632566452026,0.2132488638162613,0.39550232887268066,0.25306951999664307,0.1805962324142456,0.48816442489624023,0.4864770472049713,0.31749409437179565,0.3596470057964325,0.42805421352386475,0.2490641176700592,0.3555661737918854,0.4461488723754883,0.3677520453929901,0.27043893933296204
a,0.34539633989334106,0.23124997317790985,0.36109375953674316,0.5829201340675354,0.18084076046943665,1.0,0.20584626495838165,0.14993494749069214,0.427140474319458,0.44750767946243286,0.3320399522781372,0.2552328109741211,0.2806335389614105,0.23124997317790985,0.35850703716278076,0.5452592968940735,0.4508470594882965,0.23916715383529663
legitimate,0.3176981210708618,0.1789110153913498,0.34072592854499817,0.23253867030143738,0.1714393049478531,0.20584626495838165,1.0,0.23546229302883148,0.2597030699253082,0.36479929089546204,0.3080519735813141,0.31971800327301025,0.24061144888401031,0.1789110153913498,0.3596249222755432,0.20086166262626648,0.20924682915210724,0.28191015124320984
