,when,was,marconi,'s,radio,demonstration,?
when,0.9999999403953552,0.37326499819755554,0.1581640988588333,-0.03368149697780609,0.13374444842338562,0.26713764667510986,0.22841128706932068
guglielmo,0.21818798780441284,0.2261836677789688,0.6168506741523743,0.03083263337612152,0.4126325845718384,0.18890051543712616,0.0927455797791481
marconi,0.1581640988588333,0.17286071181297302,1.0000001192092896,0.02050059847533703,0.3690948188304901,0.21420389413833618,0.09038416296243668
made,0.2936893105506897,0.3433256447315216,0.1027643159031868,0.08483956009149551,0.15626443922519684,0.14832280576229095,0.17218779027462006
his,0.37120407819747925,0.4405253231525421,0.17740841209888458,0.047556519508361816,0.2184859812259674,0.2277604341506958,0.18075084686279297
famous,0.18105973303318024,0.31606587767601013,0.23352882266044617,0.01744024269282818,0.17932260036468506,0.1611495167016983,0.10379006713628769
first-ever,0.41850870847702026,0.3964495062828064,0.2880658209323883,0.03328068181872368,0.24953973293304443,0.23087671399116516,0.4267039895057678
transatlantic,0.230433851480484,0.22381821274757385,0.3516218364238739,0.048479676246643066,0.29032349586486816,0.2237701416015625,0.10249870270490646
radio,0.13374444842338562,0.20381812751293182,0.3690948188304901,0.13450658321380615,0.9999999403953552,0.14301784336566925,0.08763375133275986
transmission,0.22322627902030945,0.1702040582895279,0.3539300560951233,-0.0009785809088498354,0.35356295108795166,0.2631281614303589,0.16372337937355042
in,0.4431333839893341,0.45514053106307983,0.16926077008247375,-0.037580832839012146,0.22625693678855896,0.27814018726348877,0.20430970191955566
1901,-0.04386577755212784,-0.008113718591630459,0.0015658617485314608,0.09739921987056732,-0.015467832796275616,-0.04092579707503319,-0.041070252656936646
",",0.36674630641937256,0.45456063747406006,0.21741415560245514,-0.0016132977325469255,0.25251123309135437,0.27810192108154297,0.31091248989105225
tesla,0.1504557579755783,0.16455206274986267,0.3709399402141571,0.06449045985937119,0.2212681919336319,0.33262601494789124,0.10250775516033173
quipped,0.25086092948913574,0.2842067778110504,0.1880505532026291,0.023426836356520653,0.19402232766151428,0.2491186410188675,0.26181578636169434
that,0.5860282182693481,0.33670201897621155,0.18433474004268646,0.04397977516055107,0.13973630964756012,0.29460325837135315,0.32716336846351624
it,0.4775012135505676,0.4577186405658722,0.08702406287193298,0.06608816236257553,0.200987309217453,0.2058817595243454,0.25732165575027466
was,0.37326499819755554,1.0000001192092896,0.17286071181297302,0.008974763564765453,0.20381812751293182,0.22351692616939545,0.18412111699581146
done,0.24790191650390625,0.23778371512889862,0.18294866383075714,0.020781854167580605,0.1785709261894226,0.2117670476436615,0.36153489351272583
with,0.5075214505195618,0.27411898970603943,0.162189319729805,-0.04624466598033905,0.15850627422332764,0.22845377027988434,0.2433311939239502
17,0.06161060184240341,0.06704052537679672,0.08956743776798248,-0.00850291270762682,0.09553371369838715,0.07463657855987549,0.17603135108947754
tesla,0.1504557579755783,0.16455206274986267,0.3709399402141571,0.06449045985937119,0.2212681919336319,0.33262601494789124,0.10250775516033173
patents,0.21851512789726257,0.15588046610355377,0.30231374502182007,0.011529999785125256,0.19449450075626373,0.2443346381187439,0.1148110032081604
",",0.36674630641937256,0.45456063747406006,0.21741415560245514,-0.0016132977325469255,0.25251123309135437,0.27810192108154297,0.31091248989105225
though,0.45963284373283386,0.34332048892974854,0.1051996722817421,0.013477406464517117,0.1395522952079773,0.1665535718202591,0.3188856542110443
there,0.34822648763656616,0.24909798800945282,0.10878599435091019,-0.04860968142747879,0.13809938728809357,0.2565222978591919,0.29405656456947327
is,0.3471449911594391,0.5810302495956421,0.03116355463862419,0.02396530658006668,0.1481926590204239,0.1602272391319275,0.22961433231830597
little,0.2586153745651245,0.15730731189250946,0.07561677694320679,0.022203069180250168,0.1328705996274948,0.09081488847732544,0.20336517691612244
to,0.5423505902290344,0.3636345863342285,0.13849522173404694,0.03782717138528824,0.16918617486953735,0.23557595908641815,0.29463258385658264
support,0.19993360340595245,0.2208256870508194,0.17086754739284515,-0.013377348892390728,0.16726993024349213,0.28933292627334595,0.22626608610153198
this,0.4959332048892975,0.3638818562030792,0.15154117345809937,0.02106832154095173,0.1597774624824524,0.33372339606285095,0.3155723512172699
claim,0.21635423600673676,0.15881295502185822,0.14610134065151215,-0.01196212600916624,0.07539846748113632,0.2567397654056549,0.2665664851665497
.,0.475719153881073,0.40146201848983765,0.22318333387374878,-0.003708066651597619,0.20650681853294373,0.20932240784168243,0.4130953550338745
