,which,c1622-23,sculpture,by,bernini,are,included,in,the,sculpture,collection,?
italian,0.19053605198860168,0.07277373969554901,0.15243719518184662,0.14713914692401886,0.36282697319984436,0.13699258863925934,0.1621798574924469,0.1941935271024704,0.19855095446109772,0.15243719518184662,0.15172773599624634,0.1156633123755455
sculptors,0.13536402583122253,0.009085464291274548,0.6866905093193054,0.23594868183135986,0.4774513840675354,0.22430238127708435,0.18827319145202637,0.20806211233139038,0.17251421511173248,0.6866905093193054,0.2775009274482727,0.1309177279472351
whose,0.37205496430397034,0.02785203419625759,0.15129417181015015,0.3384193778038025,0.2229226529598236,0.2854825556278229,0.1824636608362198,0.23496666550636292,0.38253846764564514,0.15129417181015015,0.14954999089241028,0.16990536451339722
work,0.30331435799598694,-0.001675735111348331,0.2988409996032715,0.25005507469177246,0.3044796586036682,0.26678818464279175,0.2312437742948532,0.2753349542617798,0.2704800069332123,0.2988409996032715,0.2884133458137512,0.2621155381202698
is,0.4457404911518097,-0.07186128199100494,0.20341666042804718,0.3899846076965332,0.15745456516742706,0.5330929756164551,0.23363345861434937,0.5394441485404968,0.5823672413825989,0.20341666042804718,0.21135231852531433,0.22961433231830597
held,0.2626747488975525,0.062045615166425705,0.25828301906585693,0.19236290454864502,0.15364110469818115,0.18270234763622284,0.24095378816127777,0.3127288818359375,0.32185450196266174,0.25828301906585693,0.23742815852165222,0.14103956520557404
by,0.40543368458747864,0.09448489546775818,0.17374664545059204,1.0000001192092896,0.17811459302902222,0.37842893600463867,0.2987801134586334,0.370934396982193,0.4408751428127289,0.17374664545059204,0.2678082287311554,0.17966607213020325
the,0.6521818041801453,0.06377094238996506,0.23690329492092133,0.4408751428127289,0.23729288578033447,0.40399202704429626,0.3825419843196869,0.6662389636039734,1.0,0.23690329492092133,0.25281965732574463,0.22068053483963013
museum,0.22731433808803558,0.07888717204332352,0.405792236328125,0.15592984855175018,0.14582890272140503,0.12469582259654999,0.2025391310453415,0.2407650351524353,0.24861779808998108,0.405792236328125,0.4441815912723541,0.14128351211547852
include,0.33084139227867126,0.021424205973744392,0.18677452206611633,0.24257268011569977,0.14443856477737427,0.5140694975852966,0.6415448784828186,0.28694382309913635,0.2951717972755432,0.18677452206611633,0.30674809217453003,0.14925788342952728
